Year,RoundNumber,EventName,DriverNumber,Abbreviation,FullName,LapNumber,PitInTime,PitStopDuration,Compound,TyreLife,NextCompound
2018,1,Australian Grand Prix,28,STE,Will Stevens,1.0,0 days 00:08:55.152000,,SUPERSOFT,1.0,
2018,1,Australian Grand Prix,9,ERI,Marcus Ericsson,6.0,0 days 00:16:49.622000,,SUPERSOFT,5.0,
2018,1,Australian Grand Prix,10,KOB,Kamui Kobayashi,14.0,0 days 00:29:16.873000,,ULTRASOFT,13.0,
2018,1,Australian Grand Prix,7,RAI,Kimi Raikkonen,18.0,0 days 00:33:56.979000,,ULTRASOFT,20.0,
2018,1,Australian Grand Prix,44,HAM,Lewis Hamilton,19.0,0 days 00:35:20.123000,,ULTRASOFT,20.0,
2018,1,Australian Grand Prix,16,LEC,Charles Leclerc,20.0,0 days 00:37:53.289000,,SUPERSOFT,19.0,
2018,1,Australian Grand Prix,33,VER,Max Verstappen,21.0,0 days 00:38:56.371000,,SUPERSOFT,23.0,
2018,1,Australian Grand Prix,20,MAG,Kevin Magnussen,22.0,0 days 00:40:20.801000,,ULTRASOFT,24.0,
2018,1,Australian Grand Prix,28,STE,Will Stevens,22.0,0 days 00:41:26.417000,,SOFT,21.0,
2018,1,Australian Grand Prix,55,SAI,Carlos Sainz Jnr,22.0,0 days 00:40:35.965000,,ULTRASOFT,24.0,
2018,1,Australian Grand Prix,31,OCO,Esteban Ocon,23.0,0 days 00:42:15.180000,,ULTRASOFT,22.0,
2018,1,Australian Grand Prix,11,PER,Sergio Perez,24.0,0 days 00:43:40.427000,,ULTRASOFT,23.0,
2018,1,Australian Grand Prix,27,HUL,Nico Hulkenberg,24.0,0 days 00:43:24.644000,,ULTRASOFT,26.0,
2018,1,Australian Grand Prix,8,GRO,Romain Grosjean,24.0,0 days 00:43:20.784000,,ULTRASOFT,26.0,
2018,1,Australian Grand Prix,18,STR,Lance Stroll,25.0,0 days 00:45:35.482000,,SUPERSOFT,24.0,
2018,1,Australian Grand Prix,2,VAN,Stoffel Vandoorne,25.0,0 days 00:45:08.049000,,ULTRASOFT,24.0,
2018,1,Australian Grand Prix,77,BOT,Valtteri Bottas,25.0,0 days 00:45:10.528000,,ULTRASOFT,27.0,
2018,1,Australian Grand Prix,14,ALO,Fernando Alonso,26.0,0 days 00:46:59.732000,,ULTRASOFT,25.0,
2018,1,Australian Grand Prix,3,RIC,Daniel Ricciardo,26.0,0 days 00:46:48.949000,,SUPERSOFT,28.0,
2018,1,Australian Grand Prix,5,VET,Sebastian Vettel,26.0,0 days 00:46:08.993000,,ULTRASOFT,28.0,
2018,1,Australian Grand Prix,16,LEC,Charles Leclerc,27.0,0 days 00:50:14.593000,,SOFT,7.0,
2018,1,Australian Grand Prix,18,STR,Lance Stroll,29.0,0 days 00:53:47.069000,,SOFT,4.0,
2018,2,Bahrain Grand Prix,33,VER,Max Verstappen,2.0,0 days 00:12:15.165000,,SOFT,1.0,
2018,2,Bahrain Grand Prix,16,LEC,Charles Leclerc,3.0,0 days 00:13:25.236000,,SOFT,2.0,
2018,2,Bahrain Grand Prix,11,PER,Sergio Perez,9.0,0 days 00:23:30.511000,,SOFT,8.0,
2018,2,Bahrain Grand Prix,18,STR,Lance Stroll,10.0,0 days 00:25:13.150000,,SOFT,9.0,
2018,2,Bahrain Grand Prix,2,VAN,Stoffel Vandoorne,10.0,0 days 00:25:06.055000,,SUPERSOFT,9.0,
2018,2,Bahrain Grand Prix,20,MAG,Kevin Magnussen,13.0,0 days 00:29:49.590000,,SUPERSOFT,15.0,
2018,2,Bahrain Grand Prix,14,ALO,Fernando Alonso,14.0,0 days 00:31:30.610000,,SOFT,13.0,
2018,2,Bahrain Grand Prix,10,KOB,Kamui Kobayashi,15.0,0 days 00:33:00.199000,,SUPERSOFT,17.0,
2018,2,Bahrain Grand Prix,27,HUL,Nico Hulkenberg,15.0,0 days 00:33:07.480000,,SUPERSOFT,17.0,
2018,2,Bahrain Grand Prix,31,OCO,Esteban Ocon,15.0,0 days 00:33:12.573000,,SUPERSOFT,17.0,
2018,2,Bahrain Grand Prix,55,SAI,Carlos Sainz Jnr,16.0,0 days 00:34:53.065000,,SUPERSOFT,18.0,
2018,2,Bahrain Grand Prix,5,VET,Sebastian Vettel,17.0,0 days 00:37:25.563000,,SUPERSOFT,18.0,
2018,2,Bahrain Grand Prix,7,RAI,Kimi Raikkonen,18.0,0 days 00:39:09.635000,,SUPERSOFT,20.0,
2018,2,Bahrain Grand Prix,8,GRO,Romain Grosjean,18.0,0 days 00:38:12.553000,,SUPERSOFT,17.0,
2018,2,Bahrain Grand Prix,77,BOT,Valtteri Bottas,19.0,0 days 00:40:40.566000,,SUPERSOFT,21.0,
2018,2,Bahrain Grand Prix,28,STE,Will Stevens,20.0,0 days 00:41:24.566000,,SUPERSOFT,19.0,
2018,2,Bahrain Grand Prix,35,SIR,Sergey Sirotkin,22.0,0 days 00:45:05.946000,,SOFT,21.0,
2018,2,Bahrain Grand Prix,9,ERI,Marcus Ericsson,23.0,0 days 00:46:22.851000,,SOFT,22.0,
2018,2,Bahrain Grand Prix,44,HAM,Lewis Hamilton,25.0,0 days 00:50:30.112000,,SOFT,27.0,
2018,2,Bahrain Grand Prix,55,SAI,Carlos Sainz Jnr,26.0,0 days 00:51:31.334000,,SUPERSOFT,13.0,
2018,2,Bahrain Grand Prix,20,MAG,Kevin Magnussen,27.0,0 days 00:52:45.798000,,SUPERSOFT,17.0,
2018,2,Bahrain Grand Prix,2,VAN,Stoffel Vandoorne,28.0,0 days 00:54:39.430000,,SOFT,18.0,
2018,2,Bahrain Grand Prix,18,STR,Lance Stroll,29.0,0 days 00:58:24.983000,,SUPERSOFT,19.0,
2018,2,Bahrain Grand Prix,8,GRO,Romain Grosjean,30.0,0 days 00:57:55.840000,,SOFT,12.0,
2018,2,Bahrain Grand Prix,11,PER,Sergio Perez,32.0,0 days 01:01:18.388000,,MEDIUM,23.0,
2018,2,Bahrain Grand Prix,10,KOB,Kamui Kobayashi,34.0,0 days 01:03:51.038000,,SOFT,19.0,
2018,2,Bahrain Grand Prix,16,LEC,Charles Leclerc,34.0,0 days 01:04:47.376000,,MEDIUM,31.0,
2018,2,Bahrain Grand Prix,7,RAI,Kimi Raikkonen,34.0,0 days 01:04:49.266000,,SOFT,15.0,
2018,2,Bahrain Grand Prix,31,OCO,Esteban Ocon,35.0,0 days 01:06:02.554000,,MEDIUM,20.0,
2018,2,Bahrain Grand Prix,14,ALO,Fernando Alonso,39.0,0 days 01:12:09.508000,,MEDIUM,25.0,
2018,2,Bahrain Grand Prix,27,HUL,Nico Hulkenberg,39.0,0 days 01:12:07.227000,,SOFT,24.0,
2018,2,Bahrain Grand Prix,35,SIR,Sergey Sirotkin,40.0,0 days 01:14:39.533000,,MEDIUM,18.0,
2018,2,Bahrain Grand Prix,28,STE,Will Stevens,42.0,0 days 01:17:29.256000,,SOFT,22.0,
2018,2,Bahrain Grand Prix,8,GRO,Romain Grosjean,45.0,0 days 01:22:26.202000,,SUPERSOFT,15.0,
2018,3,Chinese Grand Prix,28,STE,Will Stevens,10.0,0 days 00:24:52.688000,,ULTRASOFT,9.0,
2018,3,Chinese Grand Prix,31,OCO,Esteban Ocon,11.0,0 days 00:26:19.295000,,SOFT,10.0,
2018,3,Chinese Grand Prix,11,PER,Sergio Perez,12.0,0 days 00:28:06.016000,,ULTRASOFT,14.0,
2018,3,Chinese Grand Prix,55,SAI,Carlos Sainz Jnr,12.0,0 days 00:27:54.195000,,ULTRASOFT,14.0,
2018,3,Chinese Grand Prix,27,HUL,Nico Hulkenberg,13.0,0 days 00:29:30.881000,,ULTRASOFT,15.0,
2018,3,Chinese Grand Prix,8,GRO,Romain Grosjean,16.0,0 days 00:34:41.572000,,ULTRASOFT,18.0,
2018,3,Chinese Grand Prix,3,RIC,Daniel Ricciardo,17.0,0 days 00:35:57,,ULTRASOFT,19.0,
2018,3,Chinese Grand Prix,33,VER,Max Verstappen,17.0,0 days 00:35:50.381000,,ULTRASOFT,19.0,
2018,3,Chinese Grand Prix,44,HAM,Lewis Hamilton,18.0,0 days 00:37:34.060000,,SOFT,20.0,
2018,3,Chinese Grand Prix,77,BOT,Valtteri Bottas,19.0,0 days 00:39:02.708000,,SOFT,21.0,
2018,3,Chinese Grand Prix,10,KOB,Kamui Kobayashi,20.0,0 days 00:41:49.551000,,MEDIUM,19.0,
2018,3,Chinese Grand Prix,5,VET,Sebastian Vettel,20.0,0 days 00:40:39.076000,,SOFT,21.0,
2018,3,Chinese Grand Prix,16,LEC,Charles Leclerc,21.0,0 days 00:43:28.793000,,SOFT,20.0,
2018,3,Chinese Grand Prix,2,VAN,Stoffel Vandoorne,22.0,0 days 00:44:55.471000,,SOFT,21.0,
2018,3,Chinese Grand Prix,18,STR,Lance Stroll,23.0,0 days 00:46:35.303000,,SOFT,22.0,
2018,3,Chinese Grand Prix,20,MAG,Kevin Magnussen,24.0,0 days 00:47:58.343000,,SOFT,27.0,
2018,3,Chinese Grand Prix,7,RAI,Kimi Raikkonen,27.0,0 days 00:52:28.609000,,SOFT,29.0,
2018,3,Chinese Grand Prix,35,SIR,Sergey Sirotkin,28.0,0 days 00:55:08.823000,,SOFT,27.0,
2018,3,Chinese Grand Prix,14,ALO,Fernando Alonso,29.0,0 days 00:56:24.955000,,SOFT,28.0,
2018,3,Chinese Grand Prix,9,ERI,Marcus Ericsson,29.0,0 days 00:57:02.968000,,SOFT,28.0,
2018,3,Chinese Grand Prix,28,STE,Will Stevens,30.0,0 days 00:59:08.711000,,ULTRASOFT,29.0,
2018,3,Chinese Grand Prix,10,KOB,Kamui Kobayashi,31.0,0 days 01:01:01.505000,,MEDIUM,30.0,
2018,3,Chinese Grand Prix,27,HUL,Nico Hulkenberg,31.0,0 days 01:00:04.884000,,ULTRASOFT,33.0,
2018,3,Chinese Grand Prix,3,RIC,Daniel Ricciardo,31.0,0 days 00:59:16.271000,,ULTRASOFT,33.0,
2018,3,Chinese Grand Prix,31,OCO,Esteban Ocon,31.0,0 days 01:00:24.436000,,SOFT,30.0,
2018,3,Chinese Grand Prix,33,VER,Max Verstappen,31.0,0 days 00:59:06.552000,,ULTRASOFT,33.0,
2018,3,Chinese Grand Prix,55,SAI,Carlos Sainz Jnr,31.0,0 days 01:00:18.322000,,ULTRASOFT,33.0,
2018,3,Chinese Grand Prix,11,PER,Sergio Perez,32.0,0 days 01:02:44.678000,,ULTRASOFT,34.0,
2018,3,Chinese Grand Prix,35,SIR,Sergey Sirotkin,33.0,0 days 01:05:07.877000,,SOFT,32.0,
2018,3,Chinese Grand Prix,8,GRO,Romain Grosjean,46.0,0 days 01:27:38.575000,,ULTRASOFT,48.0,
2018,3,Chinese Grand Prix,28,STE,Will Stevens,51.0,0 days 01:36:19.661000,,SOFT,5.0,
2018,4,Azerbaijan Grand Prix,14,ALO,Fernando Alonso,1.0,0 days 00:10:58.372000,,SUPERSOFT,1.0,
2018,4,Azerbaijan Grand Prix,20,MAG,Kevin Magnussen,1.0,0 days 00:11:12.248000,,SUPERSOFT,1.0,
2018,4,Azerbaijan Grand Prix,28,STE,Will Stevens,1.0,0 days 00:10:35.436000,,SOFT,1.0,
2018,4,Azerbaijan Grand Prix,7,RAI,Kimi Raikkonen,1.0,0 days 00:10:15.946000,,ULTRASOFT,4.0,
2018,4,Azerbaijan Grand Prix,9,ERI,Marcus Ericsson,1.0,0 days 00:11:17.234000,,SUPERSOFT,1.0,
2018,4,Azerbaijan Grand Prix,11,PER,Sergio Perez,2.0,0 days 00:13:26.917000,,ULTRASOFT,4.0,
2018,4,Azerbaijan Grand Prix,8,GRO,Romain Grosjean,2.0,0 days 00:13:32.540000,,SOFT,1.0,
2018,4,Azerbaijan Grand Prix,10,KOB,Kamui Kobayashi,12.0,0 days 00:34:49.061000,,ULTRASOFT,11.0,
2018,4,Azerbaijan Grand Prix,55,SAI,Carlos Sainz Jnr,15.0,0 days 00:40:02.414000,,ULTRASOFT,17.0,
2018,4,Azerbaijan Grand Prix,2,VAN,Stoffel Vandoorne,17.0,0 days 00:43:59.113000,,SUPERSOFT,16.0,
2018,4,Azerbaijan Grand Prix,9,ERI,Marcus Ericsson,18.0,0 days 00:46:19.205000,,SOFT,17.0,
2018,4,Azerbaijan Grand Prix,28,STE,Will Stevens,22.0,0 days 00:53:24.533000,,ULTRASOFT,21.0,
2018,4,Azerbaijan Grand Prix,44,HAM,Lewis Hamilton,22.0,0 days 00:52:08.205000,,SUPERSOFT,26.0,
2018,4,Azerbaijan Grand Prix,18,STR,Lance Stroll,23.0,0 days 00:54:39.170000,,SUPERSOFT,22.0,
2018,4,Azerbaijan Grand Prix,16,LEC,Charles Leclerc,24.0,0 days 00:56:21.990000,,SUPERSOFT,23.0,
2018,4,Azerbaijan Grand Prix,2,VAN,Stoffel Vandoorne,25.0,0 days 00:59:02.815000,,SOFT,8.0,
2018,4,Azerbaijan Grand Prix,5,VET,Sebastian Vettel,30.0,0 days 01:06:13.943000,,SUPERSOFT,32.0,
2018,4,Azerbaijan Grand Prix,9,ERI,Marcus Ericsson,36.0,0 days 01:19:51.615000,,ULTRASOFT,18.0,
2018,4,Azerbaijan Grand Prix,3,RIC,Daniel Ricciardo,37.0,0 days 01:19:09.971000,,SUPERSOFT,40.0,
2018,4,Azerbaijan Grand Prix,33,VER,Max Verstappen,38.0,0 days 01:20:56.542000,,SUPERSOFT,41.0,
2018,4,Azerbaijan Grand Prix,10,KOB,Kamui Kobayashi,39.0,0 days 01:24:54.717000,,SOFT,27.0,
2018,4,Azerbaijan Grand Prix,2,VAN,Stoffel Vandoorne,39.0,0 days 01:25:27.595000,,ULTRASOFT,14.0,
2018,4,Azerbaijan Grand Prix,20,MAG,Kevin Magnussen,39.0,0 days 01:24:36.731000,,SOFT,38.0,
2018,4,Azerbaijan Grand Prix,28,STE,Will Stevens,39.0,0 days 01:25:04.967000,,SUPERSOFT,17.0,
2018,4,Azerbaijan Grand Prix,9,ERI,Marcus Ericsson,39.0,0 days 01:26:40.852000,,ULTRASOFT,3.0,
2018,4,Azerbaijan Grand Prix,11,PER,Sergio Perez,40.0,0 days 01:25:34.563000,,SOFT,38.0,
2018,4,Azerbaijan Grand Prix,14,ALO,Fernando Alonso,40.0,0 days 01:26:15.363000,,SOFT,39.0,
2018,4,Azerbaijan Grand Prix,16,LEC,Charles Leclerc,40.0,0 days 01:26:00.863000,,SOFT,16.0,
2018,4,Azerbaijan Grand Prix,18,STR,Lance Stroll,40.0,0 days 01:26:03.722000,,SOFT,17.0,
2018,4,Azerbaijan Grand Prix,44,HAM,Lewis Hamilton,40.0,0 days 01:24:37.761000,,SOFT,18.0,
2018,4,Azerbaijan Grand Prix,5,VET,Sebastian Vettel,40.0,0 days 01:24:26.324000,,SOFT,10.0,
2018,4,Azerbaijan Grand Prix,55,SAI,Carlos Sainz Jnr,40.0,0 days 01:25:48.534000,,SOFT,25.0,
2018,4,Azerbaijan Grand Prix,7,RAI,Kimi Raikkonen,40.0,0 days 01:25:22.554000,,SOFT,39.0,
2018,4,Azerbaijan Grand Prix,77,BOT,Valtteri Bottas,40.0,0 days 01:24:08.429000,,SUPERSOFT,43.0,
2018,4,Azerbaijan Grand Prix,8,GRO,Romain Grosjean,40.0,0 days 01:25:39.705000,,SUPERSOFT,38.0,
2018,4,Azerbaijan Grand Prix,2,VAN,Stoffel Vandoorne,46.0,0 days 01:41:50.735000,,ULTRASOFT,7.0,
