Year,RoundNumber,EventName,DriverNumber,Abbreviation,FullName,LapNumber,PitInTime,PitStopDuration,Compound,TyreLife,NextCompound
2018,1,Australian Grand Prix,10,GAS,GAS,14.0,0 days 00:29:16.873000,,ULTRASOFT,13.0,
2018,1,Australian Grand Prix,11,PER,PER,24.0,0 days 00:43:40.427000,,ULTRASOFT,23.0,
2018,1,Australian Grand Prix,14,ALO,ALO,26.0,0 days 00:46:59.732000,,ULTRASOFT,25.0,
2018,1,Australian Grand Prix,16,LEC,LEC,20.0,0 days 00:37:53.289000,,SUPERSOFT,19.0,
2018,1,Australian Grand Prix,16,LEC,LEC,27.0,0 days 00:50:14.593000,,SOFT,7.0,
2018,1,Australian Grand Prix,18,STR,STR,25.0,0 days 00:45:35.482000,,SUPERSOFT,24.0,
2018,1,Australian Grand Prix,18,STR,STR,29.0,0 days 00:53:47.069000,,SOFT,4.0,
2018,1,Australian Grand Prix,2,VAN,VAN,25.0,0 days 00:45:08.049000,,ULTRASOFT,24.0,
2018,1,Australian Grand Prix,20,MAG,MAG,22.0,0 days 00:40:20.801000,,ULTRASOFT,24.0,
2018,1,Australian Grand Prix,27,HUL,HUL,24.0,0 days 00:43:24.644000,,ULTRASOFT,26.0,
2018,1,Australian Grand Prix,28,HAR,HAR,1.0,0 days 00:08:55.152000,,SUPERSOFT,1.0,
2018,1,Australian Grand Prix,28,HAR,HAR,22.0,0 days 00:41:26.417000,,SOFT,21.0,
2018,1,Australian Grand Prix,3,RIC,RIC,26.0,0 days 00:46:48.949000,,SUPERSOFT,28.0,
2018,1,Australian Grand Prix,31,OCO,OCO,23.0,0 days 00:42:15.180000,,ULTRASOFT,22.0,
2018,1,Australian Grand Prix,33,VER,VER,21.0,0 days 00:38:56.371000,,SUPERSOFT,23.0,
2018,1,Australian Grand Prix,44,HAM,HAM,19.0,0 days 00:35:20.123000,,ULTRASOFT,20.0,
2018,1,Australian Grand Prix,5,VET,VET,26.0,0 days 00:46:08.993000,,ULTRASOFT,28.0,
2018,1,Australian Grand Prix,55,SAI,SAI,22.0,0 days 00:40:35.965000,,ULTRASOFT,24.0,
2018,1,Australian Grand Prix,7,RAI,RAI,18.0,0 days 00:33:56.979000,,ULTRASOFT,20.0,
2018,1,Australian Grand Prix,77,BOT,BOT,25.0,0 days 00:45:10.528000,,ULTRASOFT,27.0,
2018,1,Australian Grand Prix,8,GRO,GRO,24.0,0 days 00:43:20.784000,,ULTRASOFT,26.0,
2018,1,Australian Grand Prix,9,ERI,ERI,6.0,0 days 00:16:49.622000,,SUPERSOFT,5.0,
2018,2,Bahrain Grand Prix,10,GAS,GAS,15.0,0 days 00:33:00.199000,,SUPERSOFT,17.0,
2018,2,Bahrain Grand Prix,10,GAS,GAS,34.0,0 days 01:03:51.038000,,SOFT,19.0,
2018,2,Bahrain Grand Prix,11,PER,PER,9.0,0 days 00:23:30.511000,,SOFT,8.0,
2018,2,Bahrain Grand Prix,11,PER,PER,32.0,0 days 01:01:18.388000,,MEDIUM,23.0,
2018,2,Bahrain Grand Prix,14,ALO,ALO,14.0,0 days 00:31:30.610000,,SOFT,13.0,
2018,2,Bahrain Grand Prix,14,ALO,ALO,39.0,0 days 01:12:09.508000,,MEDIUM,25.0,
2018,2,Bahrain Grand Prix,16,LEC,LEC,3.0,0 days 00:13:25.236000,,SOFT,2.0,
2018,2,Bahrain Grand Prix,16,LEC,LEC,34.0,0 days 01:04:47.376000,,MEDIUM,31.0,
2018,2,Bahrain Grand Prix,18,STR,STR,10.0,0 days 00:25:13.150000,,SOFT,9.0,
2018,2,Bahrain Grand Prix,18,STR,STR,29.0,0 days 00:58:24.983000,,SUPERSOFT,19.0,
2018,2,Bahrain Grand Prix,2,VAN,VAN,10.0,0 days 00:25:06.055000,,SUPERSOFT,9.0,
2018,2,Bahrain Grand Prix,2,VAN,VAN,28.0,0 days 00:54:39.430000,,SOFT,18.0,
2018,2,Bahrain Grand Prix,20,MAG,MAG,13.0,0 days 00:29:49.590000,,SUPERSOFT,15.0,
2018,2,Bahrain Grand Prix,20,MAG,MAG,27.0,0 days 00:52:45.798000,,SUPERSOFT,17.0,
2018,2,Bahrain Grand Prix,27,HUL,HUL,15.0,0 days 00:33:07.480000,,SUPERSOFT,17.0,
2018,2,Bahrain Grand Prix,27,HUL,HUL,39.0,0 days 01:12:07.227000,,SOFT,24.0,
2018,2,Bahrain Grand Prix,28,HAR,HAR,20.0,0 days 00:41:24.566000,,SUPERSOFT,19.0,
