Year,RoundNumber,EventName,EventDate,DriverNumber,Abbreviation,DriverId,FullName,TeamName,Position,ClassifiedPosition,GridPosition,Q1,Q2,Q3,Time,Status
2018,1,Australian Grand Prix,2018-03-25,44,HAM,hamilton,Lewis Hamilton,Mercedes,1.0,,,0 days 00:01:22.824000,0 days 00:01:22.051000,0 days 00:01:21.164000,,
2018,1,Australian Grand Prix,2018-03-25,7,RAI,raikkonen,Kimi Räikkönen,Ferrari,2.0,,,0 days 00:01:23.096000,0 days 00:01:22.507000,0 days 00:01:21.828000,,
2018,1,Australian Grand Prix,2018-03-25,5,VET,vettel,Sebastian Vettel,Ferrari,3.0,,,0 days 00:01:23.348000,0 days 00:01:21.944000,0 days 00:01:21.838000,,
2018,1,Australian Grand Prix,2018-03-25,33,VER,max_verstappen,Max Verstappen,Red Bull Racing,4.0,,,0 days 00:01:23.483000,0 days 00:01:22.416000,0 days 00:01:21.879000,,
2018,1,Australian Grand Prix,2018-03-25,3,RIC,ricciardo,Daniel Ricciardo,Red Bull Racing,5.0,,,0 days 00:01:23.494000,0 days 00:01:22.897000,0 days 00:01:22.152000,,
2018,1,Australian Grand Prix,2018-03-25,20,MAG,kevin_magnussen,Kevin Magnussen,Haas F1 Team,6.0,,,0 days 00:01:23.909000,0 days 00:01:23.300000,0 days 00:01:23.187000,,
2018,1,Australian Grand Prix,2018-03-25,8,GRO,grosjean,Romain Grosjean,Haas F1 Team,7.0,,,0 days 00:01:23.671000,0 days 00:01:23.468000,0 days 00:01:23.339000,,
2018,1,Australian Grand Prix,2018-03-25,27,HUL,hulkenberg,Nico Hulkenberg,Renault,8.0,,,0 days 00:01:23.782000,0 days 00:01:23.544000,0 days 00:01:23.532000,,
2018,1,Australian Grand Prix,2018-03-25,55,SAI,sainz,Carlos Sainz,Renault,9.0,,,0 days 00:01:23.529000,0 days 00:01:23.061000,0 days 00:01:23.577000,,
2018,1,Australian Grand Prix,2018-03-25,77,BOT,bottas,Valtteri Bottas,Mercedes,10.0,,,0 days 00:01:23.686000,0 days 00:01:22.089000,,,
2018,1,Australian Grand Prix,2018-03-25,14,ALO,alonso,Fernando Alonso,McLaren,11.0,,,0 days 00:01:23.597000,0 days 00:01:23.692000,,,
2018,1,Australian Grand Prix,2018-03-25,2,VAN,vandoorne,Stoffel Vandoorne,McLaren,12.0,,,0 days 00:01:24.073000,0 days 00:01:23.853000,,,
2018,1,Australian Grand Prix,2018-03-25,11,PER,perez,Sergio Perez,Force India,13.0,,,0 days 00:01:24.344000,0 days 00:01:24.005000,,,
2018,1,Australian Grand Prix,2018-03-25,18,STR,stroll,Lance Stroll,Williams,14.0,,,0 days 00:01:24.464000,0 days 00:01:24.230000,,,
2018,1,Australian Grand Prix,2018-03-25,31,OCO,ocon,Esteban Ocon,Force India,15.0,,,0 days 00:01:24.503000,0 days 00:01:24.786000,,,
2018,1,Australian Grand Prix,2018-03-25,28,HAR,brendon_hartley,Brendon Hartley,Toro Rosso,16.0,,,0 days 00:01:24.532000,,,,
2018,1,Australian Grand Prix,2018-03-25,9,ERI,ericsson,Marcus Ericsson,Sauber,17.0,,,0 days 00:01:24.556000,,,,
2018,1,Australian Grand Prix,2018-03-25,16,LEC,leclerc,Charles Leclerc,Sauber,18.0,,,0 days 00:01:24.636000,,,,
2018,1,Australian Grand Prix,2018-03-25,35,SIR,sirotkin,Sergey Sirotkin,Williams,19.0,,,0 days 00:01:24.922000,,,,
2018,1,Australian Grand Prix,2018-03-25,10,GAS,gasly,Pierre Gasly,Toro Rosso,20.0,,,0 days 00:01:25.295000,,,,
2018,2,Bahrain Grand Prix,2018-04-08,5,VET,vettel,Sebastian Vettel,Ferrari,1.0,,,0 days 00:01:29.060000,0 days 00:01:28.341000,0 days 00:01:27.958000,,
2018,2,Bahrain Grand Prix,2018-04-08,7,RAI,raikkonen,Kimi Räikkönen,Ferrari,2.0,,,0 days 00:01:28.951000,0 days 00:01:28.515000,0 days 00:01:28.101000,,
2018,2,Bahrain Grand Prix,2018-04-08,77,BOT,bottas,Valtteri Bottas,Mercedes,3.0,,,0 days 00:01:29.275000,0 days 00:01:28.794000,0 days 00:01:28.124000,,
2018,2,Bahrain Grand Prix,2018-04-08,44,HAM,hamilton,Lewis Hamilton,Mercedes,4.0,,,0 days 00:01:29.396000,0 days 00:01:28.458000,0 days 00:01:28.220000,,
2018,2,Bahrain Grand Prix,2018-04-08,3,RIC,ricciardo,Daniel Ricciardo,Red Bull Racing,5.0,,,0 days 00:01:29.552000,0 days 00:01:28.962000,0 days 00:01:28.398000,,
2018,2,Bahrain Grand Prix,2018-04-08,10,GAS,gasly,Pierre Gasly,Toro Rosso,6.0,,,0 days 00:01:30.121000,0 days 00:01:29.836000,0 days 00:01:29.329000,,
2018,2,Bahrain Grand Prix,2018-04-08,20,MAG,kevin_magnussen,Kevin Magnussen,Haas F1 Team,7.0,,,0 days 00:01:29.594000,0 days 00:01:29.623000,0 days 00:01:29.358000,,
2018,2,Bahrain Grand Prix,2018-04-08,27,HUL,hulkenberg,Nico Hulkenberg,Renault,8.0,,,0 days 00:01:30.260000,0 days 00:01:29.187000,0 days 00:01:29.570000,,
2018,2,Bahrain Grand Prix,2018-04-08,31,OCO,ocon,Esteban Ocon,Force India,9.0,,,0 days 00:01:30.338000,0 days 00:01:30.009000,0 days 00:01:29.874000,,
