Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap,Year,RoundNumber
2018-03-25 05:07:04,Drs,DRS DISABLED,DISABLED,,,,,1,2018,1
2018-03-25 05:13:19,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,1,2018,1
2018-03-25 05:16:23,Drs,DRS ENABLED,ENABLED,,,,,2,2018,1
2018-03-25 05:20:58,Flag,YELLOW IN TRACK SECTOR 16,,YELLOW,Sector,16.0,,6,2018,1
2018-03-25 05:20:59,Drs,DRS DISABLED,DISABLED,,,,,6,2018,1
2018-03-25 05:21:05,Flag,CLEAR IN TRACK SECTOR 16,,CLEAR,Sector,16.0,,6,2018,1
2018-03-25 05:21:05,Drs,DRS ENABLED,ENABLED,,,,,6,2018,1
2018-03-25 05:21:06,Flag,DOUBLE YELLOW IN TRACK SECTOR 16,,DOUBLE YELLOW,Sector,16.0,,6,2018,1
2018-03-25 05:21:07,Drs,DRS DISABLED,DISABLED,,,,,6,2018,1
2018-03-25 05:21:08,Flag,YELLOW IN TRACK SECTOR 16,,YELLOW,Sector,16.0,,6,2018,1
2018-03-25 05:21:26,Flag,YELLOW IN TRACK SECTOR 15,,YELLOW,Sector,15.0,,6,2018,1
2018-03-25 05:21:40,CarEvent,CAR 35 (SIR) STOPPED AT TURN 13,,,,,35,6,2018,1
2018-03-25 05:21:43,Flag,DOUBLE YELLOW IN TRACK SECTOR 15,,DOUBLE YELLOW,Sector,15.0,,6,2018,1
2018-03-25 05:21:45,Flag,DOUBLE YELLOW IN TRACK SECTOR 16,,DOUBLE YELLOW,Sector,16.0,,6,2018,1
2018-03-25 05:23:39,Flag,CLEAR IN TRACK SECTOR 15,,CLEAR,Sector,15.0,,7,2018,1
2018-03-25 05:23:43,Flag,CLEAR IN TRACK SECTOR 16,,CLEAR,Sector,16.0,,7,2018,1
2018-03-25 05:23:43,Drs,DRS ENABLED,ENABLED,,,,,7,2018,1
2018-03-25 05:27:11,Flag,YELLOW IN TRACK SECTOR 1,,YELLOW,Sector,1.0,,10,2018,1
2018-03-25 05:27:13,Drs,DRS DISABLED,DISABLED,,,,,10,2018,1
2018-03-25 05:27:14,Flag,CLEAR IN TRACK SECTOR 1,,CLEAR,Sector,1.0,,10,2018,1
2018-03-25 05:27:14,Drs,DRS ENABLED,ENABLED,,,,,10,2018,1
2018-03-25 05:47:22,Flag,WAVED BLUE FLAG FOR CAR 28 (HAR) TIMED AT 16:47:22,,BLUE,Driver,,28,23,2018,1
2018-03-25 05:47:51,Flag,YELLOW IN TRACK SECTOR 4,,YELLOW,Sector,4.0,,24,2018,1
2018-03-25 05:47:52,Drs,DRS DISABLED,DISABLED,,,,,24,2018,1
2018-03-25 05:47:52,Flag,YELLOW IN TRACK SECTOR 5,,YELLOW,Sector,5.0,,24,2018,1
2018-03-25 05:48:01,Flag,CLEAR IN TRACK SECTOR 4,,CLEAR,Sector,4.0,,24,2018,1
2018-03-25 05:48:01,Drs,DRS ENABLED,ENABLED,,,,,24,2018,1
2018-03-25 05:48:04,Flag,CLEAR IN TRACK SECTOR 5,,CLEAR,Sector,5.0,,24,2018,1
2018-03-25 05:48:13,Flag,WAVED BLUE FLAG FOR CAR 28 (HAR) TIMED AT 16:48:12,,BLUE,Driver,,28,24,2018,1
2018-03-25 05:48:21,Flag,YELLOW IN TRACK SECTOR 4,,YELLOW,Sector,4.0,,24,2018,1
2018-03-25 05:48:22,Drs,DRS DISABLED,DISABLED,,,,,24,2018,1
2018-03-25 05:48:32,Flag,YELLOW IN TRACK SECTOR 5,,YELLOW,Sector,5.0,,24,2018,1
2018-03-25 05:48:34,Flag,CLEAR IN TRACK SECTOR 4,,CLEAR,Sector,4.0,,24,2018,1
2018-03-25 05:48:34,Drs,DRS ENABLED,ENABLED,,,,,24,2018,1
2018-03-25 05:49:03,CarEvent,CAR 20 (MAG) STOPPED AT TURN 4,,,,,20,24,2018,1
2018-03-25 05:49:17,Flag,CLEAR IN TRACK SECTOR 5,,CLEAR,Sector,5.0,,25,2018,1
2018-03-25 05:49:29,Flag,WAVED BLUE FLAG FOR CAR 28 (HAR) TIMED AT 16:49:28,,BLUE,Driver,,28,25,2018,1
2018-03-25 05:50:12,Flag,YELLOW IN TRACK SECTOR 2,,YELLOW,Sector,2.0,,25,2018,1
2018-03-25 05:50:13,Drs,DRS DISABLED,DISABLED,,,,,25,2018,1
2018-03-25 05:50:43,Flag,DOUBLE YELLOW IN TRACK SECTOR 1,,DOUBLE YELLOW,Sector,1.0,,26,2018,1
2018-03-25 05:50:45,Flag,DOUBLE YELLOW IN TRACK SECTOR 2,,DOUBLE YELLOW,Sector,2.0,,26,2018,1
2018-03-25 05:50:53,CarEvent,CAR 8 (GRO) STOPPED AT TURN 2,,,,,8,26,2018,1
2018-03-25 05:51:11,SafetyCar,VIRTUAL SAFETY CAR DEPLOYED,DEPLOYED,,,,,26,2018,1
2018-03-25 05:55:11,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,,28,2018,1
2018-03-25 06:00:04,Flag,CLEAR IN TRACK SECTOR 1,,CLEAR,Sector,1.0,,30,2018,1
2018-03-25 06:00:06,Flag,CLEAR IN TRACK SECTOR 2,,CLEAR,Sector,2.0,,30,2018,1
2018-03-25 06:00:33,Other,LAPPED CARS MAY NOW OVERTAKE - 28,,,,,,30,2018,1
2018-03-25 06:02:42,SafetyCar,SAFETY CAR IN THIS LAP,IN THIS LAP,,,,,31,2018,1
2018-03-25 06:03:23,Flag,TRACK CLEAR,,CLEAR,Track,,,31,2018,1
2018-03-25 06:05:02,Other,PIT LANE INCIDENT INVOLVING CAR 20 (MAG) WILL BE INVESTIGATED AFTER THE RACE - CAR RELEASED IN AN UNSAFE CONDITION,,,,,,32,2018,1
2018-03-25 06:05:12,Other,PIT LANE INCIDENT INVOLVING CAR 8 (GRO) WILL BE INVESTIGATED AFTER THE RACE - CAR RELEASED IN AN UNSAFE CONDITION,,,,,,33,2018,1
2018-03-25 06:06:41,Drs,DRS ENABLED,ENABLED,,,,,34,2018,1
2018-03-25 06:29:08,Flag,WAVED BLUE FLAG FOR CAR 28 (HAR) TIMED AT 17:29:08,,BLUE,Driver,,28,49,2018,1
2018-03-25 06:31:15,Flag,WAVED BLUE FLAG FOR CAR 28 (HAR) TIMED AT 17:31:15,,BLUE,Driver,,28,50,2018,1
2018-03-25 06:42:50,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,58,2018,1
2018-04-08 15:07:02,Drs,DRS DISABLED,DISABLED,,,,,1,2018,2
2018-04-08 15:13:37,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,1,2018,2
2018-04-08 15:14:08,Flag,YELLOW IN TRACK SECTOR 3,,YELLOW,Sector,3.0,,1,2018,2
2018-04-08 15:14:15,Flag,CLEAR IN TRACK SECTOR 3,,CLEAR,Sector,3.0,,1,2018,2
2018-04-08 15:14:26,Flag,DOUBLE YELLOW IN TRACK SECTOR 3,,DOUBLE YELLOW,Sector,3.0,,1,2018,2
2018-04-08 15:14:51,Flag,CLEAR IN TRACK SECTOR 3,,CLEAR,Sector,3.0,,1,2018,2
2018-04-08 15:15:58,Flag,DOUBLE YELLOW IN TRACK SECTOR 3,,DOUBLE YELLOW,Sector,3.0,,2,2018,2
2018-04-08 15:16:25,Flag,CLEAR IN TRACK SECTOR 3,,CLEAR,Sector,3.0,,2,2018,2
2018-04-08 15:16:32,Flag,DOUBLE YELLOW IN TRACK SECTOR 3,,DOUBLE YELLOW,Sector,3.0,,2,2018,2
2018-04-08 15:16:33,Flag,YELLOW IN TRACK SECTOR 7,,YELLOW,Sector,7.0,,2,2018,2
2018-04-08 15:16:37,Flag,CLEAR IN TRACK SECTOR 3,,CLEAR,Sector,3.0,,2,2018,2
2018-04-08 15:16:41,SafetyCar,VIRTUAL SAFETY CAR DEPLOYED,DEPLOYED,,,,,2,2018,2
2018-04-08 15:17:36,Flag,DOUBLE YELLOW IN TRACK SECTOR 7,,DOUBLE YELLOW,Sector,7.0,,3,2018,2
2018-04-08 15:20:14,Flag,CLEAR IN TRACK SECTOR 7,,CLEAR,Sector,7.0,,4,2018,2
2018-04-08 15:20:18,SafetyCar,VIRTUAL SAFETY CAR ENDING,ENDING,,,,,4,2018,2
2018-04-08 15:20:29,Flag,TRACK CLEAR,,CLEAR,Track,,,4,2018,2
2018-04-08 15:20:39,Drs,DRS ENABLED,ENABLED,,,,,4,2018,2
2018-04-08 15:22:12,Flag,DOUBLE YELLOW IN TRACK SECTOR 15,,DOUBLE YELLOW,Sector,15.0,,5,2018,2
2018-04-08 15:22:52,Flag,CLEAR IN TRACK SECTOR 15,,CLEAR,Sector,15.0,,6,2018,2
2018-04-08 15:22:54,Flag,DOUBLE YELLOW IN TRACK SECTOR 15,,DOUBLE YELLOW,Sector,15.0,,6,2018,2
2018-04-08 15:23:03,Flag,CLEAR IN TRACK SECTOR 15,,CLEAR,Sector,15.0,,6,2018,2
2018-04-08 15:24:36,Other,TURN 4 INCIDENT INVOLVING CARS 11 (PER) AND 28 (HAR) UNDER INVESTIGATION - CAUSING A COLLISION,,,,,,7,2018,2
2018-04-08 15:27:04,Other,TURN 1 INCIDENT INVOLVING CARS 33 (VER) AND 44 (HAM) NOTED - NO FURTHER ACTION,,,,,,8,2018,2
2018-04-08 15:27:48,Other,INCIDENT INVOLVING CARS 27 (HUL) AND 20 (MAG) NOTED - NO FURTHER ACTION,,,,,,9,2018,2
2018-04-08 15:28:12,Other,10 SECOND TIME PENALTY FOR CAR 28 (HAR) - CAUSING A COLLISION,,,,,,9,2018,2
2018-04-08 15:30:49,Flag,DOUBLE YELLOW IN TRACK SECTOR 9,,DOUBLE YELLOW,Sector,9.0,,11,2018,2
2018-04-08 15:30:55,Flag,YELLOW IN TRACK SECTOR 8,,YELLOW,Sector,8.0,,11,2018,2
2018-04-08 15:31:02,Flag,CLEAR IN TRACK SECTOR 9,,CLEAR,Sector,9.0,,11,2018,2
2018-04-08 15:31:07,Flag,CLEAR IN TRACK SECTOR 8,,CLEAR,Sector,8.0,,11,2018,2
2018-04-08 15:36:33,Other,INCIDENT INVOLVING CARS 11 (PER) AND 28 (HAR) UNDER INVESTIGATION - FAILURE TO MAINTAIN ORDER ON THE FORMATION LAP,,,,,,12,2018,2
2018-04-08 15:38:19,Other,INCIDENT INVOLVING CARS 11 (PER) AND 28 (HAR) WILL BE INVESTIGATED AFTER THE RACE,,,,,,12,2018,2
2018-04-08 15:57:26,Flag,DOUBLE YELLOW IN TRACK SECTOR 9,,DOUBLE YELLOW,Sector,9.0,,27,2018,2
2018-04-08 15:57:28,Flag,YELLOW IN TRACK SECTOR 8,,YELLOW,Sector,8.0,,27,2018,2
2018-04-08 15:57:35,Flag,CLEAR IN TRACK SECTOR 9,,CLEAR,Sector,9.0,,27,2018,2
2018-04-08 15:57:37,Flag,CLEAR IN TRACK SECTOR 8,,CLEAR,Sector,8.0,,27,2018,2
2018-04-08 16:02:07,Flag,WAVED BLUE FLAG FOR CAR 35 (SIR) TIMED AT 19:02:07,,BLUE,Driver,,35,30,2018,2
2018-04-08 16:03:21,Flag,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 19:03:20,,BLUE,Driver,,18,31,2018,2
2018-04-08 16:04:25,Flag,WAVED BLUE FLAG FOR CAR 35 (SIR) TIMED AT 19:04:25,,BLUE,Driver,,35,32,2018,2
2018-04-08 16:08:37,Flag,WAVED BLUE FLAG FOR CAR 55 (SAI) TIMED AT 19:08:37,,BLUE,Driver,,55,34,2018,2
