Year,RoundNumber,EventName,EventDate,DriverNumber,Abbreviation,FullName,TeamName,GridPosition,Position,Status,Points,Laps,Time
2018,1,Australian Grand Prix,2018-03-25,5,VET,Sebastian Vettel,Ferrari,3.0,1.0,Finished,25.0,58.0,0 days 01:29:33.283000
2018,1,Australian Grand Prix,2018-03-25,44,HAM,Lewis Hamilton,Mercedes,1.0,2.0,Finished,18.0,58.0,0 days 00:00:05.036000
2018,1,Australian Grand Prix,2018-03-25,7,RAI,Kimi Räikkönen,Ferrari,2.0,3.0,Finished,15.0,58.0,0 days 00:00:06.309000
2018,1,Australian Grand Prix,2018-03-25,3,RIC,Daniel Ricciardo,Red Bull Racing,8.0,4.0,Finished,12.0,58.0,0 days 00:00:07.069000
2018,1,Australian Grand Prix,2018-03-25,14,ALO,Fernando Alonso,McLaren,10.0,5.0,Finished,10.0,58.0,0 days 00:00:27.886000
2018,1,Australian Grand Prix,2018-03-25,33,VER,Max Verstappen,Red Bull Racing,4.0,6.0,Finished,8.0,58.0,0 days 00:00:28.945000
2018,1,Australian Grand Prix,2018-03-25,27,HUL,Nico Hulkenberg,Renault,7.0,7.0,Finished,6.0,58.0,0 days 00:00:32.671000
2018,1,Australian Grand Prix,2018-03-25,77,BOT,Valtteri Bottas,Mercedes,15.0,8.0,Finished,4.0,58.0,0 days 00:00:34.339000
2018,1,Australian Grand Prix,2018-03-25,2,VAN,Stoffel Vandoorne,McLaren,11.0,9.0,Finished,2.0,58.0,0 days 00:00:34.921000
2018,1,Australian Grand Prix,2018-03-25,55,SAI,Carlos Sainz,Renault,9.0,10.0,Finished,1.0,58.0,0 days 00:00:45.722000
2018,1,Australian Grand Prix,2018-03-25,11,PER,Sergio Perez,Force India,12.0,11.0,Finished,0.0,58.0,0 days 00:00:46.817000
2018,1,Australian Grand Prix,2018-03-25,31,OCO,Esteban Ocon,Force India,14.0,12.0,Finished,0.0,58.0,0 days 00:01:00.278000
2018,1,Australian Grand Prix,2018-03-25,16,LEC,Charles Leclerc,Sauber,18.0,13.0,Finished,0.0,58.0,0 days 00:01:15.759000
2018,1,Australian Grand Prix,2018-03-25,18,STR,Lance Stroll,Williams,13.0,14.0,Finished,0.0,58.0,0 days 00:01:18.288000
2018,1,Australian Grand Prix,2018-03-25,28,HAR,Brendon Hartley,Toro Rosso,16.0,15.0,+1 Lap,0.0,57.0,
2018,1,Australian Grand Prix,2018-03-25,8,GRO,Romain Grosjean,Haas F1 Team,6.0,16.0,Wheel,0.0,24.0,
2018,1,Australian Grand Prix,2018-03-25,20,MAG,Kevin Magnussen,Haas F1 Team,5.0,17.0,Wheel,0.0,22.0,
2018,1,Australian Grand Prix,2018-03-25,10,GAS,Pierre Gasly,Toro Rosso,20.0,18.0,Engine,0.0,13.0,
2018,1,Australian Grand Prix,2018-03-25,9,ERI,Marcus Ericsson,Sauber,17.0,19.0,Steering,0.0,5.0,
2018,1,Australian Grand Prix,2018-03-25,35,SIR,Sergey Sirotkin,Williams,19.0,20.0,Brakes,0.0,4.0,
2018,2,Bahrain Grand Prix,2018-04-08,5,VET,Sebastian Vettel,Ferrari,1.0,1.0,Finished,25.0,57.0,0 days 01:32:01.940000
2018,2,Bahrain Grand Prix,2018-04-08,77,BOT,Valtteri Bottas,Mercedes,3.0,2.0,Finished,18.0,57.0,0 days 00:00:00.699000
2018,2,Bahrain Grand Prix,2018-04-08,44,HAM,Lewis Hamilton,Mercedes,9.0,3.0,Finished,15.0,57.0,0 days 00:00:06.512000
2018,2,Bahrain Grand Prix,2018-04-08,10,GAS,Pierre Gasly,Toro Rosso,5.0,4.0,Finished,12.0,57.0,0 days 00:01:02.234000
2018,2,Bahrain Grand Prix,2018-04-08,20,MAG,Kevin Magnussen,Haas F1 Team,6.0,5.0,Finished,10.0,57.0,0 days 00:01:15.046000
2018,2,Bahrain Grand Prix,2018-04-08,27,HUL,Nico Hulkenberg,Renault,7.0,6.0,Finished,8.0,57.0,0 days 00:01:39.024000
2018,2,Bahrain Grand Prix,2018-04-08,14,ALO,Fernando Alonso,McLaren,13.0,7.0,+1 Lap,6.0,56.0,
2018,2,Bahrain Grand Prix,2018-04-08,2,VAN,Stoffel Vandoorne,McLaren,14.0,8.0,+1 Lap,4.0,56.0,
2018,2,Bahrain Grand Prix,2018-04-08,9,ERI,Marcus Ericsson,Sauber,17.0,9.0,+1 Lap,2.0,56.0,
