DriverNumber,FullName,Abbreviation,TeamName,Position,GridPosition,Status,Points,Laps,Year,RoundNumber
28,Brendon Hartley,HAR,Toro Rosso,15.0,16.0,+1 Lap,0.0,57.0,2018,1
8,Romain Grosjean,GRO,Haas F1 Team,16.0,6.0,Wheel,0.0,24.0,2018,1
20,Kevin Magnussen,MAG,Haas F1 Team,17.0,5.0,Wheel,0.0,22.0,2018,1
10,Pierre Gasly,GAS,Toro Rosso,18.0,20.0,Engine,0.0,13.0,2018,1
9,Marcus Ericsson,ERI,Sauber,19.0,17.0,Steering,0.0,5.0,2018,1
35,Sergey Sirotkin,SIR,Williams,20.0,19.0,Brakes,0.0,4.0,2018,1
14,Fernando Alonso,ALO,McLaren,7.0,13.0,+1 Lap,6.0,56.0,2018,2
2,Stoffel Vandoorne,VAN,McLaren,8.0,14.0,+1 Lap,4.0,56.0,2018,2
9,Marcus Ericsson,ERI,Sauber,9.0,17.0,+1 Lap,2.0,56.0,2018,2
31,Esteban Ocon,OCO,Force India,10.0,8.0,+1 Lap,1.0,56.0,2018,2
55,Carlos Sainz,SAI,Renault,11.0,10.0,+1 Lap,0.0,56.0,2018,2
16,Charles Leclerc,LEC,Sauber,12.0,19.0,+1 Lap,0.0,56.0,2018,2
8,Romain Grosjean,GRO,Haas F1 Team,13.0,16.0,+1 Lap,0.0,56.0,2018,2
18,Lance Stroll,STR,Williams,14.0,20.0,+1 Lap,0.0,56.0,2018,2
35,Sergey Sirotkin,SIR,Williams,15.0,18.0,+1 Lap,0.0,56.0,2018,2
11,Sergio Perez,PER,Force India,16.0,12.0,+1 Lap,0.0,56.0,2018,2
28,Brendon Hartley,HAR,Toro Rosso,17.0,11.0,+1 Lap,0.0,56.0,2018,2
7,Kimi Räikkönen,RAI,Ferrari,18.0,2.0,Wheel,0.0,35.0,2018,2
33,Max Verstappen,VER,Red Bull Racing,19.0,15.0,Puncture,0.0,3.0,2018,2
3,Daniel Ricciardo,RIC,Red Bull Racing,20.0,4.0,Electrical,0.0,1.0,2018,2
28,Brendon Hartley,HAR,Toro Rosso,20.0,15.0,Collision damage,0.0,51.0,2018,3
77,Valtteri Bottas,BOT,Mercedes,14.0,3.0,Puncture,0.0,48.0,2018,4
8,Romain Grosjean,GRO,Haas F1 Team,15.0,20.0,Accident,0.0,42.0,2018,4
33,Max Verstappen,VER,Red Bull Racing,16.0,5.0,Collision,0.0,39.0,2018,4
3,Daniel Ricciardo,RIC,Red Bull Racing,17.0,4.0,Collision,0.0,39.0,2018,4
27,Nico Hulkenberg,HUL,Renault,18.0,14.0,Accident,0.0,10.0,2018,4
31,Esteban Ocon,OCO,Force India,19.0,7.0,Collision,0.0,0.0,2018,4
35,Sergey Sirotkin,SIR,Williams,20.0,11.0,Collision,0.0,0.0,2018,4
20,Kevin Magnussen,MAG,Haas F1 Team,6.0,7.0,+1 Lap,8.0,65.0,2018,5
55,Carlos Sainz,SAI,Renault,7.0,9.0,+1 Lap,6.0,65.0,2018,5
14,Fernando Alonso,ALO,McLaren,8.0,8.0,+1 Lap,4.0,65.0,2018,5
11,Sergio Perez,PER,Force India,9.0,15.0,+2 Laps,2.0,64.0,2018,5
16,Charles Leclerc,LEC,Sauber,10.0,14.0,+2 Laps,1.0,64.0,2018,5
18,Lance Stroll,STR,Williams,11.0,18.0,+2 Laps,0.0,64.0,2018,5
28,Brendon Hartley,HAR,Toro Rosso,12.0,20.0,+2 Laps,0.0,64.0,2018,5
9,Marcus Ericsson,ERI,Sauber,13.0,17.0,+2 Laps,0.0,64.0,2018,5
35,Sergey Sirotkin,SIR,Williams,14.0,19.0,+3 Laps,0.0,63.0,2018,5
2,Stoffel Vandoorne,VAN,McLaren,15.0,11.0,Gearbox,0.0,45.0,2018,5
31,Esteban Ocon,OCO,Force India,16.0,13.0,Oil leak,0.0,38.0,2018,5
7,Kimi Räikkönen,RAI,Ferrari,17.0,4.0,Turbo,0.0,25.0,2018,5
8,Romain Grosjean,GRO,Haas F1 Team,18.0,10.0,Collision,0.0,0.0,2018,5
10,Pierre Gasly,GAS,Toro Rosso,19.0,12.0,Collision,0.0,0.0,2018,5
27,Nico Hulkenberg,HUL,Renault,20.0,16.0,Collision,0.0,0.0,2018,5
2,Stoffel Vandoorne,VAN,McLaren,14.0,12.0,+1 Lap,0.0,77.0,2018,6
8,Romain Grosjean,GRO,Haas F1 Team,15.0,18.0,+1 Lap,0.0,77.0,2018,6
35,Sergey Sirotkin,SIR,Williams,16.0,13.0,+1 Lap,0.0,77.0,2018,6
18,Lance Stroll,STR,Williams,17.0,17.0,+2 Laps,0.0,76.0,2018,6
16,Charles Leclerc,LEC,Sauber,18.0,14.0,Collision,0.0,70.0,2018,6
28,Brendon Hartley,HAR,Toro Rosso,19.0,15.0,Collision,0.0,70.0,2018,6
14,Fernando Alonso,ALO,McLaren,20.0,7.0,Gearbox,0.0,52.0,2018,6
27,Nico Hulkenberg,HUL,Renault,7.0,7.0,+1 Lap,6.0,67.0,2018,7
55,Carlos Sainz,SAI,Renault,8.0,9.0,+1 Lap,4.0,67.0,2018,7
31,Esteban Ocon,OCO,Force India,9.0,8.0,+1 Lap,2.0,67.0,2018,7
16,Charles Leclerc,LEC,Sauber,10.0,13.0,+1 Lap,1.0,67.0,2018,7
