Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,TrackStatus,Position,Year,RoundNumber
0 days 00:35:17.962000,GAS,10,0 days 00:01:45.008000,1,1,,,,0 days 00:00:24.917000,0 days 00:00:38.018000,253.0,293.0,289.0,212.0,False,MEDIUM,1,True,Red Bull Racing,0 days 00:33:32.727000,12,17,2019,1
0 days 00:36:49.547000,GAS,10,0 days 00:01:31.585000,2,1,,,0 days 00:00:30.704000,0 days 00:00:24.245000,0 days 00:00:36.636000,266.0,289.0,289.0,270.0,True,MEDIUM,2,True,Red Bull Racing,0 days 00:35:17.962000,1,16,2019,1
0 days 00:38:20.953000,GAS,10,0 days 00:01:31.406000,3,1,,,0 days 00:00:30.920000,0 days 00:00:24.387000,0 days 00:00:36.099000,268.0,286.0,307.0,283.0,True,MEDIUM,3,True,Red Bull Racing,0 days 00:36:49.547000,1,16,2019,1
0 days 00:39:53.314000,GAS,10,0 days 00:01:32.361000,4,1,,,0 days 00:00:32.196000,0 days 00:00:24.238000,0 days 00:00:35.927000,261.0,286.0,291.0,293.0,False,MEDIUM,4,True,Red Bull Racing,0 days 00:38:20.953000,1,16,2019,1
0 days 00:41:24.485000,GAS,10,0 days 00:01:31.171000,5,1,,,0 days 00:00:30.366000,0 days 00:00:24.301000,0 days 00:00:36.504000,266.0,286.0,303.0,292.0,True,MEDIUM,5,True,Red Bull Racing,0 days 00:39:53.314000,1,16,2019,1
0 days 00:42:55.505000,GAS,10,0 days 00:01:31.020000,6,1,,,0 days 00:00:30.534000,0 days 00:00:24.444000,0 days 00:00:36.042000,270.0,284.0,307.0,297.0,True,MEDIUM,6,True,Red Bull Racing,0 days 00:41:24.485000,1,16,2019,1
0 days 00:44:26.670000,GAS,10,0 days 00:01:31.165000,7,1,,,0 days 00:00:30.592000,0 days 00:00:24.278000,0 days 00:00:36.295000,268.0,286.0,307.0,291.0,False,MEDIUM,7,True,Red Bull Racing,0 days 00:42:55.505000,1,16,2019,1
0 days 00:45:58.104000,GAS,10,0 days 00:01:31.434000,8,1,,,0 days 00:00:30.722000,0 days 00:00:24.391000,0 days 00:00:36.321000,269.0,285.0,303.0,299.0,False,MEDIUM,8,True,Red Bull Racing,0 days 00:44:26.670000,1,16,2019,1
0 days 00:47:29.265000,GAS,10,0 days 00:01:31.161000,9,1,,,0 days 00:00:30.521000,0 days 00:00:24.492000,0 days 00:00:36.148000,269.0,283.0,302.0,303.0,False,MEDIUM,9,True,Red Bull Racing,0 days 00:45:58.104000,1,16,2019,1
0 days 00:49:00.714000,GAS,10,0 days 00:01:31.449000,10,1,,,0 days 00:00:30.317000,0 days 00:00:24.350000,0 days 00:00:36.782000,272.0,288.0,299.0,309.0,False,MEDIUM,10,True,Red Bull Racing,0 days 00:47:29.265000,1,15,2019,1
0 days 00:50:30.843000,GAS,10,0 days 00:01:30.129000,11,1,,,0 days 00:00:30.156000,0 days 00:00:24.102000,0 days 00:00:35.871000,270.0,286.0,296.0,303.0,True,MEDIUM,11,True,Red Bull Racing,0 days 00:49:00.714000,1,15,2019,1
0 days 00:52:01.340000,GAS,10,0 days 00:01:30.497000,12,1,,,0 days 00:00:30.342000,0 days 00:00:24.143000,0 days 00:00:36.012000,270.0,288.0,302.0,299.0,False,MEDIUM,12,True,Red Bull Racing,0 days 00:50:30.843000,1,14,2019,1
0 days 00:53:32.483000,GAS,10,0 days 00:01:31.143000,13,1,,,0 days 00:00:30.525000,0 days 00:00:24.313000,0 days 00:00:36.305000,269.0,287.0,298.0,303.0,False,MEDIUM,13,True,Red Bull Racing,0 days 00:52:01.340000,1,12,2019,1
0 days 00:55:02.786000,GAS,10,0 days 00:01:30.303000,14,1,,,0 days 00:00:30.151000,0 days 00:00:24.090000,0 days 00:00:36.062000,271.0,285.0,295.0,298.0,False,MEDIUM,14,True,Red Bull Racing,0 days 00:53:32.483000,1,10,2019,1
0 days 00:56:32.693000,GAS,10,0 days 00:01:29.907000,15,1,,,0 days 00:00:30.238000,0 days 00:00:23.996000,0 days 00:00:35.673000,270.0,288.0,300.0,296.0,True,MEDIUM,15,True,Red Bull Racing,0 days 00:55:02.786000,1,8,2019,1
0 days 00:58:02.262000,GAS,10,0 days 00:01:29.569000,16,1,,,0 days 00:00:29.949000,0 days 00:00:23.906000,0 days 00:00:35.714000,272.0,288.0,301.0,308.0,True,MEDIUM,16,True,Red Bull Racing,0 days 00:56:32.693000,1,8,2019,1
0 days 00:59:32.092000,GAS,10,0 days 00:01:29.830000,17,1,,,0 days 00:00:29.950000,0 days 00:00:23.979000,0 days 00:00:35.901000,273.0,288.0,299.0,303.0,False,MEDIUM,17,True,Red Bull Racing,0 days 00:58:02.262000,1,8,2019,1
0 days 01:01:02.128000,GAS,10,0 days 00:01:30.036000,18,1,,,0 days 00:00:30.182000,0 days 00:00:24.064000,0 days 00:00:35.790000,273.0,286.0,297.0,302.0,False,MEDIUM,18,True,Red Bull Racing,0 days 00:59:32.092000,1,8,2019,1
0 days 01:02:31.378000,GAS,10,0 days 00:01:29.250000,19,1,,,0 days 00:00:29.819000,0 days 00:00:23.959000,0 days 00:00:35.472000,272.0,286.0,297.0,302.0,True,MEDIUM,19,True,Red Bull Racing,0 days 01:01:02.128000,1,8,2019,1
0 days 01:04:00.852000,GAS,10,0 days 00:01:29.474000,20,1,,,0 days 00:00:29.919000,0 days 00:00:23.879000,0 days 00:00:35.676000,274.0,287.0,296.0,304.0,False,MEDIUM,20,True,Red Bull Racing,0 days 01:02:31.378000,1,8,2019,1
0 days 01:05:30.007000,GAS,10,0 days 00:01:29.155000,21,1,,,0 days 00:00:29.905000,0 days 00:00:23.803000,0 days 00:00:35.447000,273.0,285.0,297.0,301.0,True,MEDIUM,21,True,Red Bull Racing,0 days 01:04:00.852000,1,8,2019,1
0 days 01:06:59.682000,GAS,10,0 days 00:01:29.675000,22,1,,,0 days 00:00:30.007000,0 days 00:00:24.024000,0 days 00:00:35.644000,272.0,285.0,297.0,300.0,False,MEDIUM,22,True,Red Bull Racing,0 days 01:05:30.007000,1,8,2019,1
0 days 01:08:29.327000,GAS,10,0 days 00:01:29.645000,23,1,,,0 days 00:00:30.007000,0 days 00:00:24.015000,0 days 00:00:35.623000,275.0,286.0,297.0,307.0,False,MEDIUM,23,True,Red Bull Racing,0 days 01:06:59.682000,1,8,2019,1
0 days 01:09:58.681000,GAS,10,0 days 00:01:29.354000,24,1,,,0 days 00:00:29.914000,0 days 00:00:23.936000,0 days 00:00:35.504000,271.0,286.0,297.0,303.0,False,MEDIUM,24,True,Red Bull Racing,0 days 01:08:29.327000,1,8,2019,1
0 days 01:11:27.953000,GAS,10,0 days 00:01:29.272000,25,1,,,0 days 00:00:29.783000,0 days 00:00:23.877000,0 days 00:00:35.612000,274.0,284.0,297.0,306.0,False,MEDIUM,25,True,Red Bull Racing,0 days 01:09:58.681000,1,8,2019,1
0 days 01:12:56.938000,GAS,10,0 days 00:01:28.985000,26,1,,,0 days 00:00:29.670000,0 days 00:00:23.889000,0 days 00:00:35.426000,275.0,286.0,295.0,308.0,True,MEDIUM,26,True,Red Bull Racing,0 days 01:11:27.953000,1,7,2019,1
0 days 01:14:25.350000,GAS,10,0 days 00:01:28.412000,27,1,,,0 days 00:00:29.383000,0 days 00:00:23.736000,0 days 00:00:35.293000,270.0,284.0,283.0,304.0,True,MEDIUM,27,True,Red Bull Racing,0 days 01:12:56.938000,1,6,2019,1
0 days 01:15:53.801000,GAS,10,0 days 00:01:28.451000,28,1,,,0 days 00:00:29.596000,0 days 00:00:23.645000,0 days 00:00:35.210000,272.0,281.0,283.0,287.0,False,MEDIUM,28,True,Red Bull Racing,0 days 01:14:25.350000,1,6,2019,1
0 days 01:17:22.514000,GAS,10,0 days 00:01:28.713000,29,1,,,0 days 00:00:29.784000,0 days 00:00:23.507000,0 days 00:00:35.422000,272.0,286.0,285.0,286.0,False,MEDIUM,29,True,Red Bull Racing,0 days 01:15:53.801000,1,6,2019,1
0 days 01:18:51.141000,GAS,10,0 days 00:01:28.627000,30,1,,,0 days 00:00:29.598000,0 days 00:00:23.596000,0 days 00:00:35.433000,272.0,285.0,285.0,291.0,False,MEDIUM,30,True,Red Bull Racing,0 days 01:17:22.514000,1,6,2019,1
0 days 01:20:20.107000,GAS,10,0 days 00:01:28.966000,31,1,,,0 days 00:00:29.701000,0 days 00:00:23.611000,0 days 00:00:35.654000,272.0,283.0,283.0,292.0,False,MEDIUM,31,True,Red Bull Racing,0 days 01:18:51.141000,12,6,2019,1
0 days 01:21:48.932000,GAS,10,0 days 00:01:28.825000,32,1,,,0 days 00:00:29.737000,0 days 00:00:23.558000,0 days 00:00:35.530000,271.0,283.0,283.0,289.0,False,MEDIUM,32,True,Red Bull Racing,0 days 01:20:20.107000,1,6,2019,1
0 days 01:23:18.139000,GAS,10,0 days 00:01:29.207000,33,1,,,0 days 00:00:29.769000,0 days 00:00:23.735000,0 days 00:00:35.703000,271.0,284.0,284.0,293.0,False,MEDIUM,33,True,Red Bull Racing,0 days 01:21:48.932000,1,6,2019,1
0 days 01:24:47.113000,GAS,10,0 days 00:01:28.974000,34,1,,,0 days 00:00:29.854000,0 days 00:00:23.675000,0 days 00:00:35.445000,274.0,284.0,285.0,291.0,False,MEDIUM,34,True,Red Bull Racing,0 days 01:23:18.139000,1,6,2019,1
0 days 01:26:16.703000,GAS,10,0 days 00:01:29.590000,35,1,,,0 days 00:00:30.107000,0 days 00:00:23.628000,0 days 00:00:35.855000,272.0,286.0,284.0,293.0,False,MEDIUM,35,True,Red Bull Racing,0 days 01:24:47.113000,1,6,2019,1
0 days 01:27:46.364000,GAS,10,0 days 00:01:29.661000,36,1,,,0 days 00:00:30.056000,0 days 00:00:23.883000,0 days 00:00:35.722000,273.0,286.0,286.0,293.0,False,MEDIUM,36,True,Red Bull Racing,0 days 01:26:16.703000,1,6,2019,1
0 days 01:29:33.539000,GAS,10,0 days 00:01:47.175000,37,1,,0 days 01:29:16.003000,0 days 00:00:30.115000,0 days 00:00:23.770000,0 days 00:00:53.290000,273.0,288.0,,294.0,False,MEDIUM,37,True,Red Bull Racing,0 days 01:27:46.364000,1,10,2019,1
0 days 01:31:07.690000,GAS,10,0 days 00:01:34.151000,38,2,0 days 01:29:36.336000,,0 days 00:00:35.943000,0 days 00:00:23.612000,0 days 00:00:34.596000,269.0,283.0,300.0,224.0,False,SOFT,1,True,Red Bull Racing,0 days 01:29:33.539000,1,11,2019,1
0 days 01:32:34.919000,GAS,10,0 days 00:01:27.229000,39,2,,,0 days 00:00:29.388000,0 days 00:00:23.384000,0 days 00:00:34.457000,274.0,284.0,303.0,310.0,True,SOFT,2,True,Red Bull Racing,0 days 01:31:07.690000,1,11,2019,1
0 days 01:34:02.485000,GAS,10,0 days 00:01:27.566000,40,2,,,0 days 00:00:29.554000,0 days 00:00:23.404000,0 days 00:00:34.608000,273.0,288.0,302.0,304.0,False,SOFT,3,True,Red Bull Racing,0 days 01:32:34.919000,1,11,2019,1
0 days 01:35:30.400000,GAS,10,0 days 00:01:27.915000,41,2,,,0 days 00:00:29.765000,0 days 00:00:23.389000,0 days 00:00:34.761000,275.0,289.0,301.0,313.0,False,SOFT,4,True,Red Bull Racing,0 days 01:34:02.485000,1,11,2019,1
0 days 01:36:59.805000,GAS,10,0 days 00:01:29.405000,42,2,,,0 days 00:00:30.442000,0 days 00:00:23.745000,0 days 00:00:35.218000,274.0,285.0,285.0,311.0,False,SOFT,5,True,Red Bull Racing,0 days 01:35:30.400000,1,11,2019,1
0 days 01:38:28.024000,GAS,10,0 days 00:01:28.219000,43,2,,,0 days 00:00:29.786000,0 days 00:00:23.484000,0 days 00:00:34.949000,272.0,285.0,285.0,287.0,False,SOFT,6,True,Red Bull Racing,0 days 01:36:59.805000,1,11,2019,1
0 days 01:39:55.678000,GAS,10,0 days 00:01:27.654000,44,2,,,0 days 00:00:29.378000,0 days 00:00:23.405000,0 days 00:00:34.871000,272.0,286.0,287.0,289.0,False,SOFT,7,True,Red Bull Racing,0 days 01:38:28.024000,1,11,2019,1
0 days 01:41:23.506000,GAS,10,0 days 00:01:27.828000,45,2,,,0 days 00:00:29.401000,0 days 00:00:23.341000,0 days 00:00:35.086000,275.0,289.0,290.0,294.0,False,SOFT,8,True,Red Bull Racing,0 days 01:39:55.678000,1,11,2019,1
0 days 01:42:51.367000,GAS,10,0 days 00:01:27.861000,46,2,,,0 days 00:00:29.393000,0 days 00:00:23.407000,0 days 00:00:35.061000,277.0,290.0,303.0,295.0,False,SOFT,9,True,Red Bull Racing,0 days 01:41:23.506000,1,11,2019,1
0 days 01:44:19.598000,GAS,10,0 days 00:01:28.231000,47,2,,,0 days 00:00:29.613000,0 days 00:00:23.583000,0 days 00:00:35.035000,276.0,292.0,305.0,316.0,False,SOFT,10,True,Red Bull Racing,0 days 01:42:51.367000,1,11,2019,1
0 days 01:45:48.210000,GAS,10,0 days 00:01:28.612000,48,2,,,0 days 00:00:29.687000,0 days 00:00:23.775000,0 days 00:00:35.150000,275.0,290.0,305.0,316.0,False,SOFT,11,True,Red Bull Racing,0 days 01:44:19.598000,1,11,2019,1
0 days 01:47:16.661000,GAS,10,0 days 00:01:28.451000,49,2,,,0 days 00:00:29.580000,0 days 00:00:23.708000,0 days 00:00:35.163000,277.0,292.0,307.0,319.0,False,SOFT,12,True,Red Bull Racing,0 days 01:45:48.210000,1,11,2019,1
0 days 01:48:48.016000,GAS,10,0 days 00:01:31.355000,50,2,,,0 days 00:00:30.367000,0 days 00:00:23.941000,0 days 00:00:37.047000,268.0,289.0,298.0,320.0,False,SOFT,13,True,Red Bull Racing,0 days 01:47:16.661000,1,11,2019,1
0 days 01:50:16.973000,GAS,10,0 days 00:01:28.957000,51,2,,,0 days 00:00:29.648000,0 days 00:00:23.606000,0 days 00:00:35.703000,274.0,295.0,304.0,310.0,False,SOFT,14,True,Red Bull Racing,0 days 01:48:48.016000,1,11,2019,1
0 days 01:51:45.718000,GAS,10,0 days 00:01:28.745000,52,2,,,0 days 00:00:30.170000,0 days 00:00:23.616000,0 days 00:00:34.959000,277.0,290.0,302.0,314.0,False,SOFT,15,True,Red Bull Racing,0 days 01:50:16.973000,1,11,2019,1
0 days 01:53:13.942000,GAS,10,0 days 00:01:28.224000,53,2,,,0 days 00:00:29.332000,0 days 00:00:23.423000,0 days 00:00:35.469000,280.0,293.0,304.0,315.0,False,SOFT,16,True,Red Bull Racing,0 days 01:51:45.718000,1,11,2019,1
0 days 01:54:41.923000,GAS,10,0 days 00:01:27.981000,54,2,,,0 days 00:00:29.471000,0 days 00:00:23.579000,0 days 00:00:34.931000,277.0,291.0,291.0,318.0,False,SOFT,17,True,Red Bull Racing,0 days 01:53:13.942000,1,11,2019,1
0 days 01:56:10.467000,GAS,10,0 days 00:01:28.544000,55,2,,,0 days 00:00:29.429000,0 days 00:00:23.285000,0 days 00:00:35.830000,279.0,304.0,309.0,299.0,False,SOFT,18,True,Red Bull Racing,0 days 01:54:41.923000,1,11,2019,1
0 days 01:57:39.575000,GAS,10,0 days 00:01:29.108000,56,2,,,0 days 00:00:29.979000,0 days 00:00:23.913000,0 days 00:00:35.216000,278.0,296.0,310.0,315.0,False,SOFT,19,True,Red Bull Racing,0 days 01:56:10.467000,1,11,2019,1
0 days 01:59:08.449000,GAS,10,0 days 00:01:28.874000,57,2,,,0 days 00:00:29.513000,0 days 00:00:23.868000,0 days 00:00:35.493000,276.0,292.0,310.0,321.0,False,SOFT,20,True,Red Bull Racing,0 days 01:57:39.575000,1,11,2019,1
0 days 00:35:15.250000,PER,11,0 days 00:01:42.296000,1,1,,,,0 days 00:00:24.950000,0 days 00:00:37.117000,261.0,286.0,289.0,231.0,False,SOFT,4,False,Racing Point,0 days 00:33:32.727000,12,12,2019,1
0 days 00:36:47.220000,PER,11,0 days 00:01:31.970000,2,1,,,0 days 00:00:30.940000,0 days 00:00:24.182000,0 days 00:00:36.848000,266.0,288.0,287.0,274.0,True,SOFT,5,False,Racing Point,0 days 00:35:15.250000,1,12,2019,1
0 days 00:38:18.576000,PER,11,0 days 00:01:31.356000,3,1,,,0 days 00:00:30.597000,0 days 00:00:24.319000,0 days 00:00:36.440000,264.0,284.0,298.0,294.0,True,SOFT,6,False,Racing Point,0 days 00:36:47.220000,1,12,2019,1
0 days 00:39:50.319000,PER,11,0 days 00:01:31.743000,4,1,,,0 days 00:00:30.695000,0 days 00:00:24.348000,0 days 00:00:36.700000,265.0,284.0,286.0,300.0,False,SOFT,7,False,Racing Point,0 days 00:38:18.576000,1,12,2019,1
0 days 00:41:21.719000,PER,11,0 days 00:01:31.400000,5,1,,,0 days 00:00:30.604000,0 days 00:00:24.238000,0 days 00:00:36.558000,264.0,284.0,286.0,300.0,False,SOFT,8,False,Racing Point,0 days 00:39:50.319000,1,12,2019,1
0 days 00:42:52.894000,PER,11,0 days 00:01:31.175000,6,1,,,0 days 00:00:30.331000,0 days 00:00:24.280000,0 days 00:00:36.564000,267.0,282.0,285.0,300.0,True,SOFT,9,False,Racing Point,0 days 00:41:21.719000,1,12,2019,1
0 days 00:44:24.037000,PER,11,0 days 00:01:31.143000,7,1,,,0 days 00:00:30.446000,0 days 00:00:24.224000,0 days 00:00:36.473000,267.0,286.0,285.0,296.0,True,SOFT,10,False,Racing Point,0 days 00:42:52.894000,1,12,2019,1
0 days 00:45:55.112000,PER,11,0 days 00:01:31.075000,8,1,,,0 days 00:00:30.492000,0 days 00:00:24.157000,0 days 00:00:36.426000,267.0,285.0,286.0,297.0,True,SOFT,11,False,Racing Point,0 days 00:44:24.037000,1,12,2019,1
0 days 00:47:26.170000,PER,11,0 days 00:01:31.058000,9,1,,,0 days 00:00:30.431000,0 days 00:00:24.178000,0 days 00:00:36.449000,268.0,284.0,286.0,296.0,True,SOFT,12,False,Racing Point,0 days 00:45:55.112000,1,12,2019,1
0 days 00:48:57.115000,PER,11,0 days 00:01:30.945000,10,1,,,0 days 00:00:30.354000,0 days 00:00:24.035000,0 days 00:00:36.556000,265.0,282.0,285.0,288.0,True,SOFT,13,False,Racing Point,0 days 00:47:26.170000,1,12,2019,1
0 days 00:50:27.965000,PER,11,0 days 00:01:30.850000,11,1,,,0 days 00:00:30.252000,0 days 00:00:24.045000,0 days 00:00:36.553000,267.0,287.0,285.0,299.0,True,SOFT,14,False,Racing Point,0 days 00:48:57.115000,1,12,2019,1
0 days 00:51:59.068000,PER,11,0 days 00:01:31.103000,12,1,,,0 days 00:00:30.383000,0 days 00:00:24.185000,0 days 00:00:36.535000,266.0,285.0,286.0,299.0,False,SOFT,15,False,Racing Point,0 days 00:50:27.965000,1,11,2019,1
0 days 00:53:49.131000,PER,11,0 days 00:01:50.063000,13,1,,0 days 00:53:31.147000,0 days 00:00:30.277000,0 days 00:00:23.949000,0 days 00:00:55.837000,269.0,286.0,,299.0,False,SOFT,16,False,Racing Point,0 days 00:51:59.068000,1,16,2019,1
0 days 00:55:24.070000,PER,11,0 days 00:01:34.939000,14,2,0 days 00:53:51.873000,,0 days 00:00:35.962000,0 days 00:00:23.484000,0 days 00:00:35.493000,269.0,286.0,287.0,225.0,False,HARD,1,True,Racing Point,0 days 00:53:49.131000,1,17,2019,1
0 days 00:56:53.986000,PER,11,0 days 00:01:29.916000,15,2,,,0 days 00:00:30.225000,0 days 00:00:24.091000,0 days 00:00:35.600000,267.0,284.0,286.0,302.0,True,HARD,2,True,Racing Point,0 days 00:55:24.070000,1,16,2019,1
0 days 00:58:23.661000,PER,11,0 days 00:01:29.675000,16,2,,,0 days 00:00:29.864000,0 days 00:00:23.869000,0 days 00:00:35.942000,271.0,290.0,302.0,298.0,True,HARD,3,True,Racing Point,0 days 00:56:53.986000,1,16,2019,1
0 days 00:59:53.876000,PER,11,0 days 00:01:30.215000,17,2,,,0 days 00:00:30.413000,0 days 00:00:23.849000,0 days 00:00:35.953000,272.0,288.0,287.0,318.0,False,HARD,4,True,Racing Point,0 days 00:58:23.661000,1,16,2019,1
