Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,TrackStatus,Position,Deleted,DeletedReason,IsAccurate,Year,RoundNumber
5373.539,GAS,10,107.175,37.0,1.0,,5356.003,30.115,23.77,53.29,273.0,288.0,,294.0,False,MEDIUM,37.0,True,Red Bull Racing,5266.364,1,10.0,,,False,2019,1
5467.69,GAS,10,94.151,38.0,2.0,5376.336,,35.943,23.612,34.596,269.0,283.0,300.0,224.0,False,SOFT,1.0,True,Red Bull Racing,5373.539,1,11.0,,,False,2019,1
3229.131,PER,11,110.063,13.0,1.0,,3211.147,30.277,23.949,55.837,269.0,286.0,,299.0,False,SOFT,16.0,False,Racing Point,3119.068,1,16.0,,,False,2019,1
3324.07,PER,11,94.939,14.0,2.0,3231.873,,35.962,23.484,35.493,269.0,286.0,287.0,225.0,False,HARD,1.0,True,Racing Point,3229.131,1,17.0,,,False,2019,1
4546.216,LEC,16,107.729,28.0,1.0,,4527.249,29.85,23.913,53.966,264.0,272.0,,280.0,False,SOFT,31.0,False,Ferrari,4438.487,1,5.0,,,False,2019,1
4639.62,LEC,16,93.404,29.0,2.0,4549.014,,35.296,23.279,34.829,273.0,282.0,277.0,231.0,False,HARD,1.0,True,Ferrari,4546.216,1,5.0,,,False,2019,1
4481.773,STR,18,107.488,27.0,1.0,,4462.219,29.981,23.755,53.752,266.0,280.0,,296.0,False,MEDIUM,27.0,True,Racing Point,4374.285,1,10.0,,,False,2019,1
4575.773,STR,18,94.0,28.0,2.0,4484.558,,35.918,23.438,34.644,269.0,283.0,286.0,225.0,False,HARD,1.0,True,Racing Point,4481.773,1,10.0,,,False,2019,1
3306.96,MAG,20,108.686,14.0,1.0,,3287.316,30.201,23.907,54.578,270.0,281.0,,285.0,False,SOFT,17.0,False,Haas F1 Team,3198.274,1,11.0,,,False,2019,1
3401.981,MAG,20,95.021,15.0,2.0,3309.798,,35.888,23.783,35.35,271.0,279.0,281.0,225.0,False,MEDIUM,1.0,True,Haas F1 Team,3306.96,1,10.0,,,False,2019,1
