Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap,Year,RoundNumber
2019-03-31 16:42:15,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,,55.0,2019,2
2019-04-14 06:14:54,SafetyCar,VIRTUAL SAFETY CAR DEPLOYED,DEPLOYED,,,,,1.0,2019,3
2019-04-14 06:15:45,SafetyCar,VIRTUAL SAFETY CAR ENDING,ENDING,,,,,2.0,2019,3
2019-04-28 13:23:44,SafetyCar,VIRTUAL SAFETY CAR DEPLOYED,DEPLOYED,,,,,40.0,2019,4
2019-04-28 13:26:55,SafetyCar,VIRTUAL SAFETY CAR ENDING,ENDING,,,,,41.0,2019,4
2019-05-12 14:16:08,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,,46.0,2019,5
2019-05-12 14:28:36,SafetyCar,SAFETY CAR IN THIS LAP,IN THIS LAP,,,,,52.0,2019,5
2019-05-26 13:26:09,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,,11.0,2019,6
2019-05-26 13:31:53,SafetyCar,SAFETY CAR IN THIS LAP,IN THIS LAP,,,,,14.0,2019,6
2019-06-23 14:32:53,SafetyCar,VIRTUAL SAFETY CAR DEPLOYED,DEPLOYED,,,,,50.0,2019,8
2019-06-23 14:33:11,SafetyCar,VIRTUAL SAFETY CAR ENDING,ENDING,,,,,50.0,2019,8
2019-07-14 13:43:15,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,,20.0,2019,10
2019-07-14 13:49:25,SafetyCar,SAFETY CAR IN THIS LAP,IN THIS LAP,,,,,23.0,2019,10
2019-07-28 13:00:05,Other,FORMATION LAPS WILL COMMENCE ON TIME AT 15:10 BEHIND THE SAFETY CAR,,,,,,1.0,2019,11
2019-07-28 13:17:20,Other,SAFETY CAR WILL ENTER PITS: STANDING START,,,,,,1.0,2019,11
2019-07-28 13:23:20,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,,3.0,2019,11
2019-07-28 13:26:39,SafetyCar,SAFETY CAR IN THIS LAP,IN THIS LAP,,,,,4.0,2019,11
2019-07-28 13:43:48,SafetyCar,VIRTUAL SAFETY CAR DEPLOYED,DEPLOYED,,,,,15.0,2019,11
2019-07-28 13:44:59,SafetyCar,VIRTUAL SAFETY CAR ENDING,ENDING,,,,,16.0,2019,11
2019-07-28 14:03:17,SafetyCar,VIRTUAL SAFETY CAR DEPLOYED,DEPLOYED,,,,,28.0,2019,11
2019-07-28 14:04:46,SafetyCar,VIRTUAL SAFETY CAR ENDING,ENDING,,,,,28.0,2019,11
2019-07-28 14:05:46,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,,29.0,2019,11
2019-07-28 14:15:10,SafetyCar,SAFETY CAR IN THIS LAP,IN THIS LAP,,,,,33.0,2019,11
2019-07-28 14:19:51,Other,INCIDENT INVOLVING CAR 44 (HAM) UNDER INVESTIGATION - DRIVING UNNECESSARILY SLOWLY WHILE SAFETY CAR DEPLOYED,,,,,,36.0,2019,11
2019-07-28 14:27:52,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,,41.0,2019,11
2019-07-28 14:35:25,SafetyCar,SAFETY CAR IN THIS LAP,IN THIS LAP,,,,,45.0,2019,11
2019-07-28 14:52:44,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,,57.0,2019,11
2019-07-28 14:57:19,SafetyCar,SAFETY CAR IN THIS LAP,IN THIS LAP,,,,,59.0,2019,11
2019-09-01 13:14:23,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,,1.0,2019,13
2019-09-01 13:19:42,SafetyCar,SAFETY CAR IN THIS LAP,IN THIS LAP,,,,,3.0,2019,13
2019-09-01 13:21:03,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,,3.0,2019,13
2019-09-01 13:22:26,SafetyCar,SAFETY CAR IN THIS LAP,IN THIS LAP,,,,,4.0,2019,13
2019-09-08 13:53:28,SafetyCar,VIRTUAL SAFETY CAR DEPLOYED,DEPLOYED,,,,,29.0,2019,14
2019-09-08 13:54:09,SafetyCar,VIRTUAL SAFETY CAR ENDING,ENDING,,,,,29.0,2019,14
2019-09-08 13:56:31,SafetyCar,VIRTUAL SAFETY CAR DEPLOYED,DEPLOYED,,,,,31.0,2019,14
2019-09-08 13:57:35,SafetyCar,VIRTUAL SAFETY CAR ENDING,ENDING,,,,,31.0,2019,14
2019-09-22 13:18:42,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,,36.0,2019,15
2019-09-22 13:28:08,SafetyCar,SAFETY CAR IN THIS LAP,IN THIS LAP,,,,,40.0,2019,15
2019-09-22 13:36:49,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,,44.0,2019,15
2019-09-22 13:43:52,SafetyCar,SAFETY CAR IN THIS LAP,IN THIS LAP,,,,,47.0,2019,15
2019-09-22 13:51:02,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,,50.0,2019,15
