Season,DriverNumber,Driver,FullName,Team,CountryCode,HeadshotUrl
2020,77,BOT,Valtteri Bottas,Mercedes,,https://www.formula1.com/content/dam/fom-website/drivers/V/VALBOT01_Valtteri_Bottas/valbot01.png.transform/1col/image.png
2020,16,LEC,Charles Leclerc,Ferrari,,https://www.formula1.com/content/dam/fom-website/drivers/C/CHALEC01_Charles_Leclerc/chalec01.png.transform/1col/image.png
2020,4,NOR,Lando Norris,McLaren,,https://www.formula1.com/content/dam/fom-website/drivers/L/LANNOR01_Lando_Norris/lannor01.png.transform/1col/image.png
2020,44,HAM,Lewis Hamilton,Mercedes,,https://www.formula1.com/content/dam/fom-website/drivers/L/LEWHAM01_Lewis_Hamilton/lewham01.png.transform/1col/image.png
2020,55,SAI,Carlos Sainz,McLaren,,https://www.formula1.com/content/dam/fom-website/drivers/C/CARSAI01_Carlos_Sainz/carsai01.png.transform/1col/image.png
2020,11,PER,Sergio Perez,Racing Point,,https://www.formula1.com/content/dam/fom-website/drivers/S/SERPER01_Sergio_Perez/serper01.png.transform/1col/image.png
2020,10,GAS,Pierre Gasly,AlphaTauri,,https://www.formula1.com/content/dam/fom-website/drivers/P/PIEGAS01_Pierre_Gasly/piegas01.png.transform/1col/image.png
2020,31,OCO,Esteban Ocon,Renault,,https://www.formula1.com/content/dam/fom-website/drivers/E/ESTOCO01_Esteban_Ocon/estoco01.png.transform/1col/image.png
2020,99,GIO,Antonio Giovinazzi,Alfa Romeo Racing,,https://www.formula1.com/content/dam/fom-website/drivers/A/ANTGIO01_Antonio_Giovinazzi/antgio01.png.transform/1col/image.png
2020,5,VET,Sebastian Vettel,Ferrari,,https://www.formula1.com/content/dam/fom-website/drivers/S/SEBVET01_Sebastian_Vettel/sebvet01.png.transform/1col/image.png
2020,6,LAT,Nicholas Latifi,Williams,,https://www.formula1.com/content/dam/fom-website/drivers/N/NICLAF01_Nicholas_Latifi/niclaf01.png.transform/1col/image.png
2020,26,KVY,Daniil Kvyat,AlphaTauri,,https://www.formula1.com/content/dam/fom-website/drivers/D/DANKVY01_Daniil_Kvyat/dankvy01.png.transform/1col/image.png
2020,23,ALB,Alexander Albon,Red Bull Racing,,https://www.formula1.com/content/dam/fom-website/drivers/A/ALEALB01_Alexander_Albon/alealb01.png.transform/1col/image.png
2020,7,RAI,Kimi Räikkönen,Alfa Romeo Racing,,https://www.formula1.com/content/dam/fom-website/drivers/K/KIMRAI01_Kimi_R%C3%A4ikk%C3%B6nen/kimrai01.png.transform/1col/image.png
2020,63,RUS,George Russell,Williams,,https://www.formula1.com/content/dam/fom-website/drivers/G/GEORUS01_George_Russell/georus01.png.transform/1col/image.png
2020,8,GRO,Romain Grosjean,Haas F1 Team,,https://www.formula1.com/content/dam/fom-website/drivers/R/ROMGRO01_Romain_Grosjean/romgro01.png.transform/1col/image.png
2020,20,MAG,Kevin Magnussen,Haas F1 Team,,https://www.formula1.com/content/dam/fom-website/drivers/K/KEVMAG01_Kevin_Magnussen/kevmag01.png.transform/1col/image.png
2020,18,STR,Lance Stroll,Racing Point,,https://www.formula1.com/content/dam/fom-website/drivers/L/LANSTR01_Lance_Stroll/lanstr01.png.transform/1col/image.png
2020,3,RIC,Daniel Ricciardo,Renault,,https://www.formula1.com/content/dam/fom-website/drivers/D/DANRIC01_Daniel_Ricciardo/danric01.png.transform/1col/image.png
2020,33,VER,Max Verstappen,Red Bull Racing,,https://www.formula1.com/content/dam/fom-website/drivers/M/MAXVER01_Max_Verstappen/maxver01.png.transform/1col/image.png
2020,27,HUL,Nico Hulkenberg,Racing Point,,
2020,89,AIT,Jack Aitken,Williams,,
2020,51,FIT,Pietro Fittipaldi,Haas F1 Team,,
