Driver,DriverNumber,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,Stint,TyreLife,Position,TrackStatus,IsPersonalBest,PitOutTime,PitInTime,FreshTyre,LapStartTime,LapStartDate,IsAccurate
ALB,23,Red Bull Racing,1,75.104,None,32.211,21.871,SOFT,1,4,4,1,False,None,None,False,1967.006,2020-07-05T13:12:47.229000000,False
ALB,23,Red Bull Racing,2,70.362,17.405,31.428,21.529,SOFT,1,5,4,1,True,None,None,False,2042.3,2020-07-05T13:14:02.523000000,True
ALB,23,Red Bull Racing,3,69.579,17.231,30.945,21.403,SOFT,1,6,3,1,True,None,None,False,2112.662,2020-07-05T13:15:12.885000000,True
ALB,23,Red Bull Racing,4,69.853,17.637,30.971,21.245,SOFT,1,7,3,1,False,None,None,False,2182.241,2020-07-05T13:16:22.464000000,True
ALB,23,Red Bull Racing,5,69.412,17.48,30.845,21.087,SOFT,1,8,3,1,True,None,None,False,2252.094,2020-07-05T13:17:32.317000000,True
ALB,23,Red Bull Racing,6,69.525,17.52,30.868,21.137,SOFT,1,9,3,1,False,None,None,False,2321.506,2020-07-05T13:18:41.729000000,True
ALB,23,Red Bull Racing,7,69.808,17.504,31.161,21.143,SOFT,1,10,3,1,False,None,None,False,2391.031,2020-07-05T13:19:51.254000000,True
ALB,23,Red Bull Racing,8,69.649,17.502,31.05,21.097,SOFT,1,11,3,1,False,None,None,False,2460.839,2020-07-05T13:21:01.062000000,True
ALB,23,Red Bull Racing,9,71.677,17.708,31.14,None,SOFT,1,12,4,1,False,None,None,False,2530.488,2020-07-05T13:22:10.711000000,False
ALB,23,Red Bull Racing,10,70.495,None,None,21.26,SOFT,1,13,4,1,False,None,None,False,2600.498,2020-07-05T13:23:20.721000000,False
ALB,23,Red Bull Racing,11,70.097,17.7,31.192,21.19,SOFT,1,14,3,1,False,None,None,False,2670.606,2020-07-05T13:24:30.829000000,True
ALB,23,Red Bull Racing,12,69.883,17.7,31.102,21.021,SOFT,1,15,3,1,False,None,None,False,2740.688,2020-07-05T13:25:40.911000000,True
ALB,23,Red Bull Racing,13,69.752,17.674,31.038,21.195,SOFT,1,16,3,1,False,None,None,False,2810.511,2020-07-05T13:26:50.734000000,True
ALB,23,Red Bull Racing,14,70.01,17.671,31.191,21.223,SOFT,1,17,3,1,False,None,None,False,2880.418,2020-07-05T13:28:00.641000000,True
ALB,23,Red Bull Racing,15,70.108,17.659,31.008,21.28,SOFT,1,18,3,1,False,None,None,False,2950.503,2020-07-05T13:29:10.726000000,True
ALB,23,Red Bull Racing,16,70.082,17.621,31.108,21.373,SOFT,1,19,3,1,False,None,None,False,3020.45,2020-07-05T13:30:20.673000000,True
ALB,23,Red Bull Racing,17,69.823,17.629,31.049,21.218,SOFT,1,20,3,1,False,None,None,False,3090.552,2020-07-05T13:31:30.775000000,True
ALB,23,Red Bull Racing,18,69.907,17.574,31.119,21.304,SOFT,1,21,3,1,False,None,None,False,3160.448,2020-07-05T13:32:40.671000000,True
ALB,23,Red Bull Racing,19,70.085,17.594,31.072,21.269,SOFT,1,22,3,1,False,None,None,False,3230.445,2020-07-05T13:33:50.668000000,True
ALB,23,Red Bull Racing,20,69.947,17.537,31.094,21.288,SOFT,1,23,3,1,False,None,None,False,3300.38,2020-07-05T13:35:00.603000000,True
ALB,23,Red Bull Racing,21,70.102,17.595,39.273,30.296,SOFT,1,24,3,12,False,None,3806.007,False,3370.299,2020-07-05T13:36:10.522000000,False
ALB,23,Red Bull Racing,22,69.896,38.969,41.506,30.489,SOFT,1,25,3,1,False,3827.455,None,False,3457.463,2020-07-05T13:37:37.686000000,False
ALB,23,Red Bull Racing,23,69.997,24.629,46.396,35.624,SOFT,1,26,3,1,False,None,None,False,3568.427,2020-07-05T13:39:28.650000000,True
ALB,23,Red Bull Racing,24,69.935,28.654,50.367,36.655,SOFT,1,27,3,124,False,None,None,False,3675.076,2020-07-05T13:41:15.299000000,False
ALB,23,Red Bull Racing,25,69.919,30.453,53.379,28.31,HARD,2,1,3,4,False,None,None,True,3790.752,2020-07-05T13:43:10.975000000,False
ALB,23,Red Bull Racing,26,87.164,17.689,31.106,21.255,HARD,2,2,3,4,False,None,None,True,3902.894,2020-07-05T13:45:03.117000000,False
ALB,23,Red Bull Racing,27,110.964,17.494,30.815,21.056,HARD,2,3,3,4,True,None,None,True,3972.944,2020-07-05T13:46:13.167000000,False
ALB,23,Red Bull Racing,28,106.649,17.561,30.669,21.041,HARD,2,4,3,4,True,None,None,True,4042.309,2020-07-05T13:47:22.532000000,False
ALB,23,Red Bull Racing,29,115.676,17.419,30.402,20.882,HARD,2,5,3,4,True,None,None,True,4111.58,2020-07-05T13:48:31.803000000,False
ALB,23,Red Bull Racing,30,112.142,17.377,30.46,20.781,HARD,2,6,3,41,True,None,None,True,4180.283,2020-07-05T13:49:40.506000000,False
ALB,23,Red Bull Racing,31,70.05,17.381,30.564,20.758,HARD,2,7,3,12,False,None,None,True,4248.901,2020-07-05T13:50:49.124000000,True
ALB,23,Red Bull Racing,32,69.365,17.35,30.449,20.794,HARD,2,8,3,1,True,None,None,True,4317.604,2020-07-05T13:51:57.827000000,True
ALB,23,Red Bull Racing,33,69.271,17.339,30.586,20.809,HARD,2,9,3,1,False,None,None,True,4386.197,2020-07-05T13:53:06.420000000,True
ALB,23,Red Bull Racing,34,68.703,17.41,30.54,20.772,HARD,2,10,3,1,False,None,None,True,4454.931,2020-07-05T13:54:15.154000000,True
ALB,23,Red Bull Racing,35,68.618,17.41,30.44,20.828,HARD,2,11,3,1,False,None,None,True,4523.653,2020-07-05T13:55:23.876000000,True
ALB,23,Red Bull Racing,36,68.703,17.412,30.613,20.749,HARD,2,12,3,1,False,None,None,True,4592.331,2020-07-05T13:56:32.554000000,True
ALB,23,Red Bull Racing,37,68.593,17.403,30.617,20.86,HARD,2,13,3,1,False,None,None,True,4661.105,2020-07-05T13:57:41.328000000,True
ALB,23,Red Bull Racing,38,68.734,17.372,30.851,20.784,HARD,2,14,3,1,False,None,None,True,4729.985,2020-07-05T13:58:50.208000000,True
ALB,23,Red Bull Racing,39,68.722,17.369,30.622,20.836,HARD,2,15,3,1,False,None,None,True,4798.992,2020-07-05T13:59:59.215000000,True
ALB,23,Red Bull Racing,40,68.678,17.485,30.755,20.88,HARD,2,16,3,1,False,None,None,True,4867.819,2020-07-05T14:01:08.042000000,True
ALB,23,Red Bull Racing,41,68.774,17.409,30.838,20.838,HARD,2,17,3,1,False,None,None,True,4936.939,2020-07-05T14:02:17.162000000,True
ALB,23,Red Bull Racing,42,68.88,17.364,30.582,20.797,HARD,2,18,3,1,False,None,None,True,5006.024,2020-07-05T14:03:26.247000000,True
ALB,23,Red Bull Racing,43,69.007,17.494,30.399,20.744,HARD,2,19,3,1,False,None,None,True,5074.767,2020-07-05T14:04:34.990000000,True
ALB,23,Red Bull Racing,44,68.827,17.433,30.417,20.734,HARD,2,20,3,1,True,None,None,True,5143.404,2020-07-05T14:05:43.627000000,True
ALB,23,Red Bull Racing,45,69.12,17.35,30.328,20.754,HARD,2,21,3,1,True,None,None,True,5211.988,2020-07-05T14:06:52.211000000,True
ALB,23,Red Bull Racing,46,69.085,17.371,30.996,32.255,HARD,2,22,3,1,False,None,5709.612,True,5280.42,2020-07-05T14:08:00.643000000,False
ALB,23,Red Bull Racing,47,68.743,38.17,41.159,30.088,HARD,2,23,3,1,False,5731.605,None,True,5361.042,2020-07-05T14:09:21.265000000,False
ALB,23,Red Bull Racing,48,68.637,22.808,52.232,38.544,HARD,2,24,3,1,False,None,None,True,5470.459,2020-07-05T14:11:10.682000000,True
ALB,23,Red Bull Racing,49,68.584,26.083,44.831,26.376,HARD,2,25,3,124,False,None,None,True,5584.043,2020-07-05T14:13:04.266000000,False
ALB,23,Red Bull Racing,50,68.432,17.326,49.968,32.217,SOFT,3,4,3,4,False,None,None,False,5681.333,2020-07-05T14:14:41.556000000,False
ALB,23,Red Bull Racing,51,80.622,24.282,46.581,43.218,SOFT,3,5,3,4,False,None,6243.208,False,5780.844,2020-07-05T14:16:21.067000000,False
ALB,23,Red Bull Racing,52,109.417,34.907,45.103,36.339,SOFT,3,6,4,4,False,6260.337,None,False,5894.925,2020-07-05T14:18:15.148000000,False
ALB,23,Red Bull Racing,53,113.584,27.749,44.386,38.871,SOFT,3,7,4,412,False,None,None,False,6011.274,2020-07-05T14:20:11.497000000,False
ALB,23,Red Bull Racing,54,97.29,23.798,43.5,34.159,SOFT,3,8,4,4,False,None,None,False,6122.28,2020-07-05T14:22:02.503000000,False
ALB,23,Red Bull Racing,55,99.511,23.747,47.62,25.141,SOFT,4,9,4,4,False,None,None,False,6223.737,2020-07-05T14:23:43.960000000,False
ALB,23,Red Bull Racing,56,114.081,17.034,38.65,21.084,SOFT,4,10,4,4,False,None,None,False,6320.245,2020-07-05T14:25:20.468000000,False
ALB,23,Red Bull Racing,57,116.349,17.282,31.493,21.399,SOFT,4,11,4,4,False,None,None,False,6397.013,2020-07-05T14:26:37.236000000,False
ALB,23,Red Bull Racing,58,111.006,17.056,31.015,21.539,SOFT,4,12,4,4,False,None,None,False,6467.187,2020-07-05T14:27:47.410000000,False
ALB,23,Red Bull Racing,59,101.457,16.753,31.228,21.939,SOFT,4,13,3,4,False,None,None,False,6536.797,2020-07-05T14:28:57.020000000,False
ALB,23,Red Bull Racing,60,96.508,17.045,31.798,21.678,SOFT,4,14,3,41,False,None,None,False,6606.717,2020-07-05T14:30:06.940000000,False
ALB,23,Red Bull Racing,61,76.768,17.135,32.099,21.625,SOFT,4,15,13,1,False,None,None,False,6677.238,2020-07-05T14:31:17.461000000,True
ALB,23,Red Bull Racing,62,70.174,16.934,31.379,21.869,SOFT,4,16,13,1,False,None,None,False,6748.097,2020-07-05T14:32:28.320000000,True
ALB,23,Red Bull Racing,63,69.61,None,None,None,SOFT,4,17,13,1,None,None,None,False,6818.279,2020-07-05T14:33:38.502000000,False
ALB,23,None,64,69.92,None,None,None,None,None,None,12,None,None,None,None,None,None,None,None
ALB,23,None,65,70.521,None,None,None,None,None,None,12,None,None,None,None,None,None,None,None
ALB,23,None,66,70.859,None,None,None,None,None,None,12,None,None,None,None,None,None,None,None
ALB,23,None,67,70.182,None,None,None,None,None,None,11,None,None,None,None,None,None,None,None
BOT,77,Mercedes,1,71.454,None,30.505,21.087,SOFT,1,4,1,1,False,None,None,False,1967.006,2020-07-05T13:12:47.229000000,False
BOT,77,Mercedes,2,69.441,17.44,30.731,21.27,SOFT,1,5,1,1,True,None,None,False,2038.65,2020-07-05T13:13:58.873000000,True
BOT,77,Mercedes,3,69.598,17.513,30.749,21.336,SOFT,1,6,1,1,False,None,None,False,2108.091,2020-07-05T13:15:08.314000000,True
BOT,77,Mercedes,4,69.592,17.595,30.844,21.153,SOFT,1,7,1,1,False,None,None,False,2177.689,2020-07-05T13:16:17.912000000,True
BOT,77,Mercedes,5,69.159,17.41,30.633,21.116,SOFT,1,8,1,1,True,None,None,False,2247.281,2020-07-05T13:17:27.504000000,True
BOT,77,Mercedes,6,69.386,17.545,30.742,21.099,SOFT,1,9,1,1,False,None,None,False,2316.44,2020-07-05T13:18:36.663000000,True
BOT,77,Mercedes,7,69.051,17.521,30.541,20.989,SOFT,1,10,1,1,True,None,None,False,2385.826,2020-07-05T13:19:46.049000000,True
BOT,77,Mercedes,8,69.185,17.449,30.702,21.034,SOFT,1,11,1,1,False,None,None,False,2454.877,2020-07-05T13:20:55.100000000,True
BOT,77,Mercedes,9,69.357,17.419,30.705,21.233,SOFT,1,12,1,1,False,None,None,False,2524.062,2020-07-05T13:22:04.285000000,True
BOT,77,Mercedes,10,69.457,17.514,30.686,None,SOFT,1,13,1,1,False,None,None,False,2593.419,2020-07-05T13:23:13.642000000,False
BOT,77,Mercedes,11,69.407,None,None,21.1,SOFT,1,14,1,1,False,None,None,False,2662.966,2020-07-05T13:24:23.189000000,False
BOT,77,Mercedes,12,69.649,17.508,30.901,21.008,SOFT,1,15,1,1,False,None,None,False,2732.266,2020-07-05T13:25:32.489000000,True
BOT,77,Mercedes,13,69.333,17.496,30.843,20.885,SOFT,1,16,1,1,False,None,None,False,2801.683,2020-07-05T13:26:41.906000000,True
BOT,77,Mercedes,14,69.547,17.528,30.679,20.842,SOFT,1,17,1,1,True,None,None,False,2870.907,2020-07-05T13:27:51.130000000,True
BOT,77,Mercedes,15,69.3,17.406,30.818,21.036,SOFT,1,18,1,1,False,None,None,False,2939.956,2020-07-05T13:29:00.179000000,True
BOT,77,Mercedes,16,69.417,17.491,30.935,21.086,SOFT,1,19,1,1,False,None,None,False,3009.216,2020-07-05T13:30:09.439000000,True
BOT,77,Mercedes,17,69.224,17.512,30.998,21.189,SOFT,1,20,1,1,False,None,None,False,3078.728,2020-07-05T13:31:18.951000000,True
BOT,77,Mercedes,18,69.049,17.703,31.06,21.084,SOFT,1,21,1,1,False,None,None,False,3148.427,2020-07-05T13:32:28.650000000,True
BOT,77,Mercedes,19,69.26,17.499,30.968,21.15,SOFT,1,22,1,1,False,None,None,False,3218.274,2020-07-05T13:33:38.497000000,True
BOT,77,Mercedes,20,69.512,17.529,31.512,21.364,SOFT,1,23,1,1,False,None,None,False,3287.891,2020-07-05T13:34:48.114000000,True
BOT,77,Mercedes,21,69.699,17.459,31.484,21.206,SOFT,1,24,1,12,False,None,None,False,3358.296,2020-07-05T13:35:58.519000000,True
BOT,77,Mercedes,22,69.847,17.667,33.687,32.764,SOFT,1,25,1,1,False,None,3787.094,False,3428.445,2020-07-05T13:37:08.668000000,False
BOT,77,Mercedes,23,69.617,39.762,47.506,35.665,SOFT,1,26,1,1,False,3809.047,None,False,3512.563,2020-07-05T13:38:32.786000000,False
BOT,77,Mercedes,24,70.405,29.416,45.113,36.32,SOFT,1,27,1,12,False,None,None,False,3635.496,2020-07-05T13:40:35.719000000,True
BOT,77,Mercedes,25,70.149,29.044,50.023,36.216,HARD,2,1,1,24,False,None,None,True,3746.345,2020-07-05T13:42:26.568000000,False
BOT,77,Mercedes,26,84.118,30.278,54.909,28.556,HARD,2,2,1,4,False,None,None,True,3861.628,2020-07-05T13:44:21.851000000,False
BOT,77,Mercedes,27,122.933,17.366,30.56,20.81,HARD,2,3,1,4,True,None,None,True,3975.371,2020-07-05T13:46:15.594000000,False
BOT,77,Mercedes,28,110.849,17.37,30.491,20.872,HARD,2,4,1,4,True,None,None,True,4044.107,2020-07-05T13:47:24.330000000,False
BOT,77,Mercedes,29,115.283,17.382,30.368,20.77,HARD,2,5,1,4,True,None,None,True,4112.84,2020-07-05T13:48:33.063000000,False
BOT,77,Mercedes,30,113.743,17.336,30.375,20.813,HARD,2,6,1,41,False,None,None,True,4181.36,2020-07-05T13:49:41.583000000,False
BOT,77,Mercedes,31,68.736,17.326,30.497,20.61,HARD,2,7,1,12,True,None,None,True,4249.884,2020-07-05T13:50:50.107000000,True
BOT,77,Mercedes,32,68.733,17.334,30.436,20.49,HARD,2,8,1,1,True,None,None,True,4318.317,2020-07-05T13:51:58.540000000,True
BOT,77,Mercedes,33,68.52,17.229,30.345,20.62,HARD,2,9,1,1,True,None,None,True,4386.577,2020-07-05T13:53:06.800000000,True
BOT,77,Mercedes,34,68.524,17.282,30.391,20.562,HARD,2,10,1,1,False,None,None,True,4454.771,2020-07-05T13:54:14.994000000,True
BOT,77,Mercedes,35,68.433,17.374,30.365,20.564,HARD,2,11,1,1,False,None,None,True,4523.006,2020-07-05T13:55:23.229000000,True
BOT,77,Mercedes,36,68.26,17.406,30.287,20.438,HARD,2,12,1,1,True,None,None,True,4591.309,2020-07-05T13:56:31.532000000,True
BOT,77,Mercedes,37,68.194,17.361,30.269,20.512,HARD,2,13,1,1,False,None,None,True,4659.44,2020-07-05T13:57:39.663000000,True
BOT,77,Mercedes,38,68.235,17.328,30.435,20.509,HARD,2,14,1,1,False,None,None,True,4727.582,2020-07-05T13:58:47.805000000,True
BOT,77,Mercedes,39,68.303,17.268,30.551,20.653,HARD,2,15,1,1,False,None,None,True,4795.854,2020-07-05T13:59:56.077000000,True
BOT,77,Mercedes,40,68.131,17.341,30.422,20.559,HARD,2,16,1,1,False,None,None,True,4864.326,2020-07-05T14:01:04.549000000,True
BOT,77,Mercedes,41,68.142,17.41,30.363,20.458,HARD,2,17,1,1,False,None,None,True,4932.648,2020-07-05T14:02:12.871000000,True
BOT,77,Mercedes,42,68.272,17.323,30.422,20.717,HARD,2,18,1,1,False,None,None,True,5000.879,2020-07-05T14:03:21.102000000,True
BOT,77,Mercedes,43,68.472,17.347,30.452,20.622,HARD,2,19,1,1,False,None,None,True,5069.341,2020-07-05T14:04:29.564000000,True
BOT,77,Mercedes,44,68.322,17.342,30.401,20.536,HARD,2,20,1,1,False,None,None,True,5137.762,2020-07-05T14:05:37.985000000,True
BOT,77,Mercedes,45,68.231,17.38,30.294,20.748,HARD,2,21,1,1,False,None,None,True,5206.041,2020-07-05T14:06:46.264000000,True
BOT,77,Mercedes,46,68.462,17.379,30.282,20.69,HARD,2,22,1,1,False,None,None,True,5274.463,2020-07-05T14:07:54.686000000,True
BOT,77,Mercedes,47,68.421,17.281,30.504,27.599,HARD,2,23,1,1,False,None,None,True,5342.814,2020-07-05T14:09:03.037000000,True
BOT,77,Mercedes,48,68.279,26.561,51.823,37.011,HARD,2,24,1,1,False,None,None,True,5418.198,2020-07-05T14:10:18.421000000,True
BOT,77,Mercedes,49,68.422,29.77,51.997,38.333,HARD,2,25,1,1,False,None,None,True,5533.593,2020-07-05T14:12:13.816000000,True
BOT,77,Mercedes,50,68.351,25.305,47.496,27.292,HARD,2,26,1,124,False,None,None,True,5653.693,2020-07-05T14:14:13.916000000,False
BOT,77,Mercedes,51,75.384,17.09,44.018,34.971,HARD,2,27,1,4,False,None,None,True,5753.786,2020-07-05T14:15:54.009000000,False
BOT,77,Mercedes,52,115.395,26.093,46.48,42.235,HARD,2,28,1,4,False,None,6239.028,True,5849.865,2020-07-05T14:17:30.088000000,False
BOT,77,Mercedes,53,120.1,35.473,45.737,36.627,HARD,2,29,1,412,False,6255.437,None,True,5964.673,2020-07-05T14:19:24.896000000,False
BOT,77,Mercedes,54,100.093,26.154,45.853,37.808,HARD,2,30,1,4,False,None,None,True,6082.51,2020-07-05T14:21:22.733000000,False
BOT,77,Mercedes,55,96.079,24.688,44.298,33.639,HARD,3,31,1,4,False,None,None,False,6192.325,2020-07-05T14:23:12.548000000,False
BOT,77,Mercedes,56,114.808,24.619,48.233,25.694,HARD,3,32,1,4,False,None,None,False,6294.95,2020-07-05T14:24:55.173000000,False
BOT,77,Mercedes,57,117.837,17.079,30.465,20.66,HARD,3,33,1,4,False,None,None,False,6393.496,2020-07-05T14:26:33.719000000,False
BOT,77,Mercedes,58,109.815,17.272,30.471,20.635,HARD,3,34,1,4,False,None,None,False,6461.7,2020-07-05T14:27:41.923000000,False
BOT,77,Mercedes,59,102.625,17.317,30.222,20.523,HARD,3,35,1,4,True,None,None,False,6530.078,2020-07-05T14:28:50.301000000,False
BOT,77,Mercedes,60,98.546,17.34,30.209,20.625,HARD,3,36,1,41,False,None,None,False,6598.14,2020-07-05T14:29:58.363000000,False
BOT,77,Mercedes,61,68.204,17.311,30.383,20.544,HARD,3,37,1,1,False,None,None,False,6666.314,2020-07-05T14:31:06.537000000,True
BOT,77,Mercedes,62,68.378,17.244,30.4,20.555,HARD,3,38,1,1,False,None,None,False,6734.552,2020-07-05T14:32:14.775000000,True
BOT,77,Mercedes,63,68.062,17.254,30.353,20.416,HARD,3,39,1,1,True,None,None,False,6802.751,2020-07-05T14:33:22.974000000,True
BOT,77,Mercedes,64,68.174,17.266,30.181,20.21,HARD,3,40,1,1,True,None,None,False,6870.774,2020-07-05T14:34:30.997000000,True
BOT,77,Mercedes,65,68.238,17.186,30.922,21.938,HARD,3,41,1,1,False,None,None,False,6938.431,2020-07-05T14:35:38.654000000,True
BOT,77,Mercedes,66,68.199,17.122,30.603,20.475,HARD,3,42,1,1,False,None,None,False,7008.477,2020-07-05T14:36:48.700000000,True
BOT,77,Mercedes,67,68.023,17.361,30.388,20.663,HARD,3,43,1,1,False,None,None,False,7076.677,2020-07-05T14:37:56.900000000,True
BOT,77,Mercedes,68,67.657,None,None,None,HARD,3,44,1,12,None,None,None,False,7145.089,2020-07-05T14:39:05.312000000,False
BOT,77,None,69,70.046,None,None,None,None,None,None,1,None,None,None,None,None,None,None,None
BOT,77,None,70,68.2,None,None,None,None,None,None,1,None,None,None,None,None,None,None,None
BOT,77,None,71,68.412,None,None,None,None,None,None,1,None,None,None,None,None,None,None,None
GAS,10,AlphaTauri,1,79.106,None,33.352,23.247,MEDIUM,1,1,12,1,False,None,None,True,1967.006,2020-07-05T13:12:47.229000000,False
GAS,10,AlphaTauri,2,72.412,17.96,32.228,22.224,MEDIUM,1,2,12,1,True,None,None,True,2046.302,2020-07-05T13:14:06.525000000,True
GAS,10,AlphaTauri,3,71.311,17.513,31.717,22.081,MEDIUM,1,3,12,1,True,None,None,True,2118.714,2020-07-05T13:15:18.937000000,True
GAS,10,AlphaTauri,4,70.725,17.41,31.51,21.805,MEDIUM,1,4,12,1,True,None,None,True,2190.025,2020-07-05T13:16:30.248000000,True
GAS,10,AlphaTauri,5,71.511,17.464,31.827,22.22,MEDIUM,1,5,12,1,False,None,None,True,2260.75,2020-07-05T13:17:40.973000000,True
GAS,10,AlphaTauri,6,72.028,17.944,31.741,22.343,MEDIUM,1,6,12,1,False,None,None,True,2332.261,2020-07-05T13:18:52.484000000,True
GAS,10,AlphaTauri,7,71.173,17.898,31.66,21.615,MEDIUM,1,7,12,1,False,None,None,True,2404.289,2020-07-05T13:20:04.512000000,True
GAS,10,AlphaTauri,8,70.912,17.846,31.491,21.575,MEDIUM,1,8,12,1,False,None,None,True,2475.462,2020-07-05T13:21:15.685000000,True
GAS,10,AlphaTauri,9,70.902,17.883,31.301,None,MEDIUM,1,9,12,1,False,None,None,True,2546.374,2020-07-05T13:22:26.597000000,False
GAS,10,AlphaTauri,10,71.031,17.883,31.593,21.494,MEDIUM,1,10,12,1,False,None,None,True,2617.201,2020-07-05T13:23:37.424000000,True
GAS,10,AlphaTauri,11,71.089,17.957,31.554,21.442,MEDIUM,1,11,11,1,False,None,None,True,2688.171,2020-07-05T13:24:48.394000000,True
GAS,10,AlphaTauri,12,71.069,17.866,31.417,21.479,MEDIUM,1,12,11,1,False,None,None,True,2759.124,2020-07-05T13:25:59.347000000,True
GAS,10,AlphaTauri,13,70.897,17.883,31.518,21.443,MEDIUM,1,13,11,1,False,None,None,True,2829.886,2020-07-05T13:27:10.109000000,True
GAS,10,AlphaTauri,14,70.827,17.885,31.362,21.465,MEDIUM,1,14,11,1,True,None,None,True,2900.73,2020-07-05T13:28:20.953000000,True
GAS,10,AlphaTauri,15,70.97,17.91,31.493,21.536,MEDIUM,1,15,11,1,False,None,None,True,2971.442,2020-07-05T13:29:31.665000000,True
GAS,10,AlphaTauri,16,70.953,17.823,31.456,21.454,MEDIUM,1,16,11,1,False,None,None,True,3042.381,2020-07-05T13:30:42.604000000,True
GAS,10,AlphaTauri,17,70.762,17.809,31.317,21.409,MEDIUM,1,17,10,1,True,None,None,True,3113.114,2020-07-05T13:31:53.337000000,True
GAS,10,AlphaTauri,18,70.844,17.811,31.353,21.508,MEDIUM,1,18,10,1,False,None,None,True,3183.649,2020-07-05T13:33:03.872000000,True
GAS,10,AlphaTauri,19,70.712,17.855,31.341,21.372,MEDIUM,1,19,9,1,False,None,None,True,3254.321,2020-07-05T13:34:14.544000000,True
GAS,10,AlphaTauri,20,70.939,17.818,31.333,21.459,MEDIUM,1,20,9,12,False,None,None,True,3324.889,2020-07-05T13:35:25.112000000,True
GAS,10,AlphaTauri,21,70.733,25.967,39.142,30.66,MEDIUM,1,21,9,1,False,None,3842.96,True,3395.499,2020-07-05T13:36:35.722000000,False
