Driver,DriverNumber,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,Stint,TyreLife,Position,TrackStatus,IsPersonalBest,PitOutTime,PitInTime,FreshTyre,LapStartTime,LapStartDate,IsAccurate
ALB,23,Red Bull Racing,1,87.279,None,31.947,33.998,SOFT,1,1,5,14,False,None,None,True,1968.804,2020-07-12T13:12:50.826000000,False
ALB,23,Red Bull Racing,2,120.714,24.352,61.02,35.342,SOFT,1,2,5,4,True,None,None,True,2056.271,2020-07-12T13:14:18.293000000,False
ALB,23,Red Bull Racing,3,105.619,26.822,46.446,32.351,SOFT,1,3,5,41,True,None,None,True,2176.985,2020-07-12T13:16:19.007000000,False
ALB,23,Red Bull Racing,4,71.008,17.768,31.514,21.726,SOFT,1,4,5,12,True,None,None,True,2282.604,2020-07-12T13:18:04.626000000,True
ALB,23,Red Bull Racing,5,70.745,17.604,31.382,21.759,SOFT,1,5,5,1,True,None,None,True,2353.612,2020-07-12T13:19:15.634000000,True
ALB,23,Red Bull Racing,6,70.549,17.494,31.293,21.762,SOFT,1,6,5,1,True,None,None,True,2424.357,2020-07-12T13:20:26.379000000,True
ALB,23,Red Bull Racing,7,70.405,17.313,31.501,21.591,SOFT,1,7,5,1,True,None,None,True,2494.906,2020-07-12T13:21:36.928000000,True
ALB,23,Red Bull Racing,8,69.748,17.263,31.042,21.443,SOFT,1,8,4,1,True,None,None,True,2565.311,2020-07-12T13:22:47.333000000,True
ALB,23,Red Bull Racing,9,69.707,17.594,30.891,21.222,SOFT,1,9,4,1,True,None,None,True,2635.059,2020-07-12T13:23:57.081000000,True
ALB,23,Red Bull Racing,10,69.8,17.652,30.863,21.285,SOFT,1,10,4,1,False,None,None,True,2704.766,2020-07-12T13:25:06.788000000,True
ALB,23,Red Bull Racing,11,69.742,17.613,30.878,21.251,SOFT,1,11,4,1,False,None,None,True,2774.566,2020-07-12T13:26:16.588000000,True
ALB,23,Red Bull Racing,12,69.632,17.626,30.832,21.174,SOFT,1,12,4,1,True,None,None,True,2844.308,2020-07-12T13:27:26.330000000,True
ALB,23,Red Bull Racing,13,69.703,17.535,30.995,21.173,SOFT,1,13,4,1,False,None,None,True,2913.94,2020-07-12T13:28:35.962000000,True
ALB,23,Red Bull Racing,14,69.771,17.546,31.021,21.204,SOFT,1,14,4,1,False,None,None,True,2983.643,2020-07-12T13:29:45.665000000,True
