Driver,DriverNumber,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,Stint,TyreLife,Position,TrackStatus,IsPersonalBest,PitOutTime,PitInTime,FreshTyre,LapStartTime,LapStartDate,IsAccurate
ALB,23,Red Bull Racing,1,107.561,None,37.672,27.781,INTERMEDIATE,1,1,11,1,False,None,None,True,1977.486,2020-07-19T13:12:57.686000000,False
ALB,23,Red Bull Racing,2,96.192,33.917,35.41,26.865,INTERMEDIATE,1,2,11,1,True,None,None,True,2085.189,2020-07-19T13:14:45.389000000,True
ALB,23,Red Bull Racing,3,98.884,33.871,35.245,29.768,INTERMEDIATE,1,3,9,1,False,None,2278.654,True,2181.381,2020-07-19T13:16:21.581000000,False
ALB,23,Red Bull Racing,4,111.95,55.178,32.61,24.162,MEDIUM,2,1,14,12,False,2301.692,None,True,2280.265,2020-07-19T13:18:00.465000000,False
ALB,23,Red Bull Racing,5,88.886,33.29,31.469,24.127,MEDIUM,2,2,9,1,True,None,None,True,2392.215,2020-07-19T13:19:52.415000000,True
ALB,23,Red Bull Racing,6,85.89,31.301,30.74,23.849,MEDIUM,2,3,9,1,True,None,None,True,2481.101,2020-07-19T13:21:21.301000000,True
ALB,23,Red Bull Racing,7,84.436,30.606,30.371,23.459,MEDIUM,2,4,9,1,True,None,None,True,2566.991,2020-07-19T13:22:47.191000000,True
ALB,23,Red Bull Racing,8,85.139,30.549,30.477,24.113,MEDIUM,2,5,9,1,False,None,None,True,2651.427,2020-07-19T13:24:11.627000000,True
ALB,23,Red Bull Racing,9,84.012,30.211,29.975,23.826,MEDIUM,2,6,9,1,True,None,None,True,2736.566,2020-07-19T13:25:36.766000000,True
ALB,23,Red Bull Racing,10,83.342,29.951,29.927,23.464,MEDIUM,2,7,9,1,True,None,None,True,2820.578,2020-07-19T13:27:00.778000000,True
ALB,23,Red Bull Racing,11,83.506,30.047,29.913,23.546,MEDIUM,2,8,8,1,False,None,None,True,2903.92,2020-07-19T13:28:24.120000000,True
ALB,23,Red Bull Racing,12,83.03,29.797,29.566,23.667,MEDIUM,2,9,8,1,True,None,None,True,2987.426,2020-07-19T13:29:47.626000000,True
ALB,23,Red Bull Racing,13,84.018,29.827,30.385,23.806,MEDIUM,2,10,8,1,False,None,None,True,3070.456,2020-07-19T13:31:10.656000000,True
ALB,23,Red Bull Racing,14,84.395,29.954,30.514,23.927,MEDIUM,2,11,8,1,False,None,None,True,3154.474,2020-07-19T13:32:34.674000000,True
ALB,23,Red Bull Racing,15,84.419,29.911,30.582,23.926,MEDIUM,2,12,8,1,False,None,None,True,3238.869,2020-07-19T13:33:59.069000000,True
ALB,23,Red Bull Racing,16,84.418,30.206,30.225,23.987,MEDIUM,2,13,8,1,False,None,None,True,3323.288,2020-07-19T13:35:23.488000000,True
ALB,23,Red Bull Racing,17,84.394,30.087,30.341,23.966,MEDIUM,2,14,8,1,False,None,None,True,3407.706,2020-07-19T13:36:47.906000000,True
ALB,23,Red Bull Racing,18,83.014,29.525,29.549,23.94,MEDIUM,2,15,7,1,True,None,None,True,3492.1,2020-07-19T13:38:12.300000000,True
ALB,23,Red Bull Racing,19,82.737,29.643,29.455,23.639,MEDIUM,2,16,7,1,True,None,None,True,3575.114,2020-07-19T13:39:35.314000000,True
ALB,23,Red Bull Racing,20,82.633,29.539,29.491,23.603,MEDIUM,2,17,7,1,True,None,None,True,3657.851,2020-07-19T13:40:58.051000000,True
ALB,23,Red Bull Racing,21,82.992,29.661,29.707,23.624,MEDIUM,2,18,7,1,False,None,None,True,3740.484,2020-07-19T13:42:20.684000000,True
ALB,23,Red Bull Racing,22,82.72,29.49,29.618,23.612,MEDIUM,2,19,7,1,False,None,None,True,3823.476,2020-07-19T13:43:43.676000000,True
ALB,23,Red Bull Racing,23,83.134,29.628,29.66,23.846,MEDIUM,2,20,7,1,False,None,None,True,3906.196,2020-07-19T13:45:06.396000000,True
ALB,23,Red Bull Racing,24,83.026,29.495,29.852,23.679,MEDIUM,2,21,7,1,False,None,None,True,3989.33,2020-07-19T13:46:29.530000000,True
ALB,23,Red Bull Racing,25,82.79,29.497,29.701,23.592,MEDIUM,2,22,7,1,False,None,None,True,4072.356,2020-07-19T13:47:52.556000000,True
ALB,23,Red Bull Racing,26,82.86,29.529,29.621,23.71,MEDIUM,2,23,7,1,False,None,None,True,4155.146,2020-07-19T13:49:15.346000000,True
ALB,23,Red Bull Racing,27,83.149,29.38,30.091,23.678,MEDIUM,2,24,7,1,False,None,None,True,4238.006,2020-07-19T13:50:38.206000000,True
ALB,23,Red Bull Racing,28,83.71,29.464,30.479,23.767,MEDIUM,2,25,7,1,False,None,None,True,4321.155,2020-07-19T13:52:01.355000000,True
ALB,23,Red Bull Racing,29,83.491,29.153,30.417,23.921,MEDIUM,2,26,6,1,False,None,None,True,4404.865,2020-07-19T13:53:25.065000000,True
ALB,23,Red Bull Racing,30,82.849,29.638,29.665,23.546,MEDIUM,2,27,6,1,False,None,None,True,4488.356,2020-07-19T13:54:48.556000000,True
ALB,23,Red Bull Racing,31,82.75,29.515,29.76,23.475,MEDIUM,2,28,6,1,False,None,None,True,4571.205,2020-07-19T13:56:11.405000000,True
ALB,23,Red Bull Racing,32,82.646,29.55,29.616,23.48,MEDIUM,2,29,6,1,False,None,None,True,4653.955,2020-07-19T13:57:34.155000000,True
ALB,23,Red Bull Racing,33,82.669,29.569,29.705,23.395,MEDIUM,2,30,6,1,False,None,None,True,4736.601,2020-07-19T13:58:56.801000000,True
ALB,23,Red Bull Racing,34,85.954,29.576,29.943,26.435,MEDIUM,2,31,7,1,False,None,4903.595,True,4819.27,2020-07-19T14:00:19.470000000,False
ALB,23,Red Bull Racing,35,101.225,48.798,29.497,22.93,HARD,3,1,10,1,False,4925.733,None,True,4905.224,2020-07-19T14:01:45.424000000,False
ALB,23,Red Bull Racing,36,83.315,29.379,30.549,23.387,HARD,3,2,9,1,False,None,None,True,5006.449,2020-07-19T14:03:26.649000000,True
ALB,23,Red Bull Racing,37,80.324,28.696,28.883,22.745,HARD,3,3,8,1,True,None,None,True,5089.764,2020-07-19T14:04:49.964000000,True
ALB,23,Red Bull Racing,38,80.61,29.014,28.753,22.843,HARD,3,4,8,1,False,None,None,True,5170.088,2020-07-19T14:06:10.288000000,True
ALB,23,Red Bull Racing,39,80.703,29.119,28.809,22.775,HARD,3,5,8,1,False,None,None,True,5250.698,2020-07-19T14:07:30.898000000,True
ALB,23,Red Bull Racing,40,80.415,28.883,28.757,22.775,HARD,3,6,8,1,False,None,None,True,5331.401,2020-07-19T14:08:51.601000000,True
ALB,23,Red Bull Racing,41,80.264,28.815,28.753,22.696,HARD,3,7,7,1,True,None,None,True,5411.816,2020-07-19T14:10:12.016000000,True
ALB,23,Red Bull Racing,42,80.336,28.942,28.64,22.754,HARD,3,8,7,12,False,None,None,True,5492.08,2020-07-19T14:11:32.280000000,True
ALB,23,Red Bull Racing,43,81.087,29.13,28.894,23.063,HARD,3,9,7,1,False,None,None,True,5572.416,2020-07-19T14:12:52.616000000,True
