Driver,DriverNumber,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,Stint,TyreLife,Position,TrackStatus,IsPersonalBest,PitOutTime,PitInTime,FreshTyre,LapStartTime,LapStartDate,IsAccurate
ALB,23,Red Bull Racing,1,103.077,None,40.219,27.1,MEDIUM,1,1,12,1,False,None,None,True,2002.751,2020-08-02T13:13:22.765000000,False
ALB,23,Red Bull Racing,2,132.634,45.661,50.621,36.352,MEDIUM,1,2,12,124,True,None,None,True,2105.989,2020-08-02T13:15:06.003000000,False
ALB,23,Red Bull Racing,3,150.069,45.228,62.616,42.225,MEDIUM,1,3,12,4,False,None,None,True,2238.623,2020-08-02T13:17:18.637000000,False
ALB,23,Red Bull Racing,4,154.515,47.403,65.358,41.754,MEDIUM,1,4,12,4,False,None,None,True,2388.72,2020-08-02T13:19:48.734000000,False
ALB,23,Red Bull Racing,5,128.78,43.191,53.33,32.259,MEDIUM,1,5,12,41,True,None,None,True,2543.166,2020-08-02T13:22:23.180000000,False
ALB,23,Red Bull Racing,6,95.837,30.373,39.146,26.318,MEDIUM,1,6,13,1,False,None,2761.962,True,2671.946,2020-08-02T13:24:31.960000000,False
ALB,23,Red Bull Racing,7,114.67,50.824,37.969,25.877,HARD,2,1,18,1,False,2790.797,None,True,2767.783,2020-08-02T13:26:07.797000000,False
ALB,23,Red Bull Racing,8,91.828,29.247,37.139,25.442,HARD,2,2,18,1,True,None,None,True,2882.453,2020-08-02T13:28:02.467000000,True
ALB,23,Red Bull Racing,9,92.407,29.97,37.241,25.196,HARD,2,3,18,1,False,None,None,True,2974.281,2020-08-02T13:29:34.295000000,True
ALB,23,Red Bull Racing,10,92.208,29.537,37.236,25.435,HARD,2,4,18,1,False,None,None,True,3066.688,2020-08-02T13:31:06.702000000,True
ALB,23,Red Bull Racing,11,91.622,29.465,36.974,25.183,HARD,2,5,18,1,True,None,None,True,3158.896,2020-08-02T13:32:38.910000000,True
ALB,23,Red Bull Racing,12,108.43,29.551,43.639,35.24,HARD,2,6,17,124,False,None,None,True,3250.518,2020-08-02T13:34:10.532000000,False
ALB,23,Red Bull Racing,13,127.837,41.766,52.956,33.115,HARD,2,7,14,4,False,None,None,True,3358.948,2020-08-02T13:35:58.962000000,False
ALB,23,Red Bull Racing,14,125.744,36.137,48.627,40.98,HARD,2,8,14,4,False,None,None,True,3486.785,2020-08-02T13:38:06.799000000,False
ALB,23,Red Bull Racing,15,152.218,45.978,67.813,38.427,HARD,2,9,14,4,False,None,None,True,3612.529,2020-08-02T13:40:12.543000000,False
ALB,23,Red Bull Racing,16,159.745,49.114,72.69,37.941,HARD,2,10,14,4,False,None,None,True,3764.795,2020-08-02T13:42:44.809000000,False
ALB,23,Red Bull Racing,17,153.881,45.721,69.865,38.295,HARD,2,11,14,4,False,None,None,True,3924.485,2020-08-02T13:45:24.499000000,False
ALB,23,Red Bull Racing,18,129.712,43.606,53.483,32.623,HARD,2,12,14,41,False,None,None,True,4078.385,2020-08-02T13:47:58.399000000,False
ALB,23,Red Bull Racing,19,96.213,30.521,39.439,26.253,HARD,2,13,14,1,False,None,None,True,4208.097,2020-08-02T13:50:08.111000000,True
ALB,23,Red Bull Racing,20,93.979,29.637,38.511,25.831,HARD,2,14,14,1,False,None,None,True,4304.31,2020-08-02T13:51:44.324000000,True
ALB,23,Red Bull Racing,21,92.77,29.649,37.822,25.299,HARD,2,15,14,1,False,None,None,True,4398.289,2020-08-02T13:53:18.303000000,True
ALB,23,Red Bull Racing,22,92.673,29.536,37.564,25.573,HARD,2,16,14,1,False,None,None,True,4491.059,2020-08-02T13:54:51.073000000,True
ALB,23,Red Bull Racing,23,92.189,29.284,37.431,25.474,HARD,2,17,14,1,False,None,None,True,4583.732,2020-08-02T13:56:23.746000000,True
ALB,23,Red Bull Racing,24,92.107,29.569,37.32,25.218,HARD,2,18,14,1,False,None,None,True,4675.921,2020-08-02T13:57:55.935000000,True
ALB,23,Red Bull Racing,25,92.245,29.353,37.625,25.267,HARD,2,19,14,1,False,None,None,True,4768.028,2020-08-02T13:59:28.042000000,True
