Driver,DriverNumber,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,Stint,TyreLife,Position,TrackStatus,IsPersonalBest,PitOutTime,PitInTime,FreshTyre,LapStartTime,LapStartDate,IsAccurate
ALB,23,Red Bull Racing,1,91.211,None,33.014,29.328,SOFT,1,4,6,1,False,None,None,False,1997.322,2020-08-16T13:13:19.298000000,False
ALB,23,Red Bull Racing,2,85.396,23.949,32.051,29.396,SOFT,1,5,6,1,True,None,None,False,2088.685,2020-08-16T13:14:50.661000000,True
ALB,23,Red Bull Racing,3,85.241,23.91,31.956,29.375,SOFT,1,6,6,1,True,None,None,False,2174.081,2020-08-16T13:16:16.057000000,True
ALB,23,Red Bull Racing,4,85.23,23.756,31.948,29.526,SOFT,1,7,6,1,True,None,None,False,2259.322,2020-08-16T13:17:41.298000000,True
ALB,23,Red Bull Racing,5,85.347,23.949,32.059,29.339,SOFT,1,8,6,1,False,None,None,False,2344.552,2020-08-16T13:19:06.528000000,True
ALB,23,Red Bull Racing,6,85.181,23.846,31.96,29.375,SOFT,1,9,6,1,True,None,None,False,2429.899,2020-08-16T13:20:31.875000000,True
ALB,23,Red Bull Racing,7,84.986,23.884,31.896,29.206,SOFT,1,10,6,1,True,None,None,False,2515.08,2020-08-16T13:21:57.056000000,True
ALB,23,Red Bull Racing,8,84.631,23.578,31.718,29.335,SOFT,1,11,6,1,True,None,None,False,2600.066,2020-08-16T13:23:22.042000000,True
ALB,23,Red Bull Racing,9,84.749,23.609,31.871,29.269,SOFT,1,12,6,1,False,None,None,False,2684.697,2020-08-16T13:24:46.673000000,True
ALB,23,Red Bull Racing,10,84.995,23.585,31.836,29.574,SOFT,1,13,6,1,False,None,None,False,2769.446,2020-08-16T13:26:11.422000000,True
ALB,23,Red Bull Racing,11,85.653,23.951,32.196,29.506,SOFT,1,14,6,1,False,None,None,False,2854.441,2020-08-16T13:27:36.417000000,True
ALB,23,Red Bull Racing,12,85.421,23.821,32.219,29.381,SOFT,1,15,6,1,False,None,None,False,2940.094,2020-08-16T13:29:02.070000000,True
ALB,23,Red Bull Racing,13,85.276,23.97,32.109,29.197,SOFT,1,16,6,1,False,None,None,False,3025.515,2020-08-16T13:30:27.491000000,True
ALB,23,Red Bull Racing,14,85.35,23.992,31.957,29.401,SOFT,1,17,6,1,False,None,None,False,3110.791,2020-08-16T13:31:52.767000000,True
ALB,23,Red Bull Racing,15,85.469,23.959,32.285,29.225,SOFT,1,18,6,1,False,None,None,False,3196.141,2020-08-16T13:33:18.117000000,True
ALB,23,Red Bull Racing,16,85.634,24.116,32.039,29.479,SOFT,1,19,6,1,False,None,None,False,3281.61,2020-08-16T13:34:43.586000000,True
ALB,23,Red Bull Racing,17,89.223,24.14,32.077,33.006,SOFT,1,20,8,1,False,None,3453.805,False,3367.244,2020-08-16T13:36:09.220000000,False
ALB,23,Red Bull Racing,18,103.239,42.434,31.633,29.172,HARD,2,1,16,1,False,3475.493,None,True,3456.467,2020-08-16T13:37:38.443000000,False
ALB,23,Red Bull Racing,19,86.07,23.759,32.493,29.818,HARD,2,2,16,1,False,None,None,True,3559.706,2020-08-16T13:39:21.682000000,True
ALB,23,Red Bull Racing,20,85.605,23.921,32.23,29.454,HARD,2,3,15,1,False,None,None,True,3645.776,2020-08-16T13:40:47.752000000,True
ALB,23,Red Bull Racing,21,85.185,23.853,31.791,29.541,HARD,2,4,15,1,False,None,None,True,3731.381,2020-08-16T13:42:13.357000000,True
ALB,23,Red Bull Racing,22,85.335,23.876,32.006,29.453,HARD,2,5,12,1,False,None,None,True,3816.566,2020-08-16T13:43:38.542000000,True
ALB,23,Red Bull Racing,23,85.304,23.933,31.854,29.517,HARD,2,6,11,1,False,None,None,True,3901.901,2020-08-16T13:45:03.877000000,True
ALB,23,Red Bull Racing,24,85.947,23.759,32.333,29.855,HARD,2,7,11,1,False,None,None,True,3987.205,2020-08-16T13:46:29.181000000,True
ALB,23,Red Bull Racing,25,85.388,23.569,32.066,29.753,HARD,2,8,11,1,False,None,None,True,4073.152,2020-08-16T13:47:55.128000000,True
ALB,23,Red Bull Racing,26,85.679,23.645,32.231,29.803,HARD,2,9,11,1,False,None,None,True,4158.54,2020-08-16T13:49:20.516000000,True
ALB,23,Red Bull Racing,27,85.619,23.648,32.246,29.725,HARD,2,10,11,1,False,None,None,True,4244.219,2020-08-16T13:50:46.195000000,True
ALB,23,Red Bull Racing,28,85.459,23.727,32.156,29.576,HARD,2,11,10,1,False,None,None,True,4329.838,2020-08-16T13:52:11.814000000,True
ALB,23,Red Bull Racing,29,86.442,24.811,32.232,29.399,HARD,2,12,11,1,False,None,None,True,4415.297,2020-08-16T13:53:37.273000000,True
ALB,23,Red Bull Racing,30,85.401,23.898,31.851,29.652,HARD,2,13,9,1,False,None,None,True,4501.739,2020-08-16T13:55:03.715000000,True
ALB,23,Red Bull Racing,31,85.182,23.68,31.729,29.773,HARD,2,14,9,1,False,None,None,True,4587.14,2020-08-16T13:56:29.116000000,True
ALB,23,Red Bull Racing,32,85.271,23.683,31.936,29.652,HARD,2,15,9,1,False,None,None,True,4672.322,2020-08-16T13:57:54.298000000,True
ALB,23,Red Bull Racing,33,83.688,23.196,31.328,29.164,HARD,2,16,8,1,True,None,None,True,4757.593,2020-08-16T13:59:19.569000000,True
ALB,23,Red Bull Racing,34,84.77,23.928,31.63,29.212,HARD,2,17,8,1,False,None,None,True,4841.281,2020-08-16T14:00:43.257000000,True
ALB,23,Red Bull Racing,35,84.945,24.066,31.601,29.278,HARD,2,18,8,1,False,None,None,True,4926.051,2020-08-16T14:02:08.027000000,True
ALB,23,Red Bull Racing,36,84.196,23.737,31.345,29.114,HARD,2,19,7,12,False,None,None,True,5010.996,2020-08-16T14:03:32.972000000,True
ALB,23,Red Bull Racing,37,84.201,23.886,31.286,29.029,HARD,2,20,7,21,False,None,None,True,5095.192,2020-08-16T14:04:57.168000000,True
ALB,23,Red Bull Racing,38,84.257,23.777,31.408,29.072,HARD,2,21,7,1,False,None,None,True,5179.393,2020-08-16T14:06:21.369000000,True
ALB,23,Red Bull Racing,39,87.959,23.857,31.563,32.539,HARD,2,22,9,1,False,None,5348.941,True,5263.65,2020-08-16T14:07:45.626000000,False
ALB,23,Red Bull Racing,40,100.933,41.783,31.071,28.079,MEDIUM,3,1,11,1,False,5370.749,None,True,5351.609,2020-08-16T14:09:13.585000000,False
ALB,23,Red Bull Racing,41,82.194,23.54,30.595,28.059,MEDIUM,3,2,11,1,True,None,None,True,5452.542,2020-08-16T14:10:54.518000000,True
ALB,23,Red Bull Racing,42,84.393,23.802,31.786,28.805,MEDIUM,3,3,11,1,False,None,None,True,5534.736,2020-08-16T14:12:16.712000000,True
ALB,23,Red Bull Racing,43,83.007,23.446,30.842,28.719,MEDIUM,3,4,10,1,False,None,None,True,5619.129,2020-08-16T14:13:41.105000000,True
ALB,23,Red Bull Racing,44,83.466,23.442,31.105,28.919,MEDIUM,3,5,10,1,False,None,None,True,5702.136,2020-08-16T14:15:04.112000000,True
ALB,23,Red Bull Racing,45,85.256,23.551,32.88,28.825,MEDIUM,3,6,9,1,False,None,None,True,5785.602,2020-08-16T14:16:27.578000000,True
ALB,23,Red Bull Racing,46,83.431,23.483,31.3,28.648,MEDIUM,3,7,8,1,False,None,None,True,5870.858,2020-08-16T14:17:52.834000000,True
ALB,23,Red Bull Racing,47,83.563,23.549,31.09,28.924,MEDIUM,3,8,8,1,False,None,None,True,5954.289,2020-08-16T14:19:16.265000000,True
ALB,23,Red Bull Racing,48,82.776,23.444,30.854,28.478,MEDIUM,3,9,8,1,False,None,None,True,6037.852,2020-08-16T14:20:39.828000000,True
ALB,23,Red Bull Racing,49,82.994,23.55,30.815,28.629,MEDIUM,3,10,8,1,False,None,None,True,6120.628,2020-08-16T14:22:02.604000000,True
ALB,23,Red Bull Racing,50,83.059,23.561,30.876,28.622,MEDIUM,3,11,8,1,False,None,None,True,6203.622,2020-08-16T14:23:25.598000000,True
ALB,23,Red Bull Racing,51,83.402,23.913,30.886,28.603,MEDIUM,3,12,8,1,False,None,None,True,6286.681,2020-08-16T14:24:48.657000000,True
ALB,23,Red Bull Racing,52,82.939,23.403,30.928,28.608,MEDIUM,3,13,8,1,False,None,None,True,6370.083,2020-08-16T14:26:12.059000000,True
ALB,23,Red Bull Racing,53,83.053,23.397,30.901,28.755,MEDIUM,3,14,8,1,False,None,None,True,6453.022,2020-08-16T14:27:34.998000000,True
