Driver,DriverNumber,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,Stint,TyreLife,Position,TrackStatus,IsPersonalBest,PitOutTime,PitInTime,FreshTyre,LapStartTime,LapStartDate,IsAccurate
ALB,23,Red Bull Racing,1,117.297,None,52.414,29.861,SOFT,1,4,6,1,False,None,None,False,2021.719,2020-08-30T13:13:41.783000000,False
ALB,23,Red Bull Racing,2,111.996,31.691,50.494,29.811,SOFT,1,5,6,1,True,None,None,False,2139.181,2020-08-30T13:15:39.245000000,True
ALB,23,Red Bull Racing,3,111.516,31.545,50.127,29.844,SOFT,1,6,6,1,True,None,None,False,2251.177,2020-08-30T13:17:31.241000000,True
ALB,23,Red Bull Racing,4,111.761,31.352,50.608,29.801,SOFT,1,7,6,1,False,None,None,False,2362.693,2020-08-30T13:19:22.757000000,True
ALB,23,Red Bull Racing,5,111.417,31.483,50.122,29.812,SOFT,1,8,6,1,True,None,None,False,2474.454,2020-08-30T13:21:14.518000000,True
ALB,23,Red Bull Racing,6,111.529,31.538,50.115,29.876,SOFT,1,9,6,1,False,None,None,False,2585.871,2020-08-30T13:23:05.935000000,True
ALB,23,Red Bull Racing,7,111.545,31.976,49.819,29.75,SOFT,1,10,6,1,False,None,None,False,2697.4,2020-08-30T13:24:57.464000000,True
ALB,23,Red Bull Racing,8,111.306,31.835,49.713,29.758,SOFT,1,11,6,1,True,None,None,False,2808.945,2020-08-30T13:26:49.009000000,True
ALB,23,Red Bull Racing,9,110.937,31.708,49.543,29.686,SOFT,1,12,6,1,True,None,None,False,2920.251,2020-08-30T13:28:40.315000000,True
ALB,23,Red Bull Racing,10,110.901,31.879,49.315,29.707,SOFT,1,13,6,124,True,None,None,False,3031.188,2020-08-30T13:30:31.252000000,False
ALB,23,Red Bull Racing,11,157.681,54.655,63.533,39.493,SOFT,1,14,6,4,False,None,3296.152,False,3142.089,2020-08-30T13:32:22.153000000,False
ALB,23,Red Bull Racing,12,174.912,52.934,77.793,44.185,SOFT,2,4,7,4,False,3318.838,None,False,3299.799,2020-08-30T13:34:59.863000000,False
ALB,23,Red Bull Racing,13,178.792,45.41,84.993,48.389,SOFT,2,5,7,4,False,None,None,False,3474.679,2020-08-30T13:37:54.743000000,False
