Driver,DriverNumber,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,Stint,TyreLife,Position,TrackStatus,IsPersonalBest,PitOutTime,PitInTime,FreshTyre,LapStartTime,LapStartDate,IsAccurate
ALB,23,Red Bull Racing,1,94.938,None,32.205,29.836,SOFT,1,4,15,1,False,None,None,False,2008.079,2020-09-06T13:13:28.275000000,False
ALB,23,Red Bull Racing,2,88.308,28.516,30.436,29.356,SOFT,1,5,15,1,True,None,None,False,2103.148,2020-09-06T13:15:03.344000000,True
ALB,23,Red Bull Racing,3,86.964,28.146,29.837,28.981,SOFT,1,6,15,1,True,None,None,False,2191.456,2020-09-06T13:16:31.652000000,True
ALB,23,Red Bull Racing,4,86.472,28.039,29.721,28.712,SOFT,1,7,14,1,True,None,None,False,2278.42,2020-09-06T13:17:58.616000000,True
ALB,23,Red Bull Racing,5,86.159,27.968,29.321,28.87,SOFT,1,8,14,1,True,None,None,False,2364.892,2020-09-06T13:19:25.088000000,True
ALB,23,Red Bull Racing,6,86.59,27.915,29.808,28.867,SOFT,1,9,14,1,False,None,None,False,2451.051,2020-09-06T13:20:51.247000000,True
ALB,23,Red Bull Racing,7,86.732,27.824,29.847,29.061,SOFT,1,10,14,1,False,None,None,False,2537.641,2020-09-06T13:22:17.837000000,True
ALB,23,Red Bull Racing,8,86.376,27.783,29.579,29.014,SOFT,1,11,14,12,False,None,None,False,2624.373,2020-09-06T13:23:44.569000000,True
ALB,23,Red Bull Racing,9,86.798,28.099,29.731,28.968,SOFT,1,12,14,1,False,None,None,False,2710.749,2020-09-06T13:25:10.945000000,True
ALB,23,Red Bull Racing,10,86.697,27.847,29.886,28.964,SOFT,1,13,14,1,False,None,None,False,2797.547,2020-09-06T13:26:37.743000000,True
ALB,23,Red Bull Racing,11,86.745,28.016,29.652,29.077,SOFT,1,14,14,1,False,None,None,False,2884.244,2020-09-06T13:28:04.440000000,True
ALB,23,Red Bull Racing,12,86.273,27.949,29.472,28.852,SOFT,1,15,14,1,False,None,None,False,2970.989,2020-09-06T13:29:31.185000000,True
ALB,23,Red Bull Racing,13,86.382,27.908,29.676,28.798,SOFT,1,16,14,1,False,None,None,False,3057.262,2020-09-06T13:30:57.458000000,True
ALB,23,Red Bull Racing,14,86.53,28.082,29.541,28.907,SOFT,1,17,14,1,False,None,None,False,3143.644,2020-09-06T13:32:23.840000000,True
ALB,23,Red Bull Racing,15,86.51,27.956,29.789,28.765,SOFT,1,18,14,1,False,None,None,False,3230.174,2020-09-06T13:33:50.370000000,True
ALB,23,Red Bull Racing,16,86.407,27.964,29.814,28.629,SOFT,1,19,14,1,False,None,None,False,3316.684,2020-09-06T13:35:16.880000000,True
ALB,23,Red Bull Racing,17,86.535,27.778,29.844,28.913,SOFT,1,20,13,1,False,None,None,False,3403.091,2020-09-06T13:36:43.287000000,True
ALB,23,Red Bull Racing,18,85.826,28.017,29.324,28.485,SOFT,1,21,12,1,True,None,None,False,3489.626,2020-09-06T13:38:09.822000000,True
ALB,23,Red Bull Racing,19,86.167,28.047,29.372,28.748,SOFT,1,22,12,12,False,None,None,False,3575.452,2020-09-06T13:39:35.648000000,True
ALB,23,Red Bull Racing,20,108.383,28.107,39.133,41.143,SOFT,1,23,11,24,False,None,None,False,3661.619,2020-09-06T13:41:01.815000000,False
ALB,23,Red Bull Racing,21,118.471,36.573,39.269,42.629,SOFT,1,24,11,4,False,None,None,False,3770.002,2020-09-06T13:42:50.198000000,False
ALB,23,Red Bull Racing,22,132.273,39.281,41.996,50.996,SOFT,1,25,15,4,False,None,4017.032,False,3888.473,2020-09-06T13:44:48.669000000,False
ALB,23,Red Bull Racing,23,120.478,56.856,31.185,32.437,MEDIUM,2,1,18,41,False,4046.704,None,True,4020.746,2020-09-06T13:47:00.942000000,False
ALB,23,Red Bull Racing,24,88.148,27.904,30.62,29.624,MEDIUM,2,2,16,124,False,None,None,True,4141.224,2020-09-06T13:49:01.420000000,False
ALB,23,Red Bull Racing,25,125.099,46.809,40.749,37.541,MEDIUM,2,3,16,4,False,None,None,True,4229.372,2020-09-06T13:50:29.568000000,False
ALB,23,Red Bull Racing,26,174.57,45.646,51.327,77.597,MEDIUM,2,4,16,45,False,None,4518.887,True,4354.471,2020-09-06T13:52:34.667000000,False
ALB,23,Red Bull Racing,27,1682.347,None,48.983,78.597,HARD,3,1,16,1,False,6047.138,None,True,5999.929,2020-09-06T14:20:00.125000000,False
ALB,23,Red Bull Racing,28,119.895,57.624,32.261,30.01,HARD,3,2,17,1,False,None,None,True,6211.39,2020-09-06T14:23:31.586000000,True
ALB,23,Red Bull Racing,29,87.314,28.291,29.887,29.136,HARD,3,3,16,1,False,None,None,True,6331.285,2020-09-06T14:25:31.481000000,True
ALB,23,Red Bull Racing,30,86.687,28.199,29.655,28.833,HARD,3,4,15,1,False,None,None,True,6418.599,2020-09-06T14:26:58.795000000,True
ALB,23,Red Bull Racing,31,85.012,27.516,29.17,28.326,HARD,3,5,14,1,True,None,None,True,6505.286,2020-09-06T14:28:25.482000000,True
ALB,23,Red Bull Racing,32,85.181,27.601,29.259,28.321,HARD,3,6,14,1,False,None,None,True,6590.298,2020-09-06T14:29:50.494000000,True
ALB,23,Red Bull Racing,33,85.699,27.985,29.298,28.416,HARD,3,7,14,1,False,None,None,True,6675.479,2020-09-06T14:31:15.675000000,True
ALB,23,Red Bull Racing,34,86.008,27.949,29.448,28.611,HARD,3,8,14,1,False,None,None,True,6761.178,2020-09-06T14:32:41.374000000,True
ALB,23,Red Bull Racing,35,85.607,27.673,29.342,28.592,HARD,3,9,14,1,False,None,None,True,6847.186,2020-09-06T14:34:07.382000000,True
ALB,23,Red Bull Racing,36,85.781,27.966,29.201,28.614,HARD,3,10,14,1,False,None,None,True,6932.793,2020-09-06T14:35:32.989000000,True
ALB,23,Red Bull Racing,37,85.142,27.72,29.065,28.357,HARD,3,11,14,1,False,None,None,True,7018.574,2020-09-06T14:36:58.770000000,True
ALB,23,Red Bull Racing,38,85.054,27.755,29.072,28.227,HARD,3,12,14,1,False,None,None,True,7103.716,2020-09-06T14:38:23.912000000,True
ALB,23,Red Bull Racing,39,84.888,27.78,28.989,28.119,HARD,3,13,14,1,False,None,None,True,7188.77,2020-09-06T14:39:48.966000000,True
ALB,23,Red Bull Racing,40,86.464,27.732,30.019,28.713,HARD,3,14,15,1,False,None,None,True,7273.658,2020-09-06T14:41:13.854000000,True
ALB,23,Red Bull Racing,41,85.441,27.874,29.069,28.498,HARD,3,15,15,1,False,None,None,True,7360.122,2020-09-06T14:42:40.318000000,True
ALB,23,Red Bull Racing,42,85.949,27.766,29.561,28.622,HARD,3,16,15,1,False,None,None,True,7445.563,2020-09-06T14:44:05.759000000,True
ALB,23,Red Bull Racing,43,85.523,27.982,29.023,28.518,HARD,3,17,15,1,False,None,None,True,7531.512,2020-09-06T14:45:31.708000000,True
ALB,23,Red Bull Racing,44,85.722,27.938,29.31,28.474,HARD,3,18,15,1,False,None,None,True,7617.035,2020-09-06T14:46:57.231000000,True
