Driver,DriverNumber,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,Stint,TyreLife,Position,TrackStatus,IsPersonalBest,PitOutTime,PitInTime,FreshTyre,LapStartTime,LapStartDate,IsAccurate
ALB,23,Red Bull Racing,1,112.724,None,39.823,34.518,SOFT,1,4,4,124,False,None,None,False,2005.335,2020-09-13T13:13:25.607000000,False
ALB,23,Red Bull Racing,2,145.96,57.55,42.615,45.795,SOFT,1,5,4,4,True,None,None,False,2118.195,2020-09-13T13:15:18.467000000,False
ALB,23,Red Bull Racing,3,136.967,54.273,36.74,45.954,SOFT,1,6,4,4,True,None,None,False,2264.155,2020-09-13T13:17:44.427000000,False
ALB,23,Red Bull Racing,4,134.65,51.275,38.118,45.257,SOFT,1,7,4,4,True,None,None,False,2401.122,2020-09-13T13:20:01.394000000,False
ALB,23,Red Bull Racing,5,133.442,50.923,37.106,45.413,SOFT,1,8,4,4,True,None,None,False,2535.772,2020-09-13T13:22:16.044000000,False
ALB,23,Red Bull Racing,6,139.882,51.93,39.632,48.32,SOFT,1,9,4,41,False,None,None,False,2669.214,2020-09-13T13:24:29.486000000,False
ALB,23,Red Bull Racing,7,126.021,43.793,31.794,50.434,SOFT,1,10,4,124,False,None,2920.281,False,2809.096,2020-09-13T13:26:49.368000000,False
ALB,23,Red Bull Racing,8,1578.108,52.004,42.319,None,SOFT,2,11,4,451,False,2937.887,3077.261,False,2935.117,2020-09-13T13:28:55.389000000,False
ALB,23,Red Bull Racing,9,203.245,57.402,47.048,98.795,SOFT,3,3,5,1,False,4516.016,None,False,4500.042,2020-09-13T13:55:00.314000000,False
ALB,23,Red Bull Racing,10,89.369,35.053,24.704,29.612,SOFT,3,4,7,1,True,None,None,False,4716.443,2020-09-13T13:58:36.715000000,True
ALB,23,Red Bull Racing,11,84.054,31.053,23.466,29.535,SOFT,3,5,7,1,True,None,None,False,4805.812,2020-09-13T14:00:06.084000000,True
ALB,23,Red Bull Racing,12,84.049,30.907,23.459,29.683,SOFT,3,6,7,1,True,None,None,False,4889.866,2020-09-13T14:01:30.138000000,True
ALB,23,Red Bull Racing,13,83.966,30.756,23.513,29.697,SOFT,3,7,7,1,True,None,None,False,4973.915,2020-09-13T14:02:54.187000000,True
ALB,23,Red Bull Racing,14,83.793,30.674,23.322,29.797,SOFT,3,8,7,1,True,None,None,False,5057.881,2020-09-13T14:04:18.153000000,True
ALB,23,Red Bull Racing,15,83.917,30.828,23.482,29.607,SOFT,3,9,7,1,False,None,None,False,5141.674,2020-09-13T14:05:41.946000000,True
ALB,23,Red Bull Racing,16,84.336,31.331,23.338,29.667,SOFT,3,10,7,1,False,None,None,False,5225.591,2020-09-13T14:07:05.863000000,True
ALB,23,Red Bull Racing,17,84.072,30.943,23.344,29.785,SOFT,3,11,7,1,False,None,None,False,5309.927,2020-09-13T14:08:30.199000000,True
ALB,23,Red Bull Racing,18,83.39,30.259,23.501,29.63,SOFT,3,12,6,1,True,None,None,False,5393.999,2020-09-13T14:09:54.271000000,True
ALB,23,Red Bull Racing,19,84.621,31.243,23.46,29.918,SOFT,3,13,6,1,False,None,None,False,5477.389,2020-09-13T14:11:17.661000000,True
ALB,23,Red Bull Racing,20,83.206,30.246,23.264,29.696,SOFT,3,14,5,1,True,None,None,False,5562.01,2020-09-13T14:12:42.282000000,True
ALB,23,Red Bull Racing,21,83.787,30.851,23.146,29.79,SOFT,3,15,5,1,False,None,None,False,5645.216,2020-09-13T14:14:05.488000000,True
ALB,23,Red Bull Racing,22,83.628,30.631,23.099,29.898,SOFT,3,16,5,1,False,None,None,False,5729.003,2020-09-13T14:15:29.275000000,True
ALB,23,Red Bull Racing,23,83.899,30.964,23.071,29.864,SOFT,3,17,5,1,False,None,None,False,5812.631,2020-09-13T14:16:52.903000000,True
ALB,23,Red Bull Racing,24,83.732,30.92,23.235,29.577,SOFT,3,18,5,1,False,None,None,False,5896.53,2020-09-13T14:18:16.802000000,True
ALB,23,Red Bull Racing,25,83.779,30.867,23.103,29.809,SOFT,3,19,5,1,False,None,None,False,5980.262,2020-09-13T14:19:40.534000000,True
ALB,23,Red Bull Racing,26,84.076,30.936,23.366,29.774,SOFT,3,20,5,1,False,None,None,False,6064.041,2020-09-13T14:21:04.313000000,True
ALB,23,Red Bull Racing,27,83.927,30.96,23.19,29.777,SOFT,3,21,4,1,False,None,None,False,6148.117,2020-09-13T14:22:28.389000000,True
ALB,23,Red Bull Racing,28,83.675,30.769,23.151,29.755,SOFT,3,22,4,1,False,None,None,False,6232.044,2020-09-13T14:23:52.316000000,True
ALB,23,Red Bull Racing,29,84.459,31.267,23.184,30.008,SOFT,3,23,4,1,False,None,None,False,6315.719,2020-09-13T14:25:15.991000000,True
ALB,23,Red Bull Racing,30,84.313,31.199,23.301,29.813,SOFT,3,24,3,1,False,None,None,False,6400.178,2020-09-13T14:26:40.450000000,True
ALB,23,Red Bull Racing,31,85.24,31.204,23.575,30.461,SOFT,3,25,2,1,False,None,None,False,6484.491,2020-09-13T14:28:04.763000000,True
ALB,23,Red Bull Racing,32,100.967,31.117,23.224,46.626,SOFT,3,26,4,1,False,None,6651.015,False,6569.731,2020-09-13T14:29:30.003000000,False
ALB,23,Red Bull Racing,33,88.884,36.458,23.108,29.318,MEDIUM,4,1,5,1,False,6673.493,None,True,6670.698,2020-09-13T14:31:10.970000000,False
ALB,23,Red Bull Racing,34,82.119,30.215,22.572,29.332,MEDIUM,4,2,5,1,True,None,None,True,6759.582,2020-09-13T14:32:39.854000000,True
ALB,23,Red Bull Racing,35,82.684,30.328,23.119,29.237,MEDIUM,4,3,5,1,False,None,None,True,6841.701,2020-09-13T14:34:01.973000000,True
ALB,23,Red Bull Racing,36,82.314,30.416,22.692,29.206,MEDIUM,4,4,5,1,False,None,None,True,6924.385,2020-09-13T14:35:24.657000000,True
ALB,23,Red Bull Racing,37,81.917,30.314,22.538,29.065,MEDIUM,4,5,5,1,True,None,None,True,7006.699,2020-09-13T14:36:46.971000000,True
ALB,23,Red Bull Racing,38,82.562,30.652,22.699,29.211,MEDIUM,4,6,5,1,False,None,None,True,7088.616,2020-09-13T14:38:08.888000000,True
ALB,23,Red Bull Racing,39,81.756,30.224,22.516,29.016,MEDIUM,4,7,5,1,True,None,None,True,7171.178,2020-09-13T14:39:31.450000000,True
ALB,23,Red Bull Racing,40,82.154,30.333,22.604,29.217,MEDIUM,4,8,5,1,False,None,None,True,7252.934,2020-09-13T14:40:53.206000000,True
ALB,23,Red Bull Racing,41,82.242,30.544,22.46,29.238,MEDIUM,4,9,5,1,False,None,None,True,7335.088,2020-09-13T14:42:15.360000000,True
ALB,23,Red Bull Racing,42,82.038,30.344,22.48,29.214,MEDIUM,4,10,5,1,False,None,None,True,7417.33,2020-09-13T14:43:37.602000000,True
