Driver,DriverNumber,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,Stint,TyreLife,Position,TrackStatus,IsPersonalBest,PitOutTime,PitInTime,FreshTyre,LapStartTime,LapStartDate,IsAccurate
ALB,23,Red Bull Racing,1,155.76,None,70.186,41.65,SOFT,1,5,17,124,False,None,2161.381,False,2013.451,2020-09-27T11:13:33.505000000,False
ALB,23,Red Bull Racing,2,183.958,83.677,56.552,43.729,HARD,2,1,17,4,False,2191.606,None,True,2169.383,2020-09-27T11:16:09.437000000,False
ALB,23,Red Bull Racing,3,172.267,72.032,56.922,43.313,HARD,2,2,17,4,False,None,None,True,2353.318,2020-09-27T11:19:13.372000000,False
ALB,23,Red Bull Racing,4,170.956,68.752,55.551,46.653,HARD,2,3,17,4,False,None,None,True,2525.587,2020-09-27T11:22:05.641000000,False
ALB,23,Red Bull Racing,5,158.283,64.315,51.704,42.264,HARD,2,4,17,41,False,None,None,True,2696.571,2020-09-27T11:24:56.625000000,False
ALB,23,Red Bull Racing,6,106.544,36.921,37.719,31.904,HARD,2,5,18,1,True,None,None,True,2854.776,2020-09-27T11:27:34.830000000,True
ALB,23,Red Bull Racing,7,104.582,36.583,36.594,31.405,HARD,2,6,18,1,True,None,None,True,2961.32,2020-09-27T11:29:21.374000000,True
ALB,23,Red Bull Racing,8,104.309,36.771,36.009,31.529,HARD,2,7,18,1,True,None,None,True,3065.902,2020-09-27T11:31:05.956000000,True
ALB,23,Red Bull Racing,9,105.732,36.505,36.942,32.285,HARD,2,8,18,1,False,None,None,True,3170.211,2020-09-27T11:32:50.265000000,True
ALB,23,Red Bull Racing,10,105.105,36.632,35.908,32.565,HARD,2,9,18,1,False,None,None,True,3275.943,2020-09-27T11:34:35.997000000,True
ALB,23,Red Bull Racing,11,104.526,37.147,36.201,31.178,HARD,2,10,17,1,False,None,None,True,3381.048,2020-09-27T11:36:21.102000000,True
ALB,23,Red Bull Racing,12,102.925,36.464,35.596,30.865,HARD,2,11,16,1,True,None,None,True,3485.574,2020-09-27T11:38:05.628000000,True
ALB,23,Red Bull Racing,13,102.063,36.398,35.294,30.371,HARD,2,12,16,1,True,None,None,True,3588.499,2020-09-27T11:39:48.553000000,True
