Driver,DriverNumber,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,Stint,TyreLife,Position,TrackStatus,IsPersonalBest,PitOutTime,PitInTime,FreshTyre,LapStartTime,LapStartDate,IsAccurate
ALB,23,Red Bull Racing,1,99.301,None,40.682,24.276,SOFT,1,4,6,None,False,None,None,False,7.171,2020-10-11T12:13:21.762000000,False
ALB,23,Red Bull Racing,2,94.815,30.878,39.513,24.424,SOFT,1,5,6,1,True,None,None,False,99.561,2020-10-11T12:14:54.152000000,True
ALB,23,Red Bull Racing,3,94.299,30.958,39.254,24.087,SOFT,1,6,6,1,True,None,None,False,194.376,2020-10-11T12:16:28.967000000,True
ALB,23,Red Bull Racing,4,94.331,30.865,39.262,24.204,SOFT,1,7,6,1,False,None,None,False,288.675,2020-10-11T12:18:03.266000000,True
ALB,23,Red Bull Racing,5,94.194,30.679,39.329,24.186,SOFT,1,8,6,1,True,None,None,False,383.006,2020-10-11T12:19:37.597000000,True
ALB,23,Red Bull Racing,6,94.119,30.64,39.288,24.191,SOFT,1,9,6,1,True,None,None,False,477.2,2020-10-11T12:21:11.791000000,True
ALB,23,Red Bull Racing,7,97.23,30.462,39.517,27.251,SOFT,1,10,8,1,False,None,666.628,False,571.319,2020-10-11T12:22:45.910000000,False
ALB,23,Red Bull Racing,8,112.682,50.576,38.377,23.729,MEDIUM,2,1,20,1,False,690.245,None,True,668.549,2020-10-11T12:24:23.140000000,False
ALB,23,Red Bull Racing,9,92.33,30.415,38.169,23.746,MEDIUM,2,2,20,1,True,None,None,True,781.231,2020-10-11T12:26:15.822000000,True
ALB,23,Red Bull Racing,10,94.881,30.542,39.95,24.389,MEDIUM,2,3,19,1,False,None,None,True,873.561,2020-10-11T12:27:48.152000000,True
ALB,23,Red Bull Racing,11,92.916,29.99,38.741,24.185,MEDIUM,2,4,15,1,False,None,None,True,968.442,2020-10-11T12:29:23.033000000,True
ALB,23,Red Bull Racing,12,92.626,29.973,38.565,24.088,MEDIUM,2,5,14,1,False,None,None,True,1061.358,2020-10-11T12:30:55.949000000,True
ALB,23,Red Bull Racing,13,92.477,30.0,38.593,23.884,MEDIUM,2,6,12,12,False,None,None,True,1153.984,2020-10-11T12:32:28.575000000,True
ALB,23,Red Bull Racing,14,93.516,30.367,38.936,24.213,MEDIUM,2,7,12,1,False,None,None,True,1246.461,2020-10-11T12:34:01.052000000,True
ALB,23,Red Bull Racing,15,95.335,30.835,40.056,24.444,MEDIUM,2,8,11,1,False,None,None,True,1339.977,2020-10-11T12:35:34.568000000,True
ALB,23,Red Bull Racing,16,112.436,37.233,48.703,26.5,MEDIUM,2,9,10,167,False,None,None,True,1435.312,2020-10-11T12:37:09.903000000,False
ALB,23,Red Bull Racing,17,93.09,30.391,38.66,24.039,MEDIUM,2,10,10,12,False,None,None,True,1547.748,2020-10-11T12:39:02.339000000,True
ALB,23,Red Bull Racing,18,93.005,30.193,38.609,24.203,MEDIUM,2,11,9,2,False,None,None,True,1640.838,2020-10-11T12:40:35.429000000,True
ALB,23,Red Bull Racing,19,93.422,30.242,38.972,24.208,MEDIUM,2,12,9,21,False,None,None,True,1733.843,2020-10-11T12:42:08.434000000,True
ALB,23,Red Bull Racing,20,93.51,30.43,38.992,24.088,MEDIUM,2,13,9,1,False,None,None,True,1827.265,2020-10-11T12:43:41.856000000,True
