Driver,DriverNumber,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,Stint,TyreLife,Position,TrackStatus,IsPersonalBest,PitOutTime,PitInTime,FreshTyre,LapStartTime,LapStartDate,IsAccurate
ALB,23,Red Bull Racing,1,100.073,None,38.352,31.028,SOFT,1,6,9,12,False,None,None,False,1989.808,2020-10-25T13:13:10.885000000,False
ALB,23,Red Bull Racing,2,91.533,27.835,36.029,27.669,SOFT,1,7,12,1,False,None,None,False,2089.975,2020-10-25T13:14:51.052000000,True
ALB,23,Red Bull Racing,3,86.173,25.462,33.433,27.278,SOFT,1,8,11,1,True,None,None,False,2181.508,2020-10-25T13:16:22.585000000,True
ALB,23,Red Bull Racing,4,84.409,24.584,32.749,27.076,SOFT,1,9,11,1,True,None,None,False,2267.681,2020-10-25T13:17:48.758000000,True
ALB,23,Red Bull Racing,5,83.858,24.536,32.278,27.044,SOFT,1,10,11,1,True,None,None,False,2352.09,2020-10-25T13:19:13.167000000,True
ALB,23,Red Bull Racing,6,83.331,24.308,32.014,27.009,SOFT,1,11,11,1,True,None,None,False,2435.948,2020-10-25T13:20:37.025000000,True
ALB,23,Red Bull Racing,7,83.402,24.14,32.202,27.06,SOFT,1,12,11,1,False,None,None,False,2519.279,2020-10-25T13:22:00.356000000,True
ALB,23,Red Bull Racing,8,83.078,24.219,32.024,26.835,SOFT,1,13,11,1,True,None,None,False,2602.681,2020-10-25T13:23:23.758000000,True
ALB,23,Red Bull Racing,9,83.587,24.373,32.32,26.894,SOFT,1,14,11,1,False,None,None,False,2685.759,2020-10-25T13:24:46.836000000,True
ALB,23,Red Bull Racing,10,84.429,24.371,32.776,27.282,SOFT,1,15,11,1,False,None,None,False,2769.346,2020-10-25T13:26:10.423000000,True
ALB,23,Red Bull Racing,11,84.528,24.715,32.769,27.044,SOFT,1,16,10,1,False,None,None,False,2853.775,2020-10-25T13:27:34.852000000,True
ALB,23,Red Bull Racing,12,84.036,24.723,32.247,27.066,SOFT,1,17,11,1,False,None,None,False,2938.303,2020-10-25T13:28:59.380000000,True
ALB,23,Red Bull Racing,13,83.596,24.462,32.116,27.018,SOFT,1,18,11,1,False,None,None,False,3022.339,2020-10-25T13:30:23.416000000,True
ALB,23,Red Bull Racing,14,83.956,24.433,32.446,27.077,SOFT,1,19,10,1,False,None,None,False,3105.935,2020-10-25T13:31:47.012000000,True
ALB,23,Red Bull Racing,15,83.693,24.534,32.129,27.03,SOFT,1,20,10,1,False,None,None,False,3189.891,2020-10-25T13:33:10.968000000,True
ALB,23,Red Bull Racing,16,83.917,24.356,32.26,27.301,SOFT,1,21,10,1,False,None,None,False,3273.584,2020-10-25T13:34:34.661000000,True
ALB,23,Red Bull Racing,17,83.28,24.265,32.101,26.914,SOFT,1,22,10,1,False,None,None,False,3357.501,2020-10-25T13:35:58.578000000,True
ALB,23,Red Bull Racing,18,83.679,24.474,31.944,27.261,SOFT,1,23,8,1,False,None,None,False,3440.781,2020-10-25T13:37:21.858000000,True
ALB,23,Red Bull Racing,19,87.293,24.193,32.14,30.96,SOFT,1,24,9,1,False,None,3608.826,False,3524.46,2020-10-25T13:38:45.537000000,False
ALB,23,Red Bull Racing,20,107.112,47.078,32.883,27.151,MEDIUM,2,6,18,1,False,3635.113,None,False,3611.753,2020-10-25T13:40:12.830000000,False
ALB,23,Red Bull Racing,21,83.539,24.691,31.696,27.152,MEDIUM,2,7,18,1,False,None,None,False,3718.865,2020-10-25T13:41:59.942000000,True
ALB,23,Red Bull Racing,22,81.935,23.93,31.28,26.725,MEDIUM,2,8,18,1,True,None,None,False,3802.404,2020-10-25T13:43:23.481000000,True
ALB,23,Red Bull Racing,23,81.831,23.843,31.42,26.568,MEDIUM,2,9,18,1,True,None,None,False,3884.339,2020-10-25T13:44:45.416000000,True
ALB,23,Red Bull Racing,24,82.356,24.068,31.537,26.751,MEDIUM,2,10,18,1,False,None,None,False,3966.17,2020-10-25T13:46:07.247000000,True
ALB,23,Red Bull Racing,25,82.249,24.12,31.384,26.745,MEDIUM,2,11,17,1,False,None,None,False,4048.526,2020-10-25T13:47:29.603000000,True
ALB,23,Red Bull Racing,26,82.061,23.732,31.492,26.837,MEDIUM,2,12,16,1,False,None,None,False,4130.775,2020-10-25T13:48:51.852000000,True
ALB,23,Red Bull Racing,27,82.318,23.896,31.639,26.783,MEDIUM,2,13,15,1,False,None,None,False,4212.836,2020-10-25T13:50:13.913000000,True
ALB,23,Red Bull Racing,28,82.146,23.852,31.477,26.817,MEDIUM,2,14,14,1,False,None,None,False,4295.154,2020-10-25T13:51:36.231000000,True
