Driver,DriverNumber,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,Stint,TyreLife,Position,TrackStatus,IsPersonalBest,PitOutTime,PitInTime,FreshTyre,LapStartTime,LapStartDate,IsAccurate
ALB,23,Red Bull Racing,1,87.853,None,29.268,27.575,SOFT,1,4,7,12,False,None,None,False,1990.426,2020-11-01T12:13:12.701000000,False
ALB,23,Red Bull Racing,2,82.182,26.267,28.563,27.352,SOFT,1,5,7,1,True,None,None,False,2078.432,2020-11-01T12:14:40.707000000,True
ALB,23,Red Bull Racing,3,81.611,26.072,28.488,27.051,SOFT,1,6,7,1,True,None,None,False,2160.614,2020-11-01T12:16:02.889000000,True
ALB,23,Red Bull Racing,4,80.812,25.766,28.123,26.923,SOFT,1,7,7,1,True,None,None,False,2242.225,2020-11-01T12:17:24.500000000,True
ALB,23,Red Bull Racing,5,80.772,25.803,28.111,26.858,SOFT,1,8,7,1,True,None,None,False,2323.037,2020-11-01T12:18:45.312000000,True
ALB,23,Red Bull Racing,6,80.68,25.718,28.042,26.92,SOFT,1,9,7,1,True,None,None,False,2403.809,2020-11-01T12:20:06.084000000,True
ALB,23,Red Bull Racing,7,81.138,25.779,28.226,27.133,SOFT,1,10,7,1,False,None,None,False,2484.489,2020-11-01T12:21:26.764000000,True
ALB,23,Red Bull Racing,8,80.871,25.871,28.042,26.958,SOFT,1,11,6,1,False,None,None,False,2565.627,2020-11-01T12:22:47.902000000,True
ALB,23,Red Bull Racing,9,80.677,25.74,27.975,26.962,SOFT,1,12,6,1,True,None,None,False,2646.498,2020-11-01T12:24:08.773000000,True
ALB,23,Red Bull Racing,10,80.649,25.673,27.97,27.006,SOFT,1,13,6,1,True,None,None,False,2727.175,2020-11-01T12:25:29.450000000,True
ALB,23,Red Bull Racing,11,80.543,25.854,27.9,26.789,SOFT,1,14,6,1,True,None,None,False,2807.824,2020-11-01T12:26:50.099000000,True
ALB,23,Red Bull Racing,12,80.481,25.821,27.894,26.766,SOFT,1,15,6,1,True,None,None,False,2888.367,2020-11-01T12:28:10.642000000,True
