Driver,DriverNumber,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,Stint,TyreLife,Position,TrackStatus,IsPersonalBest,PitOutTime,PitInTime,FreshTyre,LapStartTime,LapStartDate,IsAccurate
ALB,23,Red Bull Racing,1,131.074,None,44.603,31.926,WET,1,1,5,12,False,None,None,True,2006.325,2020-11-15T10:13:26.827000000,False
ALB,23,Red Bull Racing,2,118.566,44.66,42.448,31.458,WET,1,2,5,12,True,None,None,True,2137.544,2020-11-15T10:15:38.046000000,True
ALB,23,Red Bull Racing,3,117.469,44.244,41.477,31.748,WET,1,3,5,1,True,None,None,True,2256.11,2020-11-15T10:17:36.612000000,True
ALB,23,Red Bull Racing,4,114.568,43.121,40.8,30.647,WET,1,4,5,1,True,None,None,True,2373.579,2020-11-15T10:19:34.081000000,True
ALB,23,Red Bull Racing,5,113.656,42.85,40.647,30.159,WET,1,5,5,1,True,None,None,True,2488.147,2020-11-15T10:21:28.649000000,True
ALB,23,Red Bull Racing,6,113.544,42.691,40.545,30.308,WET,1,6,5,1,True,None,None,True,2601.803,2020-11-15T10:23:22.305000000,True
ALB,23,Red Bull Racing,7,112.985,42.217,40.393,30.375,WET,1,7,5,1,True,None,None,True,2715.347,2020-11-15T10:25:15.849000000,True
ALB,23,Red Bull Racing,8,112.239,41.96,40.023,30.256,WET,1,8,5,1,True,None,None,True,2828.332,2020-11-15T10:27:08.834000000,True
ALB,23,Red Bull Racing,9,111.613,41.775,39.625,30.213,WET,1,9,4,1,True,None,None,True,2940.571,2020-11-15T10:29:01.073000000,True
ALB,23,Red Bull Racing,10,110.44,41.304,39.498,29.638,WET,1,10,3,1,True,None,None,True,3052.184,2020-11-15T10:30:52.686000000,True
ALB,23,Red Bull Racing,11,110.423,42.033,38.731,29.659,WET,1,11,2,1,True,None,None,True,3162.624,2020-11-15T10:32:43.126000000,True
