Driver,DriverNumber,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,Stint,TyreLife,Position,TrackStatus,IsPersonalBest,PitOutTime,PitInTime,FreshTyre,LapStartTime,LapStartDate,IsAccurate
ALB,23,Red Bull Racing,1,136.507,None,69.748,32.821,MEDIUM,1,4,4,15,False,None,2151.732,False,2016.921,2020-11-29T14:13:36.973000000,False
ALB,23,Red Bull Racing,2,1351.455,None,82.74,54.383,MEDIUM,2,2,5,1,False,6913.449,None,False,6900.402,2020-11-29T15:35:00.454000000,False
ALB,23,Red Bull Racing,3,180.226,91.454,57.115,31.657,MEDIUM,2,3,5,124,False,None,None,False,7105.142,2020-11-29T15:38:25.194000000,False
ALB,23,Red Bull Racing,4,139.742,40.857,67.503,31.382,MEDIUM,2,4,4,4,True,None,None,False,7285.287,2020-11-29T15:41:25.339000000,False
ALB,23,Red Bull Racing,5,148.957,43.045,67.877,38.035,MEDIUM,2,5,4,4,False,None,None,False,7425.029,2020-11-29T15:43:45.081000000,False
ALB,23,Red Bull Racing,6,138.973,42.971,61.027,34.975,MEDIUM,2,6,4,4,True,None,None,False,7573.986,2020-11-29T15:46:14.038000000,False
ALB,23,Red Bull Racing,7,139.135,44.26,59.896,34.979,MEDIUM,2,7,4,4,False,None,None,False,7712.959,2020-11-29T15:48:33.011000000,False
ALB,23,Red Bull Racing,8,154.383,46.29,63.188,44.905,MEDIUM,2,8,4,41,False,None,None,False,7852.094,2020-11-29T15:50:52.146000000,False
ALB,23,Red Bull Racing,9,95.862,30.681,41.458,23.723,MEDIUM,2,9,4,1,True,None,None,False,8006.497,2020-11-29T15:53:26.549000000,True
ALB,23,Red Bull Racing,10,95.545,30.526,41.431,23.588,MEDIUM,2,10,4,1,True,None,None,False,8102.359,2020-11-29T15:55:02.411000000,True
ALB,23,Red Bull Racing,11,95.652,30.515,41.469,23.668,MEDIUM,2,11,4,1,False,None,None,False,8197.904,2020-11-29T15:56:37.956000000,True
ALB,23,Red Bull Racing,12,95.831,30.458,41.707,23.666,MEDIUM,2,12,4,1,False,None,None,False,8293.556,2020-11-29T15:58:13.608000000,True
ALB,23,Red Bull Racing,13,95.807,30.49,41.633,23.684,MEDIUM,2,13,4,12,False,None,None,False,8389.387,2020-11-29T15:59:49.439000000,True
ALB,23,Red Bull Racing,14,95.91,30.579,41.526,23.805,MEDIUM,2,14,4,1,False,None,None,False,8485.194,2020-11-29T16:01:25.246000000,True
ALB,23,Red Bull Racing,15,95.886,30.505,41.625,23.756,MEDIUM,2,15,4,1,False,None,None,False,8581.104,2020-11-29T16:03:01.156000000,True
ALB,23,Red Bull Racing,16,96.556,30.432,41.872,24.252,MEDIUM,2,16,4,1,False,None,None,False,8676.99,2020-11-29T16:04:37.042000000,True
ALB,23,Red Bull Racing,17,96.391,30.645,41.886,23.86,MEDIUM,2,17,4,1,False,None,None,False,8773.546,2020-11-29T16:06:13.598000000,True
ALB,23,Red Bull Racing,18,96.148,30.514,41.758,23.876,MEDIUM,2,18,4,1,False,None,None,False,8869.937,2020-11-29T16:07:49.989000000,True
ALB,23,Red Bull Racing,19,99.33,30.654,41.676,27.0,MEDIUM,2,19,4,1,False,None,9063.766,False,8966.085,2020-11-29T16:09:26.137000000,False
ALB,23,Red Bull Racing,20,115.349,50.929,40.974,23.446,MEDIUM,3,5,7,1,False,9087.934,None,False,9065.415,2020-11-29T16:11:05.467000000,False
ALB,23,Red Bull Racing,21,95.724,30.318,41.571,23.835,MEDIUM,3,6,7,1,False,None,None,False,9180.764,2020-11-29T16:13:00.816000000,True
ALB,23,Red Bull Racing,22,94.561,29.997,41.14,23.424,MEDIUM,3,7,5,1,True,None,None,False,9276.488,2020-11-29T16:14:36.540000000,True
ALB,23,Red Bull Racing,23,95.634,30.216,41.546,23.872,MEDIUM,3,8,5,1,False,None,None,False,9371.049,2020-11-29T16:16:11.101000000,True
ALB,23,Red Bull Racing,24,94.531,30.051,41.189,23.291,MEDIUM,3,9,4,1,True,None,None,False,9466.683,2020-11-29T16:17:46.735000000,True
ALB,23,Red Bull Racing,25,94.673,30.229,41.092,23.352,MEDIUM,3,10,4,1,False,None,None,False,9561.214,2020-11-29T16:19:21.266000000,True
ALB,23,Red Bull Racing,26,94.463,30.207,40.909,23.347,MEDIUM,3,11,4,1,True,None,None,False,9655.887,2020-11-29T16:20:55.939000000,True
ALB,23,Red Bull Racing,27,94.638,30.295,40.983,23.36,MEDIUM,3,12,4,1,False,None,None,False,9750.35,2020-11-29T16:22:30.402000000,True
ALB,23,Red Bull Racing,28,94.776,30.24,41.072,23.464,MEDIUM,3,13,4,1,False,None,None,False,9844.988,2020-11-29T16:24:05.040000000,True
ALB,23,Red Bull Racing,29,95.125,30.354,41.169,23.602,MEDIUM,3,14,4,1,False,None,None,False,9939.764,2020-11-29T16:25:39.816000000,True
ALB,23,Red Bull Racing,30,95.104,30.491,41.216,23.397,MEDIUM,3,15,4,1,False,None,None,False,10034.889,2020-11-29T16:27:14.941000000,True
ALB,23,Red Bull Racing,31,94.953,30.307,41.156,23.49,MEDIUM,3,16,4,1,False,None,None,False,10129.993,2020-11-29T16:28:50.045000000,True
ALB,23,Red Bull Racing,32,95.246,30.347,41.274,23.625,MEDIUM,3,17,4,1,False,None,None,False,10224.946,2020-11-29T16:30:24.998000000,True
ALB,23,Red Bull Racing,33,95.381,30.333,41.426,23.622,MEDIUM,3,18,4,1,False,None,None,False,10320.192,2020-11-29T16:32:00.244000000,True
ALB,23,Red Bull Racing,34,98.293,30.373,41.481,26.439,MEDIUM,3,19,4,1,False,None,10512.243,False,10415.573,2020-11-29T16:33:35.625000000,False
ALB,23,Red Bull Racing,35,114.767,50.604,40.889,23.274,HARD,4,1,6,1,False,10536.028,None,True,10513.866,2020-11-29T16:35:13.918000000,False
ALB,23,Red Bull Racing,36,93.693,30.023,40.541,23.129,HARD,4,2,6,1,True,None,None,True,10628.633,2020-11-29T16:37:08.685000000,True
ALB,23,Red Bull Racing,37,94.05,30.199,40.7,23.151,HARD,4,3,6,1,False,None,None,True,10722.326,2020-11-29T16:38:42.378000000,True
ALB,23,Red Bull Racing,38,93.932,30.056,40.657,23.219,HARD,4,4,6,1,False,None,None,True,10816.376,2020-11-29T16:40:16.428000000,True
ALB,23,Red Bull Racing,39,93.994,29.925,40.948,23.121,HARD,4,5,4,1,False,None,None,True,10910.308,2020-11-29T16:41:50.360000000,True
ALB,23,Red Bull Racing,40,93.808,30.084,40.691,23.033,HARD,4,6,4,1,False,None,None,True,11004.302,2020-11-29T16:43:24.354000000,True
ALB,23,Red Bull Racing,41,93.684,29.998,40.662,23.024,HARD,4,7,4,1,True,None,None,True,11098.11,2020-11-29T16:44:58.162000000,True
ALB,23,Red Bull Racing,42,93.874,30.053,40.69,23.131,HARD,4,8,4,1,False,None,None,True,11191.794,2020-11-29T16:46:31.846000000,True
ALB,23,Red Bull Racing,43,93.982,30.066,40.741,23.175,HARD,4,9,4,1,False,None,None,True,11285.668,2020-11-29T16:48:05.720000000,True
ALB,23,Red Bull Racing,44,94.353,30.246,40.93,23.177,HARD,4,10,4,1,False,None,None,True,11379.65,2020-11-29T16:49:39.702000000,True
ALB,23,Red Bull Racing,45,94.411,30.162,40.96,23.289,HARD,4,11,4,1,False,None,None,True,11474.003,2020-11-29T16:51:14.055000000,True
ALB,23,Red Bull Racing,46,95.47,30.195,41.958,23.317,HARD,4,12,4,1,False,None,None,True,11568.414,2020-11-29T16:52:48.466000000,True
ALB,23,Red Bull Racing,47,94.603,30.418,40.945,23.24,HARD,4,13,4,1,False,None,None,True,11663.884,2020-11-29T16:54:23.936000000,True
ALB,23,Red Bull Racing,48,94.758,30.43,40.756,23.572,HARD,4,14,4,1,False,None,None,True,11758.487,2020-11-29T16:55:58.539000000,True
ALB,23,Red Bull Racing,49,94.499,30.353,40.935,23.211,HARD,4,15,4,1,False,None,None,True,11853.245,2020-11-29T16:57:33.297000000,True
ALB,23,Red Bull Racing,50,94.152,30.121,40.743,23.288,HARD,4,16,4,1,False,None,None,True,11947.744,2020-11-29T16:59:07.796000000,True
ALB,23,Red Bull Racing,51,94.453,30.263,40.84,23.35,HARD,4,17,4,1,False,None,None,True,12041.896,2020-11-29T17:00:41.948000000,True
ALB,23,Red Bull Racing,52,94.612,30.238,40.954,23.42,HARD,4,18,4,1,False,None,None,True,12136.349,2020-11-29T17:02:16.401000000,True
ALB,23,Red Bull Racing,53,95.713,30.379,41.668,23.666,HARD,4,19,4,1,False,None,None,True,12230.961,2020-11-29T17:03:51.013000000,True
ALB,23,Red Bull Racing,54,108.128,30.668,42.35,35.11,HARD,4,20,3,124,False,None,None,True,12326.674,2020-11-29T17:05:26.726000000,False
ALB,23,Red Bull Racing,55,133.017,41.122,57.505,34.39,HARD,4,21,3,4,False,None,None,True,12434.802,2020-11-29T17:07:14.854000000,False
ALB,23,Red Bull Racing,56,109.706,36.815,47.235,25.656,HARD,4,22,3,4,False,None,None,True,12567.819,2020-11-29T17:09:27.871000000,False
ALB,23,Red Bull Racing,57,135.114,36.729,62.142,36.243,HARD,4,23,3,4,False,None,None,True,12677.525,2020-11-29T17:11:17.577000000,False
BOT,77,Mercedes,1,142.955,None,72.083,34.641,MEDIUM,1,4,6,15,False,None,2158.422,False,2016.921,2020-11-29T14:13:36.973000000,False
BOT,77,Mercedes,2,1341.194,None,82.925,52.179,MEDIUM,2,5,4,1,False,6917.534,None,False,6900.402,2020-11-29T15:35:00.454000000,False
BOT,77,Mercedes,3,181.8,95.208,55.773,30.819,MEDIUM,2,6,4,124,False,None,None,False,7101.28,2020-11-29T15:38:21.332000000,False
BOT,77,Mercedes,4,143.108,40.467,69.21,33.431,MEDIUM,2,7,5,4,False,None,7424.486,False,7283.048,2020-11-29T15:41:23.100000000,False
BOT,77,Mercedes,5,168.56,60.198,68.556,39.806,HARD,3,1,16,4,False,7449.412,None,True,7426.156,2020-11-29T15:43:46.208000000,False
BOT,77,Mercedes,6,137.765,40.742,59.584,37.439,HARD,3,2,16,4,True,None,None,True,7594.699,2020-11-29T15:46:34.751000000,False
BOT,77,Mercedes,7,140.284,43.565,56.108,40.611,HARD,3,3,16,4,False,None,None,True,7732.464,2020-11-29T15:48:52.516000000,False
BOT,77,Mercedes,8,138.453,45.076,57.849,35.528,HARD,3,4,16,41,False,None,None,True,7872.748,2020-11-29T15:51:12.800000000,False
BOT,77,Mercedes,9,99.509,31.658,43.372,24.479,HARD,3,5,16,1,True,None,None,True,8011.201,2020-11-29T15:53:31.253000000,True
BOT,77,Mercedes,10,98.747,31.329,43.044,24.374,HARD,3,6,16,1,True,None,None,True,8110.71,2020-11-29T15:55:10.762000000,True
BOT,77,Mercedes,11,97.959,30.949,42.712,24.298,HARD,3,7,16,1,True,None,None,True,8209.457,2020-11-29T15:56:49.509000000,True
BOT,77,Mercedes,12,97.276,30.291,42.581,24.404,HARD,3,8,15,1,True,None,None,True,8307.416,2020-11-29T15:58:27.468000000,True
BOT,77,Mercedes,13,98.325,30.859,43.102,24.364,HARD,3,9,15,12,False,None,None,True,8404.692,2020-11-29T16:00:04.744000000,True
BOT,77,Mercedes,14,96.867,30.638,42.148,24.081,HARD,3,10,14,1,True,None,None,True,8503.017,2020-11-29T16:01:43.069000000,True
BOT,77,Mercedes,15,98.058,30.555,43.012,24.491,HARD,3,11,14,1,False,None,None,True,8599.884,2020-11-29T16:03:19.936000000,True
BOT,77,Mercedes,16,97.993,30.855,42.713,24.425,HARD,3,12,14,1,False,None,None,True,8697.942,2020-11-29T16:04:57.994000000,True
BOT,77,Mercedes,17,98.245,30.653,42.975,24.617,HARD,3,13,12,1,False,None,None,True,8795.935,2020-11-29T16:06:35.987000000,True
BOT,77,Mercedes,18,96.682,30.381,42.126,24.175,HARD,3,14,10,1,True,None,None,True,8894.18,2020-11-29T16:08:14.232000000,True
BOT,77,Mercedes,19,98.099,30.706,43.036,24.357,HARD,3,15,9,1,False,None,None,True,8990.862,2020-11-29T16:09:50.914000000,True
BOT,77,Mercedes,20,97.57,30.68,42.722,24.168,HARD,3,16,8,1,False,None,None,True,9088.961,2020-11-29T16:11:29.013000000,True
BOT,77,Mercedes,21,96.023,30.276,41.832,23.915,HARD,3,17,8,1,True,None,None,True,9186.531,2020-11-29T16:13:06.583000000,True
BOT,77,Mercedes,22,96.132,30.423,41.766,23.943,HARD,3,18,7,1,False,None,None,True,9282.554,2020-11-29T16:14:42.606000000,True
BOT,77,Mercedes,23,96.542,30.753,41.858,23.931,HARD,3,19,6,1,False,None,None,True,9378.686,2020-11-29T16:16:18.738000000,True
BOT,77,Mercedes,24,96.123,30.55,41.679,23.894,HARD,3,20,6,1,False,None,None,True,9475.228,2020-11-29T16:17:55.280000000,True
BOT,77,Mercedes,25,100.305,31.488,41.931,26.886,HARD,3,21,7,1,False,None,9669.978,True,9571.351,2020-11-29T16:19:31.403000000,False
BOT,77,Mercedes,26,116.605,51.994,41.537,23.074,MEDIUM,4,3,13,1,False,9694.729,None,False,9671.656,2020-11-29T16:21:11.708000000,False
BOT,77,Mercedes,27,94.063,29.523,41.498,23.042,MEDIUM,4,4,11,1,True,None,None,False,9788.261,2020-11-29T16:23:08.313000000,True
BOT,77,Mercedes,28,93.352,29.697,40.35,23.305,MEDIUM,4,5,11,1,True,None,None,False,9882.324,2020-11-29T16:24:42.376000000,True
BOT,77,Mercedes,29,93.749,29.805,40.733,23.211,MEDIUM,4,6,11,1,False,None,None,False,9975.676,2020-11-29T16:26:15.728000000,True
BOT,77,Mercedes,30,94.235,29.989,40.988,23.258,MEDIUM,4,7,11,1,False,None,None,False,10069.425,2020-11-29T16:27:49.477000000,True
BOT,77,Mercedes,31,95.261,30.295,41.337,23.629,MEDIUM,4,8,11,1,False,None,None,False,10163.66,2020-11-29T16:29:23.712000000,True
BOT,77,Mercedes,32,94.364,30.019,41.115,23.23,MEDIUM,4,9,10,1,False,None,None,False,10258.921,2020-11-29T16:30:58.973000000,True
BOT,77,Mercedes,33,94.463,29.998,41.203,23.262,MEDIUM,4,10,10,1,False,None,None,False,10353.285,2020-11-29T16:32:33.337000000,True
BOT,77,Mercedes,34,94.647,30.019,41.209,23.419,MEDIUM,4,11,9,1,False,None,None,False,10447.748,2020-11-29T16:34:07.800000000,True
BOT,77,Mercedes,35,94.841,30.104,41.274,23.463,MEDIUM,4,12,9,1,False,None,None,False,10542.395,2020-11-29T16:35:42.447000000,True
BOT,77,Mercedes,36,95.461,30.146,41.66,23.655,MEDIUM,4,13,8,1,False,None,None,False,10637.236,2020-11-29T16:37:17.288000000,True
BOT,77,Mercedes,37,95.442,30.301,41.405,23.736,MEDIUM,4,14,8,1,False,None,None,False,10732.697,2020-11-29T16:38:52.749000000,True
BOT,77,Mercedes,38,98.44,30.176,41.517,26.747,MEDIUM,4,15,8,1,False,None,10924.934,False,10828.139,2020-11-29T16:40:28.191000000,False
BOT,77,Mercedes,39,113.849,50.684,40.111,23.054,MEDIUM,5,16,11,1,False,10949.616,None,False,10926.579,2020-11-29T16:42:06.631000000,False
