Driver,DriverNumber,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,Stint,TyreLife,Position,TrackStatus,IsPersonalBest,PitOutTime,PitInTime,FreshTyre,LapStartTime,LapStartDate,IsAccurate
AIT,89,Williams,1,95.051,None,None,None,MEDIUM,1,1,15,124,False,None,None,True,1963.624,2020-12-06T17:12:43.657000000,False
AIT,89,Williams,2,94.286,27.98,35.501,30.805,MEDIUM,1,2,15,4,True,None,None,True,2058.833,2020-12-06T17:14:18.866000000,False
AIT,89,Williams,3,90.745,32.689,29.39,28.666,MEDIUM,1,3,15,4,True,None,None,True,2153.119,2020-12-06T17:15:53.152000000,False
AIT,89,Williams,4,90.538,29.165,32.332,29.041,MEDIUM,1,4,15,4,True,None,None,True,2243.864,2020-12-06T17:17:23.897000000,False
AIT,89,Williams,5,92.414,33.198,37.376,21.84,MEDIUM,1,5,15,4,False,None,None,True,2334.402,2020-12-06T17:18:54.435000000,False
AIT,89,Williams,6,71.998,26.95,25.883,19.165,MEDIUM,1,6,15,41,True,None,None,True,2426.816,2020-12-06T17:20:26.849000000,False
AIT,89,Williams,7,60.72,20.696,22.032,17.992,MEDIUM,1,7,15,1,True,None,None,True,2498.814,2020-12-06T17:21:38.847000000,True
AIT,89,Williams,8,60.981,21.447,21.986,17.548,MEDIUM,1,8,16,1,False,None,None,True,2559.534,2020-12-06T17:22:39.567000000,True
AIT,89,Williams,9,60.011,20.654,21.873,17.484,MEDIUM,1,9,16,1,True,None,None,True,2620.515,2020-12-06T17:23:40.548000000,True
AIT,89,Williams,10,61.55,20.92,22.697,17.933,MEDIUM,1,10,17,1,False,None,None,True,2680.526,2020-12-06T17:24:40.559000000,True
AIT,89,Williams,11,60.576,20.832,22.38,17.364,MEDIUM,1,11,16,1,False,None,None,True,2742.076,2020-12-06T17:25:42.109000000,True
AIT,89,Williams,12,59.699,20.703,21.604,17.392,MEDIUM,1,12,16,1,True,None,None,True,2802.652,2020-12-06T17:26:42.685000000,True
AIT,89,Williams,13,59.737,20.65,21.593,17.494,MEDIUM,1,13,16,1,False,None,None,True,2862.351,2020-12-06T17:27:42.384000000,True
AIT,89,Williams,14,59.837,20.699,21.56,17.578,MEDIUM,1,14,16,1,False,None,None,True,2922.088,2020-12-06T17:28:42.121000000,True
AIT,89,Williams,15,59.679,20.691,21.472,17.516,MEDIUM,1,15,16,1,True,None,None,True,2981.925,2020-12-06T17:29:41.958000000,True
AIT,89,Williams,16,59.608,20.799,21.314,17.495,MEDIUM,1,16,16,1,True,None,None,True,3041.604,2020-12-06T17:30:41.637000000,True
AIT,89,Williams,17,59.823,20.573,21.812,17.438,MEDIUM,1,17,16,1,False,None,None,True,3101.212,2020-12-06T17:31:41.245000000,True
AIT,89,Williams,18,59.805,20.689,21.647,17.469,MEDIUM,1,18,16,1,False,None,None,True,3161.035,2020-12-06T17:32:41.068000000,True
AIT,89,Williams,19,59.477,20.651,21.48,17.346,MEDIUM,1,19,16,1,True,None,None,True,3220.84,2020-12-06T17:33:40.873000000,True
AIT,89,Williams,20,59.505,20.694,21.439,17.372,MEDIUM,1,20,16,1,False,None,None,True,3280.317,2020-12-06T17:34:40.350000000,True
AIT,89,Williams,21,59.564,20.639,21.531,17.394,MEDIUM,1,21,15,1,False,None,None,True,3339.822,2020-12-06T17:35:39.855000000,True
AIT,89,Williams,22,59.983,20.979,21.495,17.509,MEDIUM,1,22,15,1,False,None,None,True,3399.386,2020-12-06T17:36:39.419000000,True
AIT,89,Williams,23,59.501,20.745,21.368,17.388,MEDIUM,1,23,15,1,False,None,None,True,3459.369,2020-12-06T17:37:39.402000000,True
AIT,89,Williams,24,59.58,20.718,21.438,17.424,MEDIUM,1,24,15,1,False,None,None,True,3518.87,2020-12-06T17:38:38.903000000,True
AIT,89,Williams,25,59.7,20.719,21.496,17.485,MEDIUM,1,25,15,1,False,None,None,True,3578.45,2020-12-06T17:39:38.483000000,True
