time,lap,compound,stint,s1,s2,s3,ms1,ms2,ms3,life,pos,status,pb,sesT,drv,dNum,pout,pin,s1T,s2T,s3T,vi1,vi2,vfl,vst,fresh,team,lST,lSD,del,delR,ff1G,iacc,wT,wAT,wH,wP,wR,wTT,wWD,wWS
99.919,1,MEDIUM,1,None,39.73,26.066,None,None,None,4,9,12,False,2097.159,ALB,23,None,None,None,2071.137,2097.277,307.0,251.0,246.0,318.0,False,Red Bull Racing,1997.072,2020-08-09T13:13:17.118000000,False,None,False,False,2010.085,24.2,61.2,1001.1,False,42.9,13,3.2
94.083,2,MEDIUM,1,29.45,38.533,26.1,None,None,None,5,9,1,True,2191.242,ALB,23,None,None,2126.62,2165.153,2191.253,295.0,256.0,246.0,308.0,False,Red Bull Racing,2097.159,2020-08-09T13:14:57.205000000,False,None,False,True,2130.084,24.5,61.2,1001.1,False,42.6,5,3.7
93.802,3,MEDIUM,1,29.262,38.684,25.856,None,None,None,6,9,1,True,2285.044,ALB,23,None,None,2220.515,2259.199,2285.055,306.0,258.0,246.0,321.0,False,Red Bull Racing,2191.242,2020-08-09T13:16:31.288000000,False,None,False,True,2191.19,24.9,59.9,1001.2,False,42.8,19,1.9
93.617,4,MEDIUM,1,29.175,38.397,26.045,None,None,None,7,9,1,True,2378.661,ALB,23,None,None,2314.23,2352.627,2378.672,303.0,253.0,246.0,314.0,False,Red Bull Racing,2285.044,2020-08-09T13:18:05.090000000,False,None,False,True,2310.089,24.9,59.4,1001.0,False,43.1,295,2.0
93.703,5,MEDIUM,1,29.099,38.591,26.013,None,None,None,8,9,1,False,2472.364,ALB,23,None,None,2407.771,2446.362,2472.375,303.0,255.0,244.0,315.0,False,Red Bull Racing,2378.661,2020-08-09T13:19:38.707000000,False,None,False,True,2370.085,24.9,59.8,1001.0,False,43.0,11,1.9
93.049,6,MEDIUM,1,29.179,38.536,25.334,None,None,None,9,9,1,False,2565.413,ALB,23,None,2559.598,2501.554,2540.09,2565.424,304.0,256.0,None,314.0,False,Red Bull Racing,2472.364,2020-08-09T13:21:12.410000000,False,None,False,False,2490.11,25.1,58.7,1001.0,False,43.3,18,2.4
112.422,7,HARD,2,49.8,37.414,25.208,None,None,None,1,20,1,False,2677.835,ALB,23,2587.968,None,2615.224,2652.638,2677.846,281.0,258.0,247.0,298.0,True,Red Bull Racing,2565.413,2020-08-09T13:22:45.459000000,False,None,False,False,2610.119,25.1,58.3,1001.0,False,43.1,6,3.0
91.989,8,HARD,2,29.057,37.647,25.285,None,None,None,2,19,1,True,2769.824,ALB,23,None,None,2706.903,2744.55,2769.835,285.0,258.0,248.0,311.0,True,Red Bull Racing,2677.835,2020-08-09T13:24:37.881000000,False,None,False,True,2670.103,25.1,58.4,1001.0,False,43.1,285,3.0
93.411,9,HARD,2,28.908,38.808,25.695,None,None,None,3,18,1,False,2863.235,ALB,23,None,None,2798.743,2837.551,2863.246,311.0,257.0,247.0,324.0,True,Red Bull Racing,2769.824,2020-08-09T13:26:09.870000000,False,None,False,True,2790.154,25.4,57.8,1000.9,False,43.4,3,2.3
94.107,10,HARD,2,28.961,38.324,26.822,None,None,None,4,16,1,False,2957.342,ALB,23,None,None,2892.207,2930.531,2957.353,318.0,260.0,244.0,322.0,True,Red Bull Racing,2863.235,2020-08-09T13:27:43.281000000,True,TRACK LIMITS AT TURN 15,False,True,2850.101,25.5,58.3,1001.0,False,43.8,7,2.1
