Season,Round,Race,Driver,StopNumber,LapNumber,PitStopTime,PitStopDuration
2020,2,Styrian_Grand_Prix,leclerc,1,1,15:14:20,39.715
2020,2,Styrian_Grand_Prix,max_verstappen,1,24,15:42:09,20.937
2020,2,Styrian_Grand_Prix,gasly,1,24,15:42:46,21.95
2020,2,Styrian_Grand_Prix,hamilton,1,27,15:45:28,21.729
2020,2,Styrian_Grand_Prix,kevin_magnussen,1,31,15:51:02,21.977
2020,2,Styrian_Grand_Prix,sainz,1,32,15:51:49,25.983
2020,2,Styrian_Grand_Prix,latifi,1,32,15:52:24,22.745
2020,2,Styrian_Grand_Prix,stroll,1,33,15:53:01,22.118
2020,2,Styrian_Grand_Prix,bottas,1,34,15:53:38,21.376
2020,2,Styrian_Grand_Prix,russell,1,34,15:54:49,21.697
2020,2,Styrian_Grand_Prix,albon,1,35,15:55:11,21.505
2020,2,Styrian_Grand_Prix,kvyat,1,36,15:56:45,22.197
2020,2,Styrian_Grand_Prix,ricciardo,1,37,15:57:33,21.603
2020,2,Styrian_Grand_Prix,grosjean,1,37,15:58:03,22.444
2020,2,Styrian_Grand_Prix,perez,1,38,15:58:45,22.761
2020,2,Styrian_Grand_Prix,norris,1,39,16:00:02,22.406
2020,2,Styrian_Grand_Prix,giovinazzi,1,39,16:00:18,21.667
2020,2,Styrian_Grand_Prix,raikkonen,1,44,16:06:06,21.459
2020,2,Styrian_Grand_Prix,gasly,2,49,16:12:15,22.28
2020,2,Styrian_Grand_Prix,sainz,2,66,16:31:07,21.873
2020,2,Styrian_Grand_Prix,max_verstappen,2,68,16:32:33,21.091
