Season,Round,Race,Driver,StopNumber,LapNumber,PitStopTime,PitStopDuration
2020,3,Hungarian_Grand_Prix,kvyat,1,1,15:14:46,23.568
2020,3,Hungarian_Grand_Prix,leclerc,1,2,15:16:15,22.266
2020,3,Hungarian_Grand_Prix,bottas,1,2,15:16:16,21.906
2020,3,Hungarian_Grand_Prix,hamilton,1,3,15:17:37,22.32
2020,3,Hungarian_Grand_Prix,stroll,1,3,15:17:46,23.081
2020,3,Hungarian_Grand_Prix,vettel,1,3,15:17:50,28.286
2020,3,Hungarian_Grand_Prix,perez,1,3,15:17:53,23.263
2020,3,Hungarian_Grand_Prix,sainz,1,3,15:17:55,27.131
2020,3,Hungarian_Grand_Prix,albon,1,3,15:17:58,23.046
2020,3,Hungarian_Grand_Prix,latifi,1,3,15:18:00,21.596
2020,3,Hungarian_Grand_Prix,gasly,1,3,15:18:01,22.74
2020,3,Hungarian_Grand_Prix,raikkonen,1,3,15:18:04,22.299
2020,3,Hungarian_Grand_Prix,max_verstappen,1,4,15:19:18,21.529
2020,3,Hungarian_Grand_Prix,ricciardo,1,4,15:19:30,21.92
2020,3,Hungarian_Grand_Prix,ocon,1,4,15:19:35,24.281
2020,3,Hungarian_Grand_Prix,norris,1,4,15:19:40,23.012
2020,3,Hungarian_Grand_Prix,russell,1,4,15:19:42,21.184
2020,3,Hungarian_Grand_Prix,giovinazzi,1,4,15:19:50,22.283
2020,3,Hungarian_Grand_Prix,latifi,2,4,15:21:24,36.335
2020,3,Hungarian_Grand_Prix,kvyat,2,18,15:39:53,22.685
2020,3,Hungarian_Grand_Prix,russell,2,19,15:41:33,21.367
2020,3,Hungarian_Grand_Prix,leclerc,2,20,15:42:29,22.564
2020,3,Hungarian_Grand_Prix,giovinazzi,2,20,15:43:04,23.082
2020,3,Hungarian_Grand_Prix,vettel,2,29,15:54:50,21.88
2020,3,Hungarian_Grand_Prix,ocon,2,31,15:57:59,21.86
2020,3,Hungarian_Grand_Prix,bottas,2,33,15:59:47,21.644
2020,3,Hungarian_Grand_Prix,latifi,3,31,16:00:38,28.367
2020,3,Hungarian_Grand_Prix,raikkonen,2,33,16:00:45,27.128
2020,3,Hungarian_Grand_Prix,albon,2,34,16:01:43,22.174
2020,3,Hungarian_Grand_Prix,grosjean,1,34,16:01:59,22.591
2020,3,Hungarian_Grand_Prix,stroll,2,35,16:02:34,22.534
2020,3,Hungarian_Grand_Prix,kevin_magnussen,1,35,16:03:02,23.621
2020,3,Hungarian_Grand_Prix,perez,2,35,16:03:08,22.051
2020,3,Hungarian_Grand_Prix,norris,2,35,16:03:33,22.742
2020,3,Hungarian_Grand_Prix,max_verstappen,2,36,16:03:38,21.268
2020,3,Hungarian_Grand_Prix,hamilton,2,37,16:04:39,22.264
2020,3,Hungarian_Grand_Prix,sainz,2,40,16:10:06,22.438
2020,3,Hungarian_Grand_Prix,giovinazzi,3,40,16:11:01,21.831
2020,3,Hungarian_Grand_Prix,latifi,4,39,16:12:52,21.802
2020,3,Hungarian_Grand_Prix,ricciardo,2,43,16:14:04,22.073
2020,3,Hungarian_Grand_Prix,bottas,3,49,16:21:27,21.572
2020,3,Hungarian_Grand_Prix,russell,3,50,16:24:28,22.048
2020,3,Hungarian_Grand_Prix,stroll,3,52,16:25:54,22.057
2020,3,Hungarian_Grand_Prix,latifi,5,52,16:31:33,25.767
2020,3,Hungarian_Grand_Prix,hamilton,3,66,16:43:33,22.426
