Season,Round,Race,Driver,StopNumber,LapNumber,PitStopTime,PitStopDuration
2020,4,British_Grand_Prix,albon,1,6,14:26:01,28.834
2020,4,British_Grand_Prix,ricciardo,1,12,14:35:22,29.559
2020,4,British_Grand_Prix,norris,1,12,14:35:24,30.289
2020,4,British_Grand_Prix,ocon,1,12,14:35:26,30.768
2020,4,British_Grand_Prix,vettel,1,12,14:35:27,29.439
2020,4,British_Grand_Prix,gasly,1,12,14:35:29,29.414
2020,4,British_Grand_Prix,giovinazzi,1,12,14:35:30,28.355
2020,4,British_Grand_Prix,raikkonen,1,12,14:35:35,36.59
2020,4,British_Grand_Prix,russell,1,12,14:35:36,29.302
2020,4,British_Grand_Prix,latifi,1,12,14:35:42,31.371
2020,4,British_Grand_Prix,hamilton,1,13,14:37:01,28.805
2020,4,British_Grand_Prix,bottas,1,13,14:37:06,30.571
2020,4,British_Grand_Prix,max_verstappen,1,13,14:37:10,28.208
2020,4,British_Grand_Prix,leclerc,1,13,14:37:21,29.52
2020,4,British_Grand_Prix,sainz,1,13,14:37:27,28.487
2020,4,British_Grand_Prix,stroll,1,13,14:37:32,28.716
2020,4,British_Grand_Prix,albon,2,30,15:08:33,33.308
2020,4,British_Grand_Prix,grosjean,1,36,15:17:38,33.816
2020,4,British_Grand_Prix,raikkonen,2,47,15:35:09,44.085
2020,4,British_Grand_Prix,max_verstappen,2,50,15:38:04,28.273
2020,4,British_Grand_Prix,bottas,2,50,15:38:33,33.602
2020,4,British_Grand_Prix,sainz,2,51,15:40:13,36.278
