Season,Round,Race,Driver,StopNumber,LapNumber,PitStopTime,PitStopDuration
2020,5,70th_Anniversary_Grand_Prix,albon,1,6,14:22:39,28.417
2020,5,70th_Anniversary_Grand_Prix,gasly,1,7,14:24:09,28.356
2020,5,70th_Anniversary_Grand_Prix,giovinazzi,1,7,14:24:23,27.892
2020,5,70th_Anniversary_Grand_Prix,russell,1,8,14:25:59,28.391
2020,5,70th_Anniversary_Grand_Prix,kevin_magnussen,1,9,14:27:31,28.934
2020,5,70th_Anniversary_Grand_Prix,latifi,1,9,14:27:35,28.696
2020,5,70th_Anniversary_Grand_Prix,norris,1,12,14:31:56,27.949
2020,5,70th_Anniversary_Grand_Prix,bottas,1,13,14:33:10,28.408
2020,5,70th_Anniversary_Grand_Prix,hamilton,1,14,14:34:45,28.406
2020,5,70th_Anniversary_Grand_Prix,ricciardo,1,14,14:34:58,28.587
2020,5,70th_Anniversary_Grand_Prix,hulkenberg,1,15,14:36:26,28.981
2020,5,70th_Anniversary_Grand_Prix,grosjean,1,17,14:40:00,29.377
2020,5,70th_Anniversary_Grand_Prix,stroll,1,18,14:41:04,28.235
2020,5,70th_Anniversary_Grand_Prix,leclerc,1,18,14:41:13,29.419
2020,5,70th_Anniversary_Grand_Prix,kvyat,1,19,14:43:00,28.036
2020,5,70th_Anniversary_Grand_Prix,kevin_magnussen,2,20,14:45:03,29.389
2020,5,70th_Anniversary_Grand_Prix,sainz,1,22,14:47:30,35.864
2020,5,70th_Anniversary_Grand_Prix,ocon,1,22,14:47:36,28.093
2020,5,70th_Anniversary_Grand_Prix,vettel,1,22,14:47:40,28.167
2020,5,70th_Anniversary_Grand_Prix,gasly,2,23,14:49:25,28.306
2020,5,70th_Anniversary_Grand_Prix,russell,2,24,14:51:11,28.331
2020,5,70th_Anniversary_Grand_Prix,max_verstappen,1,26,14:53:04,29.115
2020,5,70th_Anniversary_Grand_Prix,ricciardo,2,26,14:53:46,28.167
2020,5,70th_Anniversary_Grand_Prix,raikkonen,1,26,14:54:13,29.296
2020,5,70th_Anniversary_Grand_Prix,latifi,2,26,14:54:19,28.086
2020,5,70th_Anniversary_Grand_Prix,norris,2,29,14:58:32,28.874
2020,5,70th_Anniversary_Grand_Prix,hulkenberg,2,30,14:59:44,28.386
2020,5,70th_Anniversary_Grand_Prix,albon,2,30,15:00:01,27.858
2020,5,70th_Anniversary_Grand_Prix,stroll,2,31,15:01:17,27.974
2020,5,70th_Anniversary_Grand_Prix,max_verstappen,2,32,15:02:28,28.986
2020,5,70th_Anniversary_Grand_Prix,bottas,2,32,15:02:31,28.188
2020,5,70th_Anniversary_Grand_Prix,vettel,2,33,15:04:55,28.352
2020,5,70th_Anniversary_Grand_Prix,giovinazzi,2,33,15:05:16,27.693
2020,5,70th_Anniversary_Grand_Prix,sainz,2,34,15:06:26,28.772
2020,5,70th_Anniversary_Grand_Prix,kvyat,2,35,15:07:54,28.365
2020,5,70th_Anniversary_Grand_Prix,ricciardo,3,35,15:08:07,28.057
2020,5,70th_Anniversary_Grand_Prix,grosjean,2,38,15:12:59,29.803
2020,5,70th_Anniversary_Grand_Prix,russell,3,39,15:14:39,28.692
2020,5,70th_Anniversary_Grand_Prix,hamilton,2,41,15:16:16,29.402
2020,5,70th_Anniversary_Grand_Prix,hulkenberg,3,44,15:21:21,28.736
2020,5,70th_Anniversary_Grand_Prix,latifi,3,46,15:25:31,29.049
