Season,Round,Race,Driver,StopNumber,LapNumber,PitStopTime,PitStopDuration
2020,7,Belgian_Grand_Prix,leclerc,1,10,15:32:40,30.678
2020,7,Belgian_Grand_Prix,raikkonen,1,10,15:32:46,22.96
2020,7,Belgian_Grand_Prix,grosjean,1,10,15:32:51,23.636
2020,7,Belgian_Grand_Prix,kevin_magnussen,1,10,15:32:57,26.156
2020,7,Belgian_Grand_Prix,latifi,1,10,15:33:00,23.532
2020,7,Belgian_Grand_Prix,hamilton,1,11,15:34:33,23.298
2020,7,Belgian_Grand_Prix,bottas,1,11,15:34:37,25.548
2020,7,Belgian_Grand_Prix,max_verstappen,1,11,15:34:40,23.314
2020,7,Belgian_Grand_Prix,ricciardo,1,11,15:34:49,23.586
2020,7,Belgian_Grand_Prix,ocon,1,11,15:34:54,24.305
2020,7,Belgian_Grand_Prix,albon,1,11,15:34:55,22.738
2020,7,Belgian_Grand_Prix,stroll,1,11,15:34:58,23.689
2020,7,Belgian_Grand_Prix,norris,1,11,15:35:05,23.046
2020,7,Belgian_Grand_Prix,kvyat,1,11,15:35:10,23.769
2020,7,Belgian_Grand_Prix,vettel,1,11,15:35:12,22.982
2020,7,Belgian_Grand_Prix,perez,1,18,15:51:01,23.175
2020,7,Belgian_Grand_Prix,leclerc,2,24,16:02:10,25.1
2020,7,Belgian_Grand_Prix,gasly,1,26,16:05:44,22.681
2020,7,Belgian_Grand_Prix,latifi,2,30,16:13:23,23.477
2020,7,Belgian_Grand_Prix,kevin_magnussen,2,35,16:22:33,24.339
