Season,Round,Race,Driver,StopNumber,LapNumber,PitStopTime,PitStopDuration
2020,8,Italian_Grand_Prix,kevin_magnussen,1,1,15:15:04,40.078
2020,8,Italian_Grand_Prix,latifi,1,16,15:36:53,26.335
2020,8,Italian_Grand_Prix,leclerc,1,17,15:38:12,24.344
2020,8,Italian_Grand_Prix,raikkonen,1,18,15:39:31,24.454
2020,8,Italian_Grand_Prix,gasly,1,19,15:40:55,24.096
2020,8,Italian_Grand_Prix,hamilton,1,20,15:41:58,24.671
2020,8,Italian_Grand_Prix,giovinazzi,1,20,15:42:53,23.998
2020,8,Italian_Grand_Prix,sainz,1,22,15:46:40,24.398
2020,8,Italian_Grand_Prix,norris,1,22,15:46:47,24.612
2020,8,Italian_Grand_Prix,ricciardo,1,22,15:46:48,25.498
2020,8,Italian_Grand_Prix,perez,1,22,15:46:48,26.693
2020,8,Italian_Grand_Prix,bottas,1,22,15:46:49,24.41
2020,8,Italian_Grand_Prix,max_verstappen,1,22,15:46:50,26.149
2020,8,Italian_Grand_Prix,ocon,1,22,15:46:55,25.29
2020,8,Italian_Grand_Prix,kvyat,1,22,15:46:56,25.92
2020,8,Italian_Grand_Prix,albon,1,22,15:46:56,29.661
2020,8,Italian_Grand_Prix,grosjean,1,22,15:46:57,25.936
2020,8,Italian_Grand_Prix,russell,1,22,15:46:57,25.249
2020,8,Italian_Grand_Prix,hamilton,2,26,15:54:50,
2020,8,Italian_Grand_Prix,stroll,1,26,15:54:52,
2020,8,Italian_Grand_Prix,gasly,2,26,15:54:53,
2020,8,Italian_Grand_Prix,raikkonen,2,26,15:54:55,
2020,8,Italian_Grand_Prix,giovinazzi,2,26,15:54:57,
2020,8,Italian_Grand_Prix,sainz,2,26,15:54:58,
2020,8,Italian_Grand_Prix,norris,2,26,15:55:02,
2020,8,Italian_Grand_Prix,bottas,2,26,15:55:03,
2020,8,Italian_Grand_Prix,latifi,2,26,15:55:05,
2020,8,Italian_Grand_Prix,ricciardo,2,26,15:55:06,
2020,8,Italian_Grand_Prix,max_verstappen,2,26,15:55:08,
2020,8,Italian_Grand_Prix,ocon,2,26,15:55:10,
2020,8,Italian_Grand_Prix,kvyat,2,26,15:55:12,
2020,8,Italian_Grand_Prix,perez,2,26,15:55:14,
2020,8,Italian_Grand_Prix,russell,2,26,15:55:17,
2020,8,Italian_Grand_Prix,albon,2,26,15:55:18,
2020,8,Italian_Grand_Prix,grosjean,2,26,15:55:20,
2020,8,Italian_Grand_Prix,hamilton,3,28,16:25:20,31.643
2020,8,Italian_Grand_Prix,giovinazzi,3,30,16:28:15,31.48
