Season,Round,Race,Driver,StopNumber,LapNumber,PitStopTime,PitStopDuration
2020,9,Tuscan_Grand_Prix,raikkonen,1,1,15:15:33,30.623
2020,9,Tuscan_Grand_Prix,vettel,1,1,15:15:41,33.583
2020,9,Tuscan_Grand_Prix,bottas,1,7,15:28:34,17.56
2020,9,Tuscan_Grand_Prix,hamilton,1,7,15:28:37,17.536
2020,9,Tuscan_Grand_Prix,leclerc,1,7,15:28:38,17.516
2020,9,Tuscan_Grand_Prix,albon,1,7,15:28:39,17.591
2020,9,Tuscan_Grand_Prix,stroll,1,7,15:28:41,17.625
2020,9,Tuscan_Grand_Prix,ricciardo,1,7,15:28:42,17.464
2020,9,Tuscan_Grand_Prix,perez,1,7,15:28:44,17.531
2020,9,Tuscan_Grand_Prix,norris,1,7,15:28:45,17.845
2020,9,Tuscan_Grand_Prix,kvyat,1,7,15:28:47,17.522
2020,9,Tuscan_Grand_Prix,russell,1,7,15:28:49,18.399
2020,9,Tuscan_Grand_Prix,ocon,1,7,15:28:49,17.455
2020,9,Tuscan_Grand_Prix,raikkonen,2,7,15:28:51,17.594
2020,9,Tuscan_Grand_Prix,vettel,2,7,15:28:52,17.516
2020,9,Tuscan_Grand_Prix,grosjean,1,7,15:28:53,24.781
2020,9,Tuscan_Grand_Prix,bottas,2,8,15:31:11,
2020,9,Tuscan_Grand_Prix,hamilton,2,8,15:31:13,
2020,9,Tuscan_Grand_Prix,leclerc,2,8,15:31:15,
2020,9,Tuscan_Grand_Prix,albon,2,8,15:31:16,
2020,9,Tuscan_Grand_Prix,stroll,2,8,15:31:17,
2020,9,Tuscan_Grand_Prix,ricciardo,2,8,15:31:19,24.0
2020,9,Tuscan_Grand_Prix,perez,2,8,15:31:21,
2020,9,Tuscan_Grand_Prix,norris,2,8,15:31:22,
2020,9,Tuscan_Grand_Prix,kvyat,2,8,15:31:24,
2020,9,Tuscan_Grand_Prix,russell,2,8,15:31:28,
2020,9,Tuscan_Grand_Prix,raikkonen,3,8,15:31:30,
2020,9,Tuscan_Grand_Prix,vettel,3,8,15:31:32,
2020,9,Tuscan_Grand_Prix,grosjean,2,8,15:31:34,
2020,9,Tuscan_Grand_Prix,leclerc,3,21,16:15:31,23.469
2020,9,Tuscan_Grand_Prix,ricciardo,3,27,16:23:46,22.777
2020,9,Tuscan_Grand_Prix,raikkonen,4,27,16:24:17,33.281
2020,9,Tuscan_Grand_Prix,perez,3,28,16:25:26,23.088
2020,9,Tuscan_Grand_Prix,vettel,4,28,16:25:43,22.995
2020,9,Tuscan_Grand_Prix,grosjean,3,28,16:25:52,23.72
2020,9,Tuscan_Grand_Prix,norris,3,29,16:26:50,24.137
2020,9,Tuscan_Grand_Prix,kvyat,3,29,16:26:55,23.113
2020,9,Tuscan_Grand_Prix,russell,3,29,16:27:04,23.638
2020,9,Tuscan_Grand_Prix,stroll,3,30,16:27:59,22.846
2020,9,Tuscan_Grand_Prix,bottas,3,31,16:29:09,23.111
2020,9,Tuscan_Grand_Prix,hamilton,3,32,16:30:24,22.445
2020,9,Tuscan_Grand_Prix,albon,3,32,16:30:50,22.387
2020,9,Tuscan_Grand_Prix,leclerc,4,37,16:38:26,23.367
2020,9,Tuscan_Grand_Prix,raikkonen,5,42,16:45:58,28.96
2020,9,Tuscan_Grand_Prix,bottas,4,43,16:46:01,23.199
2020,9,Tuscan_Grand_Prix,grosjean,4,42,16:46:13,24.002
2020,9,Tuscan_Grand_Prix,ricciardo,4,43,16:46:24,22.963
2020,9,Tuscan_Grand_Prix,albon,4,43,16:46:29,22.822
2020,9,Tuscan_Grand_Prix,perez,4,43,16:46:45,23.002
2020,9,Tuscan_Grand_Prix,norris,4,43,16:46:51,24.82
2020,9,Tuscan_Grand_Prix,kvyat,4,43,16:47:06,22.745
2020,9,Tuscan_Grand_Prix,russell,4,43,16:47:25,23.367
2020,9,Tuscan_Grand_Prix,vettel,5,43,16:47:29,22.489
2020,9,Tuscan_Grand_Prix,hamilton,4,44,16:47:42,22.8
2020,9,Tuscan_Grand_Prix,hamilton,5,45,16:50:26,
2020,9,Tuscan_Grand_Prix,bottas,5,45,16:50:27,
2020,9,Tuscan_Grand_Prix,raikkonen,6,44,16:50:29,
2020,9,Tuscan_Grand_Prix,grosjean,5,44,16:50:31,
2020,9,Tuscan_Grand_Prix,ricciardo,5,45,16:50:33,
2020,9,Tuscan_Grand_Prix,albon,5,45,16:50:35,
2020,9,Tuscan_Grand_Prix,perez,5,45,16:50:40,
2020,9,Tuscan_Grand_Prix,norris,5,45,16:50:53,
2020,9,Tuscan_Grand_Prix,kvyat,5,45,16:50:58,
2020,9,Tuscan_Grand_Prix,leclerc,5,45,16:51:08,
2020,9,Tuscan_Grand_Prix,russell,5,45,16:51:28,
2020,9,Tuscan_Grand_Prix,vettel,6,45,16:51:32,
