Season,Round,Race,Driver,StopNumber,LapNumber,PitStopTime,PitStopDuration
2020,10,Russian_Grand_Prix,russell,1,1,14:15:56,30.165
2020,10,Russian_Grand_Prix,albon,1,1,14:16:00,30.211
2020,10,Russian_Grand_Prix,norris,1,1,14:16:01,37.108
2020,10,Russian_Grand_Prix,russell,2,14,14:43:16,29.433
2020,10,Russian_Grand_Prix,ricciardo,1,15,14:44:24,30.112
2020,10,Russian_Grand_Prix,hamilton,1,16,14:45:50,41.352
2020,10,Russian_Grand_Prix,giovinazzi,1,16,14:46:23,29.767
2020,10,Russian_Grand_Prix,grosjean,1,17,14:48:03,30.054
2020,10,Russian_Grand_Prix,latifi,1,17,14:48:20,29.862
2020,10,Russian_Grand_Prix,ocon,1,18,14:49:24,30.068
2020,10,Russian_Grand_Prix,gasly,1,18,14:49:32,29.77
2020,10,Russian_Grand_Prix,kevin_magnussen,1,19,14:51:23,30.188
2020,10,Russian_Grand_Prix,perez,1,20,14:52:46,29.602
2020,10,Russian_Grand_Prix,max_verstappen,1,25,15:00:57,28.748
2020,10,Russian_Grand_Prix,bottas,1,26,15:02:26,29.75
2020,10,Russian_Grand_Prix,albon,2,27,15:05:10,30.111
2020,10,Russian_Grand_Prix,leclerc,1,28,15:06:20,30.261
2020,10,Russian_Grand_Prix,kvyat,1,30,15:09:46,29.662
2020,10,Russian_Grand_Prix,vettel,1,30,15:10:13,29.395
2020,10,Russian_Grand_Prix,raikkonen,1,35,15:18:43,33.317
2020,10,Russian_Grand_Prix,gasly,2,42,15:30:21,29.409
2020,10,Russian_Grand_Prix,grosjean,2,42,15:31:06,29.988
2020,10,Russian_Grand_Prix,norris,2,47,15:39:13,31.368
2020,10,Russian_Grand_Prix,russell,3,50,15:45:09,29.675
