Season,Round,Race,Driver,StopNumber,LapNumber,PitStopTime,PitStopDuration
2020,12,Portuguese_Grand_Prix,perez,1,1,13:14:54,26.177
2020,12,Portuguese_Grand_Prix,raikkonen,1,11,13:28:58,29.061
2020,12,Portuguese_Grand_Prix,ricciardo,1,14,13:33:08,26.999
2020,12,Portuguese_Grand_Prix,norris,1,18,13:38:42,34.807
2020,12,Portuguese_Grand_Prix,stroll,1,18,13:38:52,36.314
2020,12,Portuguese_Grand_Prix,albon,1,19,13:40:09,26.287
2020,12,Portuguese_Grand_Prix,max_verstappen,1,23,13:45:13,26.394
2020,12,Portuguese_Grand_Prix,latifi,1,24,13:47:22,26.739
2020,12,Portuguese_Grand_Prix,kvyat,1,25,13:48:37,27.211
2020,12,Portuguese_Grand_Prix,sainz,1,26,13:49:45,27.299
2020,12,Portuguese_Grand_Prix,grosjean,1,26,13:50:03,26.985
2020,12,Portuguese_Grand_Prix,vettel,1,27,13:51:14,26.666
2020,12,Portuguese_Grand_Prix,gasly,1,28,13:52:25,27.204
2020,12,Portuguese_Grand_Prix,giovinazzi,1,28,13:52:49,26.473
2020,12,Portuguese_Grand_Prix,kevin_magnussen,1,31,13:57:08,27.3
2020,12,Portuguese_Grand_Prix,leclerc,1,34,14:00:19,26.94
2020,12,Portuguese_Grand_Prix,stroll,2,34,14:01:48,37.483
2020,12,Portuguese_Grand_Prix,russell,1,36,14:03:48,32.991
2020,12,Portuguese_Grand_Prix,hamilton,1,40,14:07:56,27.162
2020,12,Portuguese_Grand_Prix,bottas,1,41,14:09:27,26.512
2020,12,Portuguese_Grand_Prix,norris,2,43,14:13:48,27.75
2020,12,Portuguese_Grand_Prix,perez,2,45,14:15:49,26.635
2020,12,Portuguese_Grand_Prix,albon,2,46,14:17:42,25.882
2020,12,Portuguese_Grand_Prix,ocon,1,53,14:26:47,28.535
2020,12,Portuguese_Grand_Prix,kvyat,2,55,14:30:36,32.943
