Season,Round,Race,Driver,StopNumber,LapNumber,PitStopTime,PitStopDuration
2020,13,Emilia_Romagna_Grand_Prix,stroll,1,1,13:14:49,36.189
2020,13,Emilia_Romagna_Grand_Prix,grosjean,1,9,13:25:41,30.422
2020,13,Emilia_Romagna_Grand_Prix,giovinazzi,1,10,13:27:00,29.745
2020,13,Emilia_Romagna_Grand_Prix,russell,1,11,13:28:18,29.707
2020,13,Emilia_Romagna_Grand_Prix,leclerc,1,13,13:30:49,30.243
2020,13,Emilia_Romagna_Grand_Prix,norris,1,13,13:30:56,29.683
2020,13,Emilia_Romagna_Grand_Prix,ocon,1,13,13:30:59,30.559
2020,13,Emilia_Romagna_Grand_Prix,ricciardo,1,14,13:32:09,30.204
2020,13,Emilia_Romagna_Grand_Prix,kvyat,1,14,13:32:12,30.277
2020,13,Emilia_Romagna_Grand_Prix,albon,1,14,13:32:12,29.77
2020,13,Emilia_Romagna_Grand_Prix,sainz,1,17,13:36:15,29.95
2020,13,Emilia_Romagna_Grand_Prix,max_verstappen,1,18,13:37:06,29.427
2020,13,Emilia_Romagna_Grand_Prix,bottas,1,19,13:38:22,29.6
2020,13,Emilia_Romagna_Grand_Prix,perez,1,27,13:49:28,29.985
2020,13,Emilia_Romagna_Grand_Prix,kevin_magnussen,1,27,13:50:01,30.708
2020,13,Emilia_Romagna_Grand_Prix,hamilton,1,30,13:52:53,30.382
2020,13,Emilia_Romagna_Grand_Prix,stroll,2,29,13:53:03,30.566
2020,13,Emilia_Romagna_Grand_Prix,latifi,1,34,13:59:15,29.892
2020,13,Emilia_Romagna_Grand_Prix,vettel,1,39,14:05:39,40.497
2020,13,Emilia_Romagna_Grand_Prix,raikkonen,1,48,14:17:39,29.863
2020,13,Emilia_Romagna_Grand_Prix,grosjean,2,50,14:21:06,31.199
2020,13,Emilia_Romagna_Grand_Prix,bottas,2,51,14:21:18,30.129
2020,13,Emilia_Romagna_Grand_Prix,perez,2,51,14:21:54,30.555
2020,13,Emilia_Romagna_Grand_Prix,kvyat,2,51,14:22:09,29.809
2020,13,Emilia_Romagna_Grand_Prix,sainz,2,51,14:22:11,30.614
2020,13,Emilia_Romagna_Grand_Prix,hamilton,2,52,14:22:55,30.925
2020,13,Emilia_Romagna_Grand_Prix,vettel,2,51,14:22:57,29.934
2020,13,Emilia_Romagna_Grand_Prix,stroll,3,52,14:25:09,36.63
2020,13,Emilia_Romagna_Grand_Prix,norris,2,53,14:25:29,30.203
2020,13,Emilia_Romagna_Grand_Prix,albon,2,59,14:37:02,29.552
