Season,Round,Race,Driver,StopNumber,LapNumber,PitStopTime,PitStopDuration
2020,15,Bahrain_Grand_Prix,hamilton,1,1,17:15:42,
2020,15,Bahrain_Grand_Prix,max_verstappen,1,1,17:15:44,
2020,15,Bahrain_Grand_Prix,perez,1,1,17:15:46,
2020,15,Bahrain_Grand_Prix,albon,1,1,17:15:51,
2020,15,Bahrain_Grand_Prix,ricciardo,1,1,17:15:56,
2020,15,Bahrain_Grand_Prix,bottas,1,1,17:15:57,
2020,15,Bahrain_Grand_Prix,gasly,1,1,17:16:02,
2020,15,Bahrain_Grand_Prix,ocon,1,1,17:16:04,
2020,15,Bahrain_Grand_Prix,norris,1,1,17:16:13,
2020,15,Bahrain_Grand_Prix,leclerc,1,1,17:16:14,
2020,15,Bahrain_Grand_Prix,giovinazzi,1,1,17:16:18,
2020,15,Bahrain_Grand_Prix,stroll,1,1,17:16:19,
2020,15,Bahrain_Grand_Prix,sainz,1,1,17:16:21,
2020,15,Bahrain_Grand_Prix,kevin_magnussen,1,1,17:16:23,
2020,15,Bahrain_Grand_Prix,vettel,1,1,17:16:26,
2020,15,Bahrain_Grand_Prix,latifi,1,1,17:16:29,
2020,15,Bahrain_Grand_Prix,raikkonen,1,1,17:16:31,
2020,15,Bahrain_Grand_Prix,russell,1,1,17:16:34,
2020,15,Bahrain_Grand_Prix,kvyat,1,1,17:16:36,
2020,15,Bahrain_Grand_Prix,kevin_magnussen,2,3,18:41:46,38.297
2020,15,Bahrain_Grand_Prix,bottas,2,4,18:43:43,24.936
2020,15,Bahrain_Grand_Prix,ricciardo,2,16,19:06:25,24.617
2020,15,Bahrain_Grand_Prix,ocon,2,17,19:07:58,24.076
2020,15,Bahrain_Grand_Prix,kvyat,2,17,19:08:09,37.317
2020,15,Bahrain_Grand_Prix,raikkonen,2,17,19:08:14,32.278
2020,15,Bahrain_Grand_Prix,norris,2,18,19:09:33,24.679
2020,15,Bahrain_Grand_Prix,hamilton,2,19,19:10:46,24.061
2020,15,Bahrain_Grand_Prix,albon,2,19,19:11:03,24.172
2020,15,Bahrain_Grand_Prix,max_verstappen,2,20,19:12:27,24.622
2020,15,Bahrain_Grand_Prix,perez,2,20,19:12:34,24.317
2020,15,Bahrain_Grand_Prix,russell,2,20,19:13:06,24.029
2020,15,Bahrain_Grand_Prix,giovinazzi,2,20,19:13:16,24.145
2020,15,Bahrain_Grand_Prix,vettel,2,20,19:13:19,24.774
2020,15,Bahrain_Grand_Prix,sainz,2,21,19:14:28,24.511
2020,15,Bahrain_Grand_Prix,latifi,2,21,19:14:54,24.248
2020,15,Bahrain_Grand_Prix,leclerc,2,23,19:17:53,25.199
2020,15,Bahrain_Grand_Prix,gasly,2,25,19:21:01,24.398
2020,15,Bahrain_Grand_Prix,bottas,3,25,19:21:09,24.734
2020,15,Bahrain_Grand_Prix,kevin_magnussen,3,27,19:24:46,25.924
2020,15,Bahrain_Grand_Prix,kvyat,3,33,19:34:29,24.135
2020,15,Bahrain_Grand_Prix,max_verstappen,3,34,19:34:47,26.95
2020,15,Bahrain_Grand_Prix,albon,3,34,19:35:11,23.848
2020,15,Bahrain_Grand_Prix,ocon,3,34,19:35:41,25.254
2020,15,Bahrain_Grand_Prix,hamilton,3,35,19:36:16,24.345
2020,15,Bahrain_Grand_Prix,perez,3,36,19:38:16,24.589
2020,15,Bahrain_Grand_Prix,ricciardo,3,36,19:38:50,24.817
2020,15,Bahrain_Grand_Prix,latifi,3,37,19:41:05,24.024
2020,15,Bahrain_Grand_Prix,norris,3,38,19:41:45,24.666
2020,15,Bahrain_Grand_Prix,bottas,4,38,19:42:04,24.675
2020,15,Bahrain_Grand_Prix,sainz,3,39,19:43:27,25.502
2020,15,Bahrain_Grand_Prix,russell,3,39,19:44:08,27.146
2020,15,Bahrain_Grand_Prix,vettel,3,39,19:44:14,25.444
2020,15,Bahrain_Grand_Prix,leclerc,3,40,19:45:27,24.855
2020,15,Bahrain_Grand_Prix,raikkonen,3,40,19:45:59,25.27
2020,15,Bahrain_Grand_Prix,max_verstappen,4,46,19:53:52,23.906
2020,15,Bahrain_Grand_Prix,giovinazzi,3,53,20:07:02,24.836
2020,15,Bahrain_Grand_Prix,kevin_magnussen,4,53,20:07:38,25.793
