Season,Round,Race,Driver,StopNumber,LapNumber,PitStopTime,PitStopDuration
2020,16,Sakhir_Grand_Prix,perez,1,1,20:14:22,24.214
2020,16,Sakhir_Grand_Prix,norris,1,20,20:35:27,24.885
2020,16,Sakhir_Grand_Prix,raikkonen,1,23,20:38:44,28.518
2020,16,Sakhir_Grand_Prix,giovinazzi,1,26,20:41:34,24.81
2020,16,Sakhir_Grand_Prix,kevin_magnussen,1,26,20:41:37,25.474
2020,16,Sakhir_Grand_Prix,kvyat,1,27,20:42:12,24.101
2020,16,Sakhir_Grand_Prix,latifi,1,27,20:42:32,24.297
2020,16,Sakhir_Grand_Prix,sainz,1,28,20:43:07,24.162
2020,16,Sakhir_Grand_Prix,gasly,1,28,20:43:13,25.077
2020,16,Sakhir_Grand_Prix,ricciardo,1,29,20:44:08,24.474
2020,16,Sakhir_Grand_Prix,vettel,1,31,20:46:25,26.216
2020,16,Sakhir_Grand_Prix,aitken,1,31,20:46:36,24.863
2020,16,Sakhir_Grand_Prix,pietro_fittipaldi,1,31,20:46:50,27.681
2020,16,Sakhir_Grand_Prix,ocon,1,41,20:55:57,24.414
2020,16,Sakhir_Grand_Prix,stroll,1,42,20:56:54,24.684
2020,16,Sakhir_Grand_Prix,russell,1,45,20:59:22,24.708
2020,16,Sakhir_Grand_Prix,perez,2,47,21:01:49,24.507
2020,16,Sakhir_Grand_Prix,albon,1,47,21:01:54,23.874
2020,16,Sakhir_Grand_Prix,bottas,1,49,21:03:18,24.552
2020,16,Sakhir_Grand_Prix,gasly,2,51,21:05:56,24.577
2020,16,Sakhir_Grand_Prix,kvyat,2,53,21:07:47,24.232
2020,16,Sakhir_Grand_Prix,norris,2,54,21:09:09,24.245
2020,16,Sakhir_Grand_Prix,pietro_fittipaldi,2,53,21:09:11,26.393
2020,16,Sakhir_Grand_Prix,vettel,2,54,21:09:21,28.08
2020,16,Sakhir_Grand_Prix,giovinazzi,2,54,21:09:30,24.551
2020,16,Sakhir_Grand_Prix,kevin_magnussen,2,54,21:09:40,25.466
2020,16,Sakhir_Grand_Prix,aitken,2,54,21:09:43,25.688
2020,16,Sakhir_Grand_Prix,raikkonen,2,54,21:09:49,24.401
2020,16,Sakhir_Grand_Prix,sainz,2,55,21:09:54,24.853
2020,16,Sakhir_Grand_Prix,ricciardo,2,55,21:09:56,24.695
2020,16,Sakhir_Grand_Prix,aitken,3,59,21:15:05,40.028
2020,16,Sakhir_Grand_Prix,russell,2,62,21:16:30,28.765
2020,16,Sakhir_Grand_Prix,bottas,2,62,21:16:37,52.874
2020,16,Sakhir_Grand_Prix,albon,2,62,21:17:23,23.645
2020,16,Sakhir_Grand_Prix,russell,3,63,21:18:22,24.724
2020,16,Sakhir_Grand_Prix,raikkonen,3,62,21:18:42,24.686
2020,16,Sakhir_Grand_Prix,vettel,3,63,21:19:11,24.809
2020,16,Sakhir_Grand_Prix,pietro_fittipaldi,3,63,21:20:20,25.78
2020,16,Sakhir_Grand_Prix,russell,4,78,21:35:26,24.235
