Season,Round,Race,Driver,StopNumber,LapNumber,PitStopTime,PitStopDuration
2020,17,Abu_Dhabi_Grand_Prix,max_verstappen,1,10,17:30:57,21.289
2020,17,Abu_Dhabi_Grand_Prix,bottas,1,10,17:31:02,21.587
2020,17,Abu_Dhabi_Grand_Prix,hamilton,1,10,17:31:09,22.406
2020,17,Abu_Dhabi_Grand_Prix,albon,1,10,17:31:15,21.508
2020,17,Abu_Dhabi_Grand_Prix,norris,1,10,17:31:22,21.84
2020,17,Abu_Dhabi_Grand_Prix,sainz,1,10,17:31:29,22.14
2020,17,Abu_Dhabi_Grand_Prix,stroll,1,10,17:31:30,22.036
2020,17,Abu_Dhabi_Grand_Prix,gasly,1,10,17:31:33,
2020,17,Abu_Dhabi_Grand_Prix,kvyat,1,10,17:31:37,25.724
2020,17,Abu_Dhabi_Grand_Prix,ocon,1,10,17:31:40,21.615
2020,17,Abu_Dhabi_Grand_Prix,raikkonen,1,10,17:31:49,22.012
2020,17,Abu_Dhabi_Grand_Prix,russell,1,10,17:31:56,22.085
2020,17,Abu_Dhabi_Grand_Prix,pietro_fittipaldi,1,10,17:32:05,26.329
2020,17,Abu_Dhabi_Grand_Prix,latifi,1,11,17:34:29,21.357
2020,17,Abu_Dhabi_Grand_Prix,leclerc,1,22,17:54:48,22.178
2020,17,Abu_Dhabi_Grand_Prix,giovinazzi,1,27,18:03:41,21.48
2020,17,Abu_Dhabi_Grand_Prix,kevin_magnussen,1,31,18:10:52,22.714
2020,17,Abu_Dhabi_Grand_Prix,pietro_fittipaldi,2,34,18:16:09,28.501
2020,17,Abu_Dhabi_Grand_Prix,vettel,1,35,18:17:15,22.04
2020,17,Abu_Dhabi_Grand_Prix,latifi,2,35,18:17:41,22.384
2020,17,Abu_Dhabi_Grand_Prix,ricciardo,1,39,18:23:37,22.123
2020,17,Abu_Dhabi_Grand_Prix,kevin_magnussen,2,47,18:39:11,23.098
2020,17,Abu_Dhabi_Grand_Prix,pietro_fittipaldi,3,48,18:41:11,23.217
