Round,Race,Rows,MissingDriver,MissingStopNumber,MissingLapNumber,MissingDuration
1,Austrian_Grand_Prix,38,0,0,0,0
2,Styrian_Grand_Prix,21,0,0,0,0
3,Hungarian_Grand_Prix,45,0,0,0,0
4,British_Grand_Prix,22,0,0,0,0
5,70th_Anniversary_Grand_Prix,41,0,0,0,0
6,Spanish_Grand_Prix,35,0,0,0,0
7,Belgian_Grand_Prix,20,0,0,0,0
8,Italian_Grand_Prix,37,0,0,0,17
9,Tuscan_Grand_Prix,66,0,0,0,24
10,Russian_Grand_Prix,24,0,0,0,0
11,Eifel_Grand_Prix,33,0,0,0,0
12,Portuguese_Grand_Prix,25,0,0,0,0
13,Emilia_Romagna_Grand_Prix,30,0,0,0,0
14,Turkish_Grand_Prix,38,0,0,0,1
15,Bahrain_Grand_Prix,57,0,0,0,19
16,Sakhir_Grand_Prix,39,0,0,0,0
17,Abu_Dhabi_Grand_Prix,23,0,0,0,1
