Timestamp,Category,Flag,Scope,Sector,DriverNumber,LapNumber,Message,Status
2020-07-05 12:50:01,Other,,,,,1,PIT EXIT CLOSED,
2020-07-05 12:56:03,Other,,,,,1,RISK OF RAIN FOR F1 RACE IS 0%,
2020-07-05 13:08:52,Drs,,,,,1,DRS DISABLED,DISABLED
2020-07-05 13:12:47,Flag,GREEN,Track,,,1,GREEN LIGHT - PIT EXIT OPEN,
2020-07-05 13:14:17,Other,,,,,2,"LAP 1, TURN 1 - TRACK LIMITS, NO INVESTIGATION NECESSARY",
2020-07-05 13:14:59,Drs,,,,,2,DRS ENABLED,ENABLED
2020-07-05 13:36:21,Flag,YELLOW,Sector,9.0,,21,YELLOW IN TRACK SECTOR 9,
2020-07-05 13:36:22,Flag,DOUBLE YELLOW,Sector,9.0,,21,DOUBLE YELLOW IN TRACK SECTOR 9,
2020-07-05 13:36:25,Flag,YELLOW,Sector,9.0,,21,YELLOW IN TRACK SECTOR 9,
2020-07-05 13:36:31,Flag,CLEAR,Sector,9.0,,21,CLEAR IN TRACK SECTOR 9,
2020-07-05 13:36:45,CarEvent,,,,8,21,CAR 8 (GRO) OFF TRACK AND CONTINUED AT TURN 5,
2020-07-05 13:36:57,Other,,,,,21,TRACK SURFACE SLIPPERY IN TRACK SECTOR 9,
2020-07-05 13:38:44,Flag,BLUE,Driver,,8,23,WAVED BLUE FLAG FOR CAR 8 (GRO) TIMED AT 15:38:43,
2020-07-05 13:38:46,Flag,CLEAR,Sector,9.0,,23,CLEAR IN TRACK SECTOR 9,
2020-07-05 13:39:03,Other,,,,,23,CAR 8 (GRO) TIME 1:32.297 DELETED - TRACK LIMITS AT TURN 9,
2020-07-05 13:39:31,Flag,BLUE,Driver,,8,24,WAVED BLUE FLAG FOR CAR 8 (GRO) TIMED AT 15:39:30,
2020-07-05 13:40:03,Flag,BLUE,Driver,,8,24,WAVED BLUE FLAG FOR CAR 8 (GRO) TIMED AT 15:40:03,
2020-07-05 13:41:01,Flag,BLUE,Driver,,6,25,WAVED BLUE FLAG FOR CAR 6 (LAT) TIMED AT 15:41:01,
2020-07-05 13:41:53,Flag,YELLOW,Sector,5.0,,26,YELLOW IN TRACK SECTOR 5,
2020-07-05 13:41:53,Flag,BLUE,Driver,,6,26,WAVED BLUE FLAG FOR CAR 6 (LAT) TIMED AT 15:41:53,
2020-07-05 13:41:54,Other,,,,,26,DRS DISABLED IN ZONE 1,
2020-07-05 13:42:32,SafetyCar,,,,,26,SAFETY CAR DEPLOYED,DEPLOYED
2020-07-05 13:43:53,Flag,DOUBLE YELLOW,Sector,5.0,,27,DOUBLE YELLOW IN TRACK SECTOR 5,
2020-07-05 13:47:41,Other,,,,,29,"LAPPED CARS MAY NOW OVERTAKE - 8, 6 ",
2020-07-05 13:48:45,Flag,CLEAR,Sector,5.0,,29,CLEAR IN TRACK SECTOR 5,
2020-07-05 13:49:44,SafetyCar,,,,,30,SAFETY CAR IN THIS LAP,IN THIS LAP
2020-07-05 13:50:48,Flag,CLEAR,Track,,,30,TRACK CLEAR,
2020-07-05 13:51:21,Flag,DOUBLE YELLOW,Sector,5.0,,31,DOUBLE YELLOW IN TRACK SECTOR 5,
2020-07-05 13:51:28,Flag,YELLOW,Sector,5.0,,31,YELLOW IN TRACK SECTOR 5,
2020-07-05 13:51:29,Flag,CLEAR,Sector,5.0,,31,CLEAR IN TRACK SECTOR 5,
2020-07-05 13:51:58,Other,,,,,31,PIT LANE INCIDENT INVOLVING CARS 11 (PER) AND 4 (NOR) NOTED,
2020-07-05 13:52:38,Other,,,,,32,TURN 3 INCIDENT INVOLVING CARS 5 (VET) AND 55 (SAI) NOTED,
2020-07-05 13:53:03,Drs,,,,,32,DRS ENABLED,ENABLED
2020-07-05 13:54:03,Other,,,,,33,TURN 3 INCIDENT INVOLVING CARS 5 (VET) AND 55 (SAI) - NO INVESTIGATION NECESSARY,
2020-07-05 13:54:53,Other,,,,,34,PIT LANE INCIDENT INVOLVING CARS 11 (PER) AND 4 (NOR) NOTED - NO INVESTIGATION NECESSARY,
2020-07-05 13:55:27,Other,,,,,34,CAR 8 (GRO) TIME 1:10.909 DELETED - TRACK LIMITS AT TURN 10,
2020-07-05 13:55:36,Other,,,,,35,CAR 8 (GRO) TIME 1:11.264 DELETED - TRACK LIMITS AT TURN 10,
2020-07-05 13:56:11,Other,,,,,35,BLACK AND WHITE FLAG CAR 8 (GRO) - TRACK LIMITS,
2020-07-05 14:07:57,Other,,,,,45,CAR 26 (KVY) TIME 1:09.375 DELETED - TRACK LIMITS AT TURN 10,
2020-07-05 14:08:38,Other,,,,,46,CAR 26 (KVY) TIME 1:09.829 DELETED - TRACK LIMITS AT TURN 10,
2020-07-05 14:09:02,Other,,,,,46,CAR 5 (VET) TIME 1:10.485 DELETED - TRACK LIMITS AT TURN 10,
2020-07-05 14:09:12,Other,,,,,47,CAR 5 (VET) TIME 1:10.875 DELETED - TRACK LIMITS AT TURN 10,
2020-07-05 14:13:25,CarEvent,,,,8,50,CAR 8 (GRO) OFF TRACK AND CONTINUED AT TURN 4,
2020-07-05 14:14:02,Flag,BLUE,Driver,,8,51,WAVED BLUE FLAG FOR CAR 8 (GRO) TIMED AT 16:14:02,
2020-07-05 14:14:10,Flag,BLUE,Driver,,8,51,WAVED BLUE FLAG FOR CAR 8 (GRO) TIMED AT 16:14:10,
2020-07-05 14:14:25,Flag,YELLOW,Sector,8.0,,51,YELLOW IN TRACK SECTOR 8,
2020-07-05 14:14:26,Other,,,,,51,DRS DISABLED IN ZONE 2,
2020-07-05 14:14:39,SafetyCar,,,,,51,SAFETY CAR DEPLOYED,DEPLOYED
2020-07-05 14:18:45,Flag,CLEAR,Sector,8.0,,53,CLEAR IN TRACK SECTOR 8,
2020-07-05 14:19:12,SafetyCar,,,,,54,SAFETY CAR IN THIS LAP,IN THIS LAP
2020-07-05 14:20:25,Flag,CLEAR,Track,,,54,TRACK CLEAR,
2020-07-05 14:20:35,Flag,YELLOW,Sector,15.0,,55,YELLOW IN TRACK SECTOR 15,
2020-07-05 14:20:42,Flag,DOUBLE YELLOW,Sector,15.0,,55,DOUBLE YELLOW IN TRACK SECTOR 15,
