Timestamp,Category,Flag,Scope,Sector,DriverNumber,LapNumber,Message,Status
2020-07-12 12:50:02,Other,,,,,1,PIT EXIT CLOSED,
2020-07-12 12:55:02,Other,,,,,1,RISK OF RAIN FOR F1 RACE IS 0%,
2020-07-12 13:07:07,Drs,,,,,1,DRS DISABLED,DISABLED
2020-07-12 12:40:02,Flag,GREEN,Track,,,1,GREEN LIGHT - PIT EXIT OPEN,
2020-07-12 12:50:02,Other,,,,,1,PIT EXIT CLOSED,
2020-07-12 12:55:02,Other,,,,,1,RISK OF RAIN FOR F1 RACE IS 0%,
2020-07-12 13:07:07,Drs,,,,,1,DRS DISABLED,DISABLED
2020-07-12 11:10:02,Other,,,,,1,AIR TEMPERATURE 2 HOURS BEFORE THE RACE = 19 DEGREES,
2020-07-12 12:40:02,Flag,GREEN,Track,,,1,GREEN LIGHT - PIT EXIT OPEN,
2020-07-12 12:50:02,Other,,,,,1,PIT EXIT CLOSED,
2020-07-12 12:55:02,Other,,,,,1,RISK OF RAIN FOR F1 RACE IS 0%,
2020-07-12 13:07:07,Drs,,,,,1,DRS DISABLED,DISABLED
2020-07-12 13:12:51,Flag,GREEN,Track,,,1,GREEN LIGHT - PIT EXIT OPEN,
2020-07-12 13:13:54,SafetyCar,,,,,1,SAFETY CAR DEPLOYED,DEPLOYED
2020-07-12 13:16:39,SafetyCar,,,,,3,SAFETY CAR IN THIS LAP,IN THIS LAP
2020-07-12 13:17:33,Other,,,,,3,"LAP 1, TURN 3 INCIDENT INVOLVING CARS 5 (VET) AND 16 (LEC) NOTED",
2020-07-12 13:17:50,Flag,CLEAR,Track,,,3,TRACK CLEAR,
2020-07-12 13:18:56,Flag,YELLOW,Sector,10.0,,4,YELLOW IN TRACK SECTOR 10,
2020-07-12 13:19:00,Flag,YELLOW,Sector,11.0,,4,YELLOW IN TRACK SECTOR 11,
2020-07-12 13:19:02,Flag,CLEAR,Sector,10.0,,4,CLEAR IN TRACK SECTOR 10,
2020-07-12 13:19:05,Flag,CLEAR,Sector,11.0,,4,CLEAR IN TRACK SECTOR 11,
2020-07-12 13:20:25,Drs,,,,,6,DRS ENABLED,ENABLED
2020-07-12 13:21:14,Other,,,,,6,INCIDENT INVOLVING CARS 5 (VET) AND 16 (LEC) - NO INVESTIGATION NECESSARY,
2020-07-12 13:23:02,Other,,,,,8,CAR 18 (STR) TIME 1:10.268 DELETED - TRACK LIMITS AT TURN 9,
2020-07-12 13:40:51,Other,,,,,23,CAR 7 (RAI) TIME 1:11.027 DELETED - TRACK LIMITS AT TURN 9,
2020-07-12 13:45:19,Flag,BLUE,Driver,,10,27,WAVED BLUE FLAG FOR CAR 10 (GAS) TIMED AT 15:45:19,
2020-07-12 13:51:40,Other,,,,,33,CAR 26 (KVY) TIME 1:09.850 DELETED - TRACK LIMITS AT TURN 9,
2020-07-12 13:53:12,Flag,BLUE,Driver,,63,34,WAVED BLUE FLAG FOR CAR 63 (RUS) TIMED AT 15:53:12,
2020-07-12 13:55:58,Flag,BLUE,Driver,,6,36,WAVED BLUE FLAG FOR CAR 6 (LAT) TIMED AT 15:55:58,
2020-07-12 13:56:01,Other,,,,,36,CAR 99 (GIO) TIME 1:09.874 DELETED - TRACK LIMITS AT TURN 10,
2020-07-12 13:56:04,Flag,BLUE,Driver,,20,37,WAVED BLUE FLAG FOR CAR 20 (MAG) TIMED AT 15:56:03,
2020-07-12 13:57:01,Other,,,,,37,CAR 99 (GIO) TIME 1:10.076 DELETED - TRACK LIMITS AT TURN 10,
2020-07-12 13:57:52,Flag,BLUE,Driver,,20,38,WAVED BLUE FLAG FOR CAR 20 (MAG) TIMED AT 15:57:52,
2020-07-12 13:58:09,Flag,BLUE,Driver,,26,38,WAVED BLUE FLAG FOR CAR 26 (KVY) TIMED AT 15:58:08,
2020-07-12 13:59:43,Flag,BLUE,Driver,,63,40,WAVED BLUE FLAG FOR CAR 63 (RUS) TIMED AT 15:59:42,
2020-07-12 14:00:17,Flag,BLUE,Driver,,10,40,WAVED BLUE FLAG FOR CAR 10 (GAS) TIMED AT 16:00:17,
2020-07-12 14:00:34,Flag,BLUE,Driver,,20,40,WAVED BLUE FLAG FOR CAR 20 (MAG) TIMED AT 16:00:33,
2020-07-12 14:01:41,Flag,BLUE,Driver,,26,41,WAVED BLUE FLAG FOR CAR 26 (KVY) TIMED AT 16:01:40,
