Timestamp,Category,Flag,Scope,Sector,DriverNumber,LapNumber,Message,Status
2020-07-19 12:47:17,Flag,YELLOW,Sector,15.0,,1,YELLOW IN TRACK SECTOR 15,
2020-07-19 12:47:30,Flag,DOUBLE YELLOW,Sector,15.0,,1,DOUBLE YELLOW IN TRACK SECTOR 15,
2020-07-19 12:47:35,Flag,CLEAR,Sector,15.0,,1,CLEAR IN TRACK SECTOR 15,
2020-07-19 12:50:02,Other,,,,,1,PIT EXIT CLOSED,
2020-07-19 12:55:05,Other,,,,,1,RISK OF RAIN FOR F1 RACE IS 70%,
2020-07-19 13:07:14,Drs,,,,,1,DRS DISABLED,DISABLED
2020-07-19 13:12:58,Flag,GREEN,Track,,,1,GREEN LIGHT - PIT EXIT OPEN,
2020-07-19 13:18:34,Flag,YELLOW,Sector,3.0,,4,YELLOW IN TRACK SECTOR 3,
2020-07-19 13:18:36,Other,,,,,4,INCIDENT INVOLVING CAR 7 (RAI) UNDER INVESTIGATION - OUT OF POSITION AT THE START,
2020-07-19 13:18:48,Flag,CLEAR,Sector,3.0,,4,CLEAR IN TRACK SECTOR 3,
2020-07-19 13:19:00,CarEvent,,,,6,4,CAR 6 (LAT) SPUN AND CONTINUED AT TURN 1,
2020-07-19 13:19:44,Flag,YELLOW,Sector,10.0,,5,YELLOW IN TRACK SECTOR 10,
2020-07-19 13:19:47,Flag,CLEAR,Sector,10.0,,5,CLEAR IN TRACK SECTOR 10,
2020-07-19 13:20:53,Other,,,,,5,PIT LANE INCIDENT INVOLVING CARS 6 (LAT) AND 55 (SAI) NOTED,
2020-07-19 13:21:49,Drs,,,,,6,DRS ENABLED,ENABLED
2020-07-19 13:22:03,Other,,,,,6,NORMAL GRIP CONDITIONS,
2020-07-19 13:22:58,Other,,,,,7,INCIDENT INVOLVING CARS 6 (LAT) AND 55 (SAI) UNDER INVESTIGATION - UNSAFE RELEASE,
2020-07-19 13:23:25,Other,,,,,7,5 SECOND TIME PENALTY FOR CAR 7 (RAI) - OUT OF POSITION ON THE GRID,
2020-07-19 13:27:25,Other,,,,,10,5 SECOND TIME PENALTY FOR CAR 6 (LAT) - UNSAFE RELEASE,
2020-07-19 13:29:38,Flag,BLUE,Driver,,6,12,WAVED BLUE FLAG FOR CAR 6 (LAT) TIMED AT 15:29:38,
2020-07-19 13:30:00,Other,,,,,12,CAR 5 (VET) TIME 1:25.775 DELETED - TRACK LIMITS AT TURN 12,
2020-07-19 13:33:37,Flag,BLUE,Driver,,6,15,WAVED BLUE FLAG FOR CAR 6 (LAT) TIMED AT 15:33:37,
2020-07-19 13:39:32,Flag,BLUE,Driver,,99,19,WAVED BLUE FLAG FOR CAR 99 (GIO) TIMED AT 15:39:31,
2020-07-19 13:39:47,Flag,BLUE,Driver,,6,19,WAVED BLUE FLAG FOR CAR 6 (LAT) TIMED AT 15:39:46,
2020-07-19 13:40:02,Flag,BLUE,Driver,,6,19,WAVED BLUE FLAG FOR CAR 6 (LAT) TIMED AT 15:40:01,
2020-07-19 13:40:58,Flag,BLUE,Driver,,63,20,WAVED BLUE FLAG FOR CAR 63 (RUS) TIMED AT 15:40:57,
2020-07-19 13:42:57,Flag,BLUE,Driver,,26,22,WAVED BLUE FLAG FOR CAR 26 (KVY) TIMED AT 15:42:57,
2020-07-19 13:43:06,Flag,BLUE,Driver,,16,22,WAVED BLUE FLAG FOR CAR 16 (LEC) TIMED AT 15:43:05,
2020-07-19 13:45:53,Flag,BLUE,Driver,,6,24,WAVED BLUE FLAG FOR CAR 6 (LAT) TIMED AT 15:45:53,
2020-07-19 13:47:53,Flag,BLUE,Driver,,4,25,WAVED BLUE FLAG FOR CAR 4 (NOR) TIMED AT 15:47:53,
2020-07-19 13:50:13,Flag,BLUE,Driver,,31,27,WAVED BLUE FLAG FOR CAR 31 (OCO) TIMED AT 15:50:13,
2020-07-19 13:52:47,Flag,BLUE,Driver,,7,29,WAVED BLUE FLAG FOR CAR 7 (RAI) TIMED AT 15:52:47,
2020-07-19 13:54:24,Flag,BLUE,Driver,,6,30,WAVED BLUE FLAG FOR CAR 6 (LAT) TIMED AT 15:54:24,
2020-07-19 13:55:17,Flag,BLUE,Driver,,6,31,WAVED BLUE FLAG FOR CAR 6 (LAT) TIMED AT 15:55:17,
2020-07-19 13:55:20,Flag,BLUE,Driver,,6,31,WAVED BLUE FLAG FOR CAR 6 (LAT) TIMED AT 15:55:20,
2020-07-19 13:55:54,Flag,BLUE,Driver,,6,31,WAVED BLUE FLAG FOR CAR 6 (LAT) TIMED AT 15:55:54,
2020-07-19 13:56:26,Flag,BLUE,Driver,,6,31,WAVED BLUE FLAG FOR CAR 6 (LAT) TIMED AT 15:56:26,
2020-07-19 13:59:10,Flag,BLUE,Driver,,6,33,WAVED BLUE FLAG FOR CAR 6 (LAT) TIMED AT 15:59:10,
2020-07-19 14:00:22,Flag,BLUE,Driver,,6,34,WAVED BLUE FLAG FOR CAR 6 (LAT) TIMED AT 16:00:21,
2020-07-19 14:01:09,Flag,BLUE,Driver,,8,35,WAVED BLUE FLAG FOR CAR 8 (GRO) TIMED AT 16:01:09,
2020-07-19 14:01:40,Flag,BLUE,Driver,,6,35,WAVED BLUE FLAG FOR CAR 6 (LAT) TIMED AT 16:01:39,
2020-07-19 14:01:53,Flag,BLUE,Driver,,6,35,WAVED BLUE FLAG FOR CAR 6 (LAT) TIMED AT 16:01:53,
2020-07-19 14:02:00,Flag,BLUE,Driver,,6,36,WAVED BLUE FLAG FOR CAR 6 (LAT) TIMED AT 16:01:59,
2020-07-19 14:02:10,Flag,BLUE,Driver,,6,36,WAVED BLUE FLAG FOR CAR 6 (LAT) TIMED AT 16:02:09,
2020-07-19 14:05:21,Flag,BLUE,Driver,,99,38,WAVED BLUE FLAG FOR CAR 99 (GIO) TIMED AT 16:05:21,
2020-07-19 14:05:51,Flag,BLUE,Driver,,6,38,WAVED BLUE FLAG FOR CAR 6 (LAT) TIMED AT 16:05:51,
2020-07-19 14:05:57,Flag,BLUE,Driver,,63,38,WAVED BLUE FLAG FOR CAR 63 (RUS) TIMED AT 16:05:57,
2020-07-19 14:06:05,Flag,BLUE,Driver,,6,38,WAVED BLUE FLAG FOR CAR 6 (LAT) TIMED AT 16:06:04,
2020-07-19 14:07:47,Flag,BLUE,Driver,,7,40,WAVED BLUE FLAG FOR CAR 7 (RAI) TIMED AT 16:07:46,
2020-07-19 14:08:20,Flag,BLUE,Driver,,63,40,WAVED BLUE FLAG FOR CAR 63 (RUS) TIMED AT 16:08:20,
2020-07-19 14:10:18,Flag,BLUE,Driver,,6,41,WAVED BLUE FLAG FOR CAR 6 (LAT) TIMED AT 16:10:17,
2020-07-19 14:11:42,Flag,YELLOW,Sector,9.0,,43,YELLOW IN TRACK SECTOR 9,
2020-07-19 14:11:57,Flag,BLUE,Driver,,6,43,WAVED BLUE FLAG FOR CAR 6 (LAT) TIMED AT 16:11:57,
2020-07-19 14:11:58,Flag,CLEAR,Sector,9.0,,43,CLEAR IN TRACK SECTOR 9,
2020-07-19 14:12:03,Flag,BLUE,Driver,,6,43,WAVED BLUE FLAG FOR CAR 6 (LAT) TIMED AT 16:12:03,
2020-07-19 14:12:05,Other,,,,,43,CAR 8 (GRO) TIME 1:22.391 DELETED - TRACK LIMITS AT TURN 4,
2020-07-19 14:12:13,CarEvent,,,,6,43,CAR 6 (LAT) SPUN AND CONTINUED AT TURN 5,
2020-07-19 14:12:21,Flag,BLUE,Driver,,16,43,WAVED BLUE FLAG FOR CAR 16 (LEC) TIMED AT 16:12:21,
2020-07-19 14:12:23,Flag,BLUE,Driver,,6,43,WAVED BLUE FLAG FOR CAR 6 (LAT) TIMED AT 16:12:23,
2020-07-19 14:13:52,Flag,BLUE,Driver,,6,44,WAVED BLUE FLAG FOR CAR 6 (LAT) TIMED AT 16:13:51,
2020-07-19 14:14:06,Flag,BLUE,Driver,,6,44,WAVED BLUE FLAG FOR CAR 6 (LAT) TIMED AT 16:14:06,
2020-07-19 14:14:16,Flag,BLUE,Driver,,6,44,WAVED BLUE FLAG FOR CAR 6 (LAT) TIMED AT 16:14:15,
2020-07-19 14:14:27,Flag,BLUE,Driver,,6,45,WAVED BLUE FLAG FOR CAR 6 (LAT) TIMED AT 16:14:27,
2020-07-19 14:14:37,Flag,BLUE,Driver,,6,45,WAVED BLUE FLAG FOR CAR 6 (LAT) TIMED AT 16:14:37,
2020-07-19 14:14:46,Flag,BLUE,Driver,,20,45,WAVED BLUE FLAG FOR CAR 20 (MAG) TIMED AT 16:14:45,
2020-07-19 14:16:52,Flag,BLUE,Driver,,4,46,WAVED BLUE FLAG FOR CAR 4 (NOR) TIMED AT 16:16:51,
2020-07-19 14:16:54,Flag,BLUE,Driver,,4,46,WAVED BLUE FLAG FOR CAR 4 (NOR) TIMED AT 16:16:53,
2020-07-19 14:19:04,Other,,,,,48,CAR 8 (GRO) TIME 1:22.114 DELETED - TRACK LIMITS AT TURN 12,
2020-07-19 14:19:07,Flag,BLUE,Driver,,8,48,WAVED BLUE FLAG FOR CAR 8 (GRO) TIMED AT 16:19:07,
2020-07-19 14:19:25,Flag,BLUE,Driver,,8,48,WAVED BLUE FLAG FOR CAR 8 (GRO) TIMED AT 16:19:24,
2020-07-19 14:20:23,Flag,BLUE,Driver,,31,49,WAVED BLUE FLAG FOR CAR 31 (OCO) TIMED AT 16:20:23,
2020-07-19 14:20:55,Flag,BLUE,Driver,,31,49,WAVED BLUE FLAG FOR CAR 31 (OCO) TIMED AT 16:20:54,
2020-07-19 14:22:42,Flag,BLUE,Driver,,7,51,WAVED BLUE FLAG FOR CAR 7 (RAI) TIMED AT 16:22:41,
2020-07-19 14:23:25,Flag,BLUE,Driver,,63,51,WAVED BLUE FLAG FOR CAR 63 (RUS) TIMED AT 16:23:24,
2020-07-19 14:24:00,Flag,BLUE,Driver,,6,52,WAVED BLUE FLAG FOR CAR 6 (LAT) TIMED AT 16:24:00,
2020-07-19 14:25:23,Flag,BLUE,Driver,,6,53,WAVED BLUE FLAG FOR CAR 6 (LAT) TIMED AT 16:25:22,
2020-07-19 14:25:47,Flag,BLUE,Driver,,6,53,WAVED BLUE FLAG FOR CAR 6 (LAT) TIMED AT 16:25:46,
2020-07-19 14:25:48,Flag,BLUE,Driver,,26,53,WAVED BLUE FLAG FOR CAR 26 (KVY) TIMED AT 16:25:47,
2020-07-19 14:26:35,Flag,BLUE,Driver,,11,54,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 16:26:34,
2020-07-19 14:27:14,Flag,BLUE,Driver,,8,54,WAVED BLUE FLAG FOR CAR 8 (GRO) TIMED AT 16:27:13,
2020-07-19 14:30:06,Flag,BLUE,Driver,,23,56,WAVED BLUE FLAG FOR CAR 23 (ALB) TIMED AT 16:30:05,
2020-07-19 14:30:57,Flag,BLUE,Driver,,55,57,WAVED BLUE FLAG FOR CAR 55 (SAI) TIMED AT 16:30:57,
2020-07-19 14:31:02,Flag,BLUE,Driver,,63,57,WAVED BLUE FLAG FOR CAR 63 (RUS) TIMED AT 16:31:02,
2020-07-19 14:31:04,Flag,BLUE,Driver,,6,57,WAVED BLUE FLAG FOR CAR 6 (LAT) TIMED AT 16:31:04,
2020-07-19 14:31:45,Flag,BLUE,Driver,,5,58,WAVED BLUE FLAG FOR CAR 5 (VET) TIMED AT 16:31:44,
2020-07-19 14:32:10,Flag,BLUE,Driver,,99,58,WAVED BLUE FLAG FOR CAR 99 (GIO) TIMED AT 16:32:09,
2020-07-19 14:32:18,Flag,BLUE,Driver,,16,58,WAVED BLUE FLAG FOR CAR 16 (LEC) TIMED AT 16:32:17,
2020-07-19 14:32:34,Flag,BLUE,Driver,,4,58,WAVED BLUE FLAG FOR CAR 4 (NOR) TIMED AT 16:32:33,
2020-07-19 14:33:20,Flag,BLUE,Driver,,31,59,WAVED BLUE FLAG FOR CAR 31 (OCO) TIMED AT 16:33:19,
2020-07-19 14:33:48,Flag,BLUE,Driver,,26,59,WAVED BLUE FLAG FOR CAR 26 (KVY) TIMED AT 16:33:47,
2020-07-19 14:33:57,Flag,BLUE,Driver,,6,59,WAVED BLUE FLAG FOR CAR 6 (LAT) TIMED AT 16:33:56,
2020-07-19 14:35:32,Flag,BLUE,Driver,,63,60,WAVED BLUE FLAG FOR CAR 63 (RUS) TIMED AT 16:35:32,
2020-07-19 14:36:15,Flag,BLUE,Driver,,6,61,WAVED BLUE FLAG FOR CAR 6 (LAT) TIMED AT 16:36:15,
2020-07-19 14:36:32,Flag,BLUE,Driver,,16,61,WAVED BLUE FLAG FOR CAR 16 (LEC) TIMED AT 16:36:31,
