Timestamp,Category,Flag,Scope,Sector,DriverNumber,LapNumber,Message,Status
2020-08-02 12:55:01,Other,,,,,1,RISK OF RAIN FOR F1 RACE IS 40%,
2020-08-02 13:07:05,Drs,,,,,1,DRS DISABLED,DISABLED
2020-08-02 13:13:23,Flag,GREEN,Track,,,1,GREEN LIGHT - PIT EXIT OPEN,
2020-08-02 13:15:07,Flag,DOUBLE YELLOW,Sector,1.0,,2,DOUBLE YELLOW IN TRACK SECTOR 1,
2020-08-02 13:15:08,Flag,YELLOW,Sector,1.0,,2,YELLOW IN TRACK SECTOR 1,
2020-08-02 13:15:09,Flag,DOUBLE YELLOW,Sector,16.0,,2,DOUBLE YELLOW IN TRACK SECTOR 16,
2020-08-02 13:15:10,Flag,YELLOW,Sector,16.0,,2,YELLOW IN TRACK SECTOR 16,
2020-08-02 13:15:11,Flag,CLEAR,Sector,16.0,,2,CLEAR IN TRACK SECTOR 16,
2020-08-02 13:15:21,Flag,DOUBLE YELLOW,Sector,1.0,,2,DOUBLE YELLOW IN TRACK SECTOR 1,
2020-08-02 13:15:21,SafetyCar,,,,,2,SAFETY CAR DEPLOYED,DEPLOYED
2020-08-02 13:21:18,Flag,CLEAR,Sector,1.0,,4,CLEAR IN TRACK SECTOR 1,
2020-08-02 13:21:19,Flag,YELLOW,Sector,16.0,,4,YELLOW IN TRACK SECTOR 16,
2020-08-02 13:22:54,Flag,CLEAR,Sector,16.0,,5,CLEAR IN TRACK SECTOR 16,
2020-08-02 13:23:03,SafetyCar,,,,,5,SAFETY CAR IN THIS LAP,IN THIS LAP
2020-08-02 13:24:16,Flag,CLEAR,Track,,,5,TRACK CLEAR,
2020-08-02 13:26:28,Other,,,,,7,TURN 18 INCIDENT INVOLVING CARS 23 (ALB) AND 20 (MAG) UNDER INVESTIGATION - CAUSING A COLLISION,
2020-08-02 13:27:18,Other,,,,,7,CAR 23 (ALB) TIME 1:35.837 DELETED - TRACK LIMITS AT TURN 9,
2020-08-02 13:27:27,Drs,,,,,7,DRS ENABLED,ENABLED
2020-08-02 13:31:02,Other,,,,,10,CAR 8 (GRO) TIME 1:33.467 DELETED - TRACK LIMITS AT TURN 9,
2020-08-02 13:34:58,Flag,YELLOW,Sector,11.0,,12,YELLOW IN TRACK SECTOR 11,
2020-08-02 13:35:06,SafetyCar,,,,,13,SAFETY CAR DEPLOYED,DEPLOYED
2020-08-02 13:35:27,Other,,,,,13,MEDICAL CAR DEPLOYED,
2020-08-02 13:49:10,SafetyCar,,,,,18,SAFETY CAR IN THIS LAP,IN THIS LAP
2020-08-02 13:49:16,Flag,CLEAR,Sector,11.0,,18,CLEAR IN TRACK SECTOR 11,
2020-08-02 13:49:55,Flag,CLEAR,Track,,,18,TRACK CLEAR,
2020-08-02 13:50:34,Other,,,,,19,5 SECOND TIME PENALTY FOR CAR 23 (ALB) - CAUSING A COLLISION,
2020-08-02 13:51:51,Other,,,,,20,CAR 55 (SAI) TIME 1:34.463 DELETED - TRACK LIMITS AT TURN 9,
2020-08-02 13:51:53,Other,,,,,20,CAR 4 (NOR) TIME 1:34.515 DELETED - TRACK LIMITS AT TURN 9,
