Timestamp,Category,Flag,Scope,Sector,DriverNumber,LapNumber,Message,Status
2020-08-09 12:55:01,Other,,,,,1,RISK OF RAIN FOR F1 RACE IS 0%,
2020-08-09 13:07:27,Drs,,,,,1,DRS DISABLED,DISABLED
2020-08-09 13:13:17,Flag,GREEN,Track,,,1,GREEN LIGHT - PIT EXIT OPEN,
2020-08-09 13:13:31,Flag,DOUBLE YELLOW,Sector,2.0,,1,DOUBLE YELLOW IN TRACK SECTOR 2,
2020-08-09 13:13:39,Flag,CLEAR,Sector,2.0,,1,CLEAR IN TRACK SECTOR 2,
2020-08-09 13:16:14,Drs,,,,,2,DRS ENABLED,ENABLED
2020-08-09 13:31:09,Other,,,,,12,CAR 23 (ALB) TIME 1:34.107 DELETED - TRACK LIMITS AT TURN 15,
2020-08-09 13:39:54,Other,,,,,18,CAR 6 (LAT) TIME 1:33.686 DELETED - TRACK LIMITS AT TURN 15,
2020-08-09 13:42:32,Other,,,,,20,TURN 15 INCIDENT INVOLVING CARS 20 (MAG) AND 8 (GRO) NOTED,
2020-08-09 13:42:58,Other,,,,,20,CORRECTION: TURN 15 INCIDENT INVOLVING CARS 20 (MAG) AND 6 (LAT) NOTED,
2020-08-09 13:45:10,Other,,,,,21,CAR 20 (MAG) TIME 1:33.976 DELETED - TRACK LIMITS AT TURN 15,
2020-08-09 13:45:13,Other,,,,,21,TURN 15 INCIDENT INVOLVING CARS 20 (MAG) AND 6 (LAT) UNDER INVESTIGATION,
2020-08-09 13:48:08,Flag,BLUE,Driver,,20,23,WAVED BLUE FLAG FOR CAR 20 (MAG) TIMED AT 14:48:07,
2020-08-09 13:54:04,Other,,,,,27,5 SECOND TIME PENALTY FOR CAR 20 (MAG) - INCIDENT AT TURN 15,
2020-08-09 13:59:32,Flag,BLUE,Driver,,20,30,WAVED BLUE FLAG FOR CAR 20 (MAG) TIMED AT 14:59:32,
2020-08-09 13:59:52,Flag,BLUE,Driver,,20,31,WAVED BLUE FLAG FOR CAR 20 (MAG) TIMED AT 14:59:51,
2020-08-09 14:00:30,Other,,,,,31,CAR 8 (GRO) TIME 1:34.258 DELETED - TRACK LIMITS AT TURN 15,
2020-08-09 14:00:41,Flag,YELLOW,Sector,3.0,,31,YELLOW IN TRACK SECTOR 3,
2020-08-09 14:00:42,Flag,DOUBLE YELLOW,Sector,4.0,,31,DOUBLE YELLOW IN TRACK SECTOR 4,
2020-08-09 14:00:44,Flag,DOUBLE YELLOW,Sector,3.0,,31,DOUBLE YELLOW IN TRACK SECTOR 3,
2020-08-09 14:00:46,Flag,CLEAR,Sector,4.0,,31,CLEAR IN TRACK SECTOR 4,
2020-08-09 14:00:49,Flag,CLEAR,Sector,3.0,,31,CLEAR IN TRACK SECTOR 3,
2020-08-09 14:01:04,CarEvent,,,,3,31,CAR 3 (RIC) SPUN AND CONTINUED AT TURN 3,
2020-08-09 14:01:30,Other,,,,,32,CAR 26 (KVY) TIME 1:32.858 DELETED - TRACK LIMITS AT TURN 15,
2020-08-09 14:01:59,Flag,BLUE,Driver,,20,32,WAVED BLUE FLAG FOR CAR 20 (MAG) TIMED AT 15:01:58,
2020-08-09 14:05:13,Other,,,,,34,CAR 23 (ALB) TIME 1:31.852 DELETED - TRACK LIMITS AT TURN 15,
2020-08-09 14:07:25,Flag,BLUE,Driver,,20,36,WAVED BLUE FLAG FOR CAR 20 (MAG) TIMED AT 15:07:25,
2020-08-09 14:07:51,Flag,BLUE,Driver,,20,36,WAVED BLUE FLAG FOR CAR 20 (MAG) TIMED AT 15:07:51,
2020-08-09 14:08:02,Flag,BLUE,Driver,,20,36,WAVED BLUE FLAG FOR CAR 20 (MAG) TIMED AT 15:08:02,
2020-08-09 14:08:18,Flag,BLUE,Driver,,99,36,WAVED BLUE FLAG FOR CAR 99 (GIO) TIMED AT 15:08:17,
2020-08-09 14:10:07,Other,,,,,37,CAR 5 (VET) TIME 1:31.494 DELETED - TRACK LIMITS AT TURN 15,
2020-08-09 14:11:46,Other,,,,,38,CAR 5 (VET) TIME 1:31.864 DELETED - TRACK LIMITS AT TURN 15,
2020-08-09 14:14:36,Flag,BLUE,Driver,,8,40,WAVED BLUE FLAG FOR CAR 8 (GRO) TIMED AT 15:14:35,
2020-08-09 14:15:14,Flag,BLUE,Driver,,63,41,WAVED BLUE FLAG FOR CAR 63 (RUS) TIMED AT 15:15:14,
2020-08-09 14:17:06,Flag,BLUE,Driver,,99,42,WAVED BLUE FLAG FOR CAR 99 (GIO) TIMED AT 15:17:05,
2020-08-09 14:17:43,Flag,BLUE,Driver,,8,42,WAVED BLUE FLAG FOR CAR 8 (GRO) TIMED AT 15:17:43,
2020-08-09 14:18:48,Flag,BLUE,Driver,,8,43,WAVED BLUE FLAG FOR CAR 8 (GRO) TIMED AT 15:18:48,
2020-08-09 14:18:52,Flag,BLUE,Driver,,63,43,WAVED BLUE FLAG FOR CAR 63 (RUS) TIMED AT 15:18:51,
2020-08-09 14:19:11,Flag,BLUE,Driver,,99,43,WAVED BLUE FLAG FOR CAR 99 (GIO) TIMED AT 15:19:10,
2020-08-09 14:19:31,Flag,BLUE,Driver,,8,43,WAVED BLUE FLAG FOR CAR 8 (GRO) TIMED AT 15:19:30,
2020-08-09 14:20:25,Flag,BLUE,Driver,,20,44,WAVED BLUE FLAG FOR CAR 20 (MAG) TIMED AT 15:20:24,
2020-08-09 14:20:52,Flag,BLUE,Driver,,20,44,WAVED BLUE FLAG FOR CAR 20 (MAG) TIMED AT 15:20:51,
2020-08-09 14:21:25,Flag,BLUE,Driver,,99,45,WAVED BLUE FLAG FOR CAR 99 (GIO) TIMED AT 15:21:25,
2020-08-09 14:21:50,Flag,BLUE,Driver,,6,45,WAVED BLUE FLAG FOR CAR 6 (LAT) TIMED AT 15:21:49,
2020-08-09 14:22:46,Flag,BLUE,Driver,,7,46,WAVED BLUE FLAG FOR CAR 7 (RAI) TIMED AT 15:22:45,
2020-08-09 14:24:14,Flag,BLUE,Driver,,6,47,WAVED BLUE FLAG FOR CAR 6 (LAT) TIMED AT 15:24:13,
2020-08-09 14:25:09,Flag,BLUE,Driver,,6,47,WAVED BLUE FLAG FOR CAR 6 (LAT) TIMED AT 15:25:09,
2020-08-09 14:25:42,Flag,BLUE,Driver,,7,48,WAVED BLUE FLAG FOR CAR 7 (RAI) TIMED AT 15:25:41,
2020-08-09 14:25:54,Flag,BLUE,Driver,,7,48,WAVED BLUE FLAG FOR CAR 7 (RAI) TIMED AT 15:25:53,
2020-08-09 14:29:21,Flag,BLUE,Driver,,3,50,WAVED BLUE FLAG FOR CAR 3 (RIC) TIMED AT 15:29:21,
2020-08-09 14:30:20,Flag,BLUE,Driver,,8,51,WAVED BLUE FLAG FOR CAR 8 (GRO) TIMED AT 15:30:19,
2020-08-09 14:32:57,Flag,CHEQUERED,Track,,,52,CHEQUERED FLAG,
2020-08-09 14:33:38,Other,,,,,52,CAR 6 (LAT) TIME 1:32.110 DELETED - TRACK LIMITS AT TURN 15,
