Timestamp,Category,Flag,Scope,Sector,DriverNumber,LapNumber,Message,Status
2020-08-16 12:55:53,Other,,,,,1,RISK OF RAIN FOR F1 RACE IS 20%,
2020-08-16 13:07:05,Drs,,,,,1,DRS DISABLED,DISABLED
2020-08-16 13:13:19,Flag,GREEN,Track,,,1,GREEN LIGHT - PIT EXIT OPEN,
2020-08-16 13:16:24,Drs,,,,,3,DRS ENABLED,ENABLED
2020-08-16 14:01:57,Flag,BLUE,Driver,,20,35,WAVED BLUE FLAG FOR CAR 20 (MAG) TIMED AT 16:01:56,
2020-08-16 14:02:50,Flag,BLUE,Driver,,31,36,WAVED BLUE FLAG FOR CAR 31 (OCO) TIMED AT 16:02:49,
2020-08-16 14:03:08,Flag,BLUE,Driver,,99,36,WAVED BLUE FLAG FOR CAR 99 (GIO) TIMED AT 16:03:07,
2020-08-16 14:03:30,Flag,BLUE,Driver,,31,36,WAVED BLUE FLAG FOR CAR 31 (OCO) TIMED AT 16:03:29,
2020-08-16 14:04:22,Flag,BLUE,Driver,,31,37,WAVED BLUE FLAG FOR CAR 31 (OCO) TIMED AT 16:04:21,
2020-08-16 14:04:56,Flag,YELLOW,Sector,16.0,,37,YELLOW IN TRACK SECTOR 16,
2020-08-16 14:04:57,Flag,YELLOW,Sector,17.0,,37,YELLOW IN TRACK SECTOR 17,
2020-08-16 14:04:57,Flag,DOUBLE YELLOW,Sector,17.0,,37,DOUBLE YELLOW IN TRACK SECTOR 17,
2020-08-16 14:04:58,Other,,,,,37,DRS DISABLED IN ZONE 2,
2020-08-16 14:05:03,Flag,DOUBLE YELLOW,Sector,16.0,,37,DOUBLE YELLOW IN TRACK SECTOR 16,
2020-08-16 14:05:04,Flag,BLUE,Driver,,7,37,WAVED BLUE FLAG FOR CAR 7 (RAI) TIMED AT 16:05:03,
2020-08-16 14:05:10,Flag,BLUE,Driver,,20,37,WAVED BLUE FLAG FOR CAR 20 (MAG) TIMED AT 16:05:09,
2020-08-16 14:05:40,Flag,BLUE,Driver,,3,38,WAVED BLUE FLAG FOR CAR 3 (RIC) TIMED AT 16:05:39,
2020-08-16 14:05:41,Flag,CLEAR,Sector,17.0,,38,CLEAR IN TRACK SECTOR 17,
2020-08-16 14:05:41,Other,,,,,38,DRS ENABLED IN ZONE 2,
2020-08-16 14:05:41,Flag,CLEAR,Sector,16.0,,38,CLEAR IN TRACK SECTOR 16,
2020-08-16 14:05:43,Flag,BLUE,Driver,,20,38,WAVED BLUE FLAG FOR CAR 20 (MAG) TIMED AT 16:05:43,
2020-08-16 14:05:46,CarEvent,,,,16,38,CAR 16 (LEC) SPUN AND CONTINUED AT TURN 15,
2020-08-16 14:06:17,Flag,BLUE,Driver,,20,38,WAVED BLUE FLAG FOR CAR 20 (MAG) TIMED AT 16:06:17,
2020-08-16 14:07:33,Flag,BLUE,Driver,,99,39,WAVED BLUE FLAG FOR CAR 99 (GIO) TIMED AT 16:07:32,
2020-08-16 14:08:26,Flag,BLUE,Driver,,99,40,WAVED BLUE FLAG FOR CAR 99 (GIO) TIMED AT 16:08:25,
2020-08-16 14:09:17,Flag,BLUE,Driver,,7,40,WAVED BLUE FLAG FOR CAR 7 (RAI) TIMED AT 16:09:17,
2020-08-16 14:09:49,Flag,BLUE,Driver,,7,41,WAVED BLUE FLAG FOR CAR 7 (RAI) TIMED AT 16:09:49,
2020-08-16 14:09:50,Flag,BLUE,Driver,,3,41,WAVED BLUE FLAG FOR CAR 3 (RIC) TIMED AT 16:09:50,
2020-08-16 14:10:24,Flag,BLUE,Driver,,3,41,WAVED BLUE FLAG FOR CAR 3 (RIC) TIMED AT 16:10:23,
2020-08-16 14:12:45,Flag,BLUE,Driver,,5,43,WAVED BLUE FLAG FOR CAR 5 (VET) TIMED AT 16:12:44,
2020-08-16 14:14:18,Flag,BLUE,Driver,,26,44,WAVED BLUE FLAG FOR CAR 26 (KVY) TIMED AT 16:14:18,
2020-08-16 14:14:28,Flag,BLUE,Driver,,8,44,WAVED BLUE FLAG FOR CAR 8 (GRO) TIMED AT 16:14:28,
2020-08-16 14:15:37,Flag,BLUE,Driver,,63,45,WAVED BLUE FLAG FOR CAR 63 (RUS) TIMED AT 16:15:37,
2020-08-16 14:16:09,Flag,BLUE,Driver,,31,45,WAVED BLUE FLAG FOR CAR 31 (OCO) TIMED AT 16:16:08,
2020-08-16 14:16:49,Flag,BLUE,Driver,,23,46,WAVED BLUE FLAG FOR CAR 23 (ALB) TIMED AT 16:16:48,
2020-08-16 14:16:56,Flag,BLUE,Driver,,99,46,WAVED BLUE FLAG FOR CAR 99 (GIO) TIMED AT 16:16:55,
2020-08-16 14:18:35,Flag,BLUE,Driver,,20,47,WAVED BLUE FLAG FOR CAR 20 (MAG) TIMED AT 16:18:35,
2020-08-16 14:19:35,Flag,BLUE,Driver,,11,48,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 16:19:34,
2020-08-16 14:22:19,Flag,BLUE,Driver,,20,50,WAVED BLUE FLAG FOR CAR 20 (MAG) TIMED AT 16:22:19,
2020-08-16 14:23:33,Flag,BLUE,Driver,,23,51,WAVED BLUE FLAG FOR CAR 23 (ALB) TIMED AT 16:23:33,
2020-08-16 14:23:37,Other,,,,,51,INCIDENT INVOLVING CAR 11 (PER) UNDER INVESTIGATION - IGNORING BLUE FLAGS,
2020-08-16 14:24:14,Flag,BLUE,Driver,,26,51,WAVED BLUE FLAG FOR CAR 26 (KVY) TIMED AT 16:24:13,
2020-08-16 14:25:24,Flag,BLUE,Driver,,55,52,WAVED BLUE FLAG FOR CAR 55 (SAI) TIMED AT 16:25:24,
2020-08-16 14:26:05,Flag,BLUE,Driver,,3,52,WAVED BLUE FLAG FOR CAR 3 (RIC) TIMED AT 16:26:04,
2020-08-16 14:27:09,Flag,BLUE,Driver,,18,53,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 16:27:09,
2020-08-16 14:27:14,Other,,,,,53,5 SECOND TIME PENALTY FOR CAR 11 (PER) - IGNORING BLUE FLAGS,
2020-08-16 14:27:55,Other,,,,,54,INCIDENT INVOLVING CAR 26 (KVY) UNDER INVESTIGATION - IGNORING BLUE FLAGS,
2020-08-16 14:28:17,Flag,BLUE,Driver,,5,54,WAVED BLUE FLAG FOR CAR 5 (VET) TIMED AT 16:28:16,
2020-08-16 14:30:36,Other,,,,,56,5 SECOND TIME PENALTY FOR CAR 26 (KVY) - IGNORING BLUE FLAGS,
2020-08-16 14:30:49,Flag,BLUE,Driver,,26,56,WAVED BLUE FLAG FOR CAR 26 (KVY) TIMED AT 16:30:49,
2020-08-16 14:30:52,Flag,BLUE,Driver,,4,56,WAVED BLUE FLAG FOR CAR 4 (NOR) TIMED AT 16:30:51,
2020-08-16 14:32:18,Flag,BLUE,Driver,,11,57,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 16:32:17,
2020-08-16 14:32:28,Flag,BLUE,Driver,,10,57,WAVED BLUE FLAG FOR CAR 10 (GAS) TIMED AT 16:32:27,
2020-08-16 14:33:11,Flag,BLUE,Driver,,3,58,WAVED BLUE FLAG FOR CAR 3 (RIC) TIMED AT 16:33:10,
2020-08-16 14:33:41,Flag,BLUE,Driver,,23,58,WAVED BLUE FLAG FOR CAR 23 (ALB) TIMED AT 16:33:40,
2020-08-16 14:35:47,Flag,BLUE,Driver,,55,60,WAVED BLUE FLAG FOR CAR 55 (SAI) TIMED AT 16:35:47,
2020-08-16 14:36:06,Other,,,,,60,BLACK AND WHITE FLAG FOR CAR 20 (MAG),
2020-08-16 14:36:09,Flag,BLUE,Driver,,5,60,WAVED BLUE FLAG FOR CAR 5 (VET) TIMED AT 16:36:09,
2020-08-16 14:36:13,Flag,BLUE,Driver,,4,60,WAVED BLUE FLAG FOR CAR 4 (NOR) TIMED AT 16:36:13,
2020-08-16 14:37:05,Flag,BLUE,Driver,,10,61,WAVED BLUE FLAG FOR CAR 10 (GAS) TIMED AT 16:37:05,
2020-08-16 14:38:21,Flag,BLUE,Driver,,55,62,WAVED BLUE FLAG FOR CAR 55 (SAI) TIMED AT 16:38:20,
2020-08-16 14:38:27,Flag,BLUE,Driver,,23,62,WAVED BLUE FLAG FOR CAR 23 (ALB) TIMED AT 16:38:27,
2020-08-16 14:39:22,Other,,,,,62,TURN 2 INCIDENT INVOLVING CARS 20 (MAG) AND 99 (GIO) NOTED,
2020-08-16 14:39:28,Flag,BLUE,Driver,,5,62,WAVED BLUE FLAG FOR CAR 5 (VET) TIMED AT 16:39:28,
2020-08-16 14:39:39,Other,,,,,62,CORRECTION: TURN 2 INCIDENT INVOLVING CARS 8 (GRO) AND 99 (GIO) NOTED,
2020-08-16 14:41:13,Other,,,,,64,CAR 8 (GRO) TIME 1:26.454 DELETED - TRACK LIMITS AT TURN 2,
2020-08-16 14:42:20,Other,,,,,64,TURN 2 INCIDENT INVOLVING CARS 8 (GRO) AND 99 (GIO) UNDER INVESTIGATION,
2020-08-16 14:42:47,Flag,BLUE,Driver,,8,65,WAVED BLUE FLAG FOR CAR 8 (GRO) TIMED AT 16:42:46,
2020-08-16 14:43:03,Flag,BLUE,Driver,,8,65,WAVED BLUE FLAG FOR CAR 8 (GRO) TIMED AT 16:43:02,
2020-08-16 14:43:33,Flag,BLUE,Driver,,8,65,WAVED BLUE FLAG FOR CAR 8 (GRO) TIMED AT 16:43:33,
2020-08-16 14:43:49,Flag,BLUE,Driver,,6,66,WAVED BLUE FLAG FOR CAR 6 (LAT) TIMED AT 16:43:49,
2020-08-16 14:45:07,Flag,CHEQUERED,Track,,,66,CHEQUERED FLAG,
