Timestamp,Category,Flag,Scope,Sector,DriverNumber,LapNumber,Message,Status
2020-08-30 12:40:37,Flag,YELLOW,Sector,13.0,,1,YELLOW IN TRACK SECTOR 13,
2020-08-30 12:40:57,Flag,CLEAR,Sector,13.0,,1,CLEAR IN TRACK SECTOR 13,
2020-08-30 12:55:04,Other,,,,,1,RISK OF RAIN FOR F1 RACE IS 40%,
2020-08-30 13:07:29,Drs,,,,,1,DRS DISABLED,DISABLED
2020-08-30 13:13:42,Flag,GREEN,Track,,,1,GREEN LIGHT - PIT EXIT OPEN,
2020-08-30 13:17:19,Drs,,,,,2,DRS ENABLED,ENABLED
2020-08-30 13:23:15,Other,,,,,6,CAR 10 (GAS) TIME 1:51.803 DELETED - TRACK LIMITS AT TURN 9,
2020-08-30 13:26:59,Other,,,,,8,CAR 18 (STR) TIME 1:51.826 DELETED - TRACK LIMITS AT TURN 9,
2020-08-30 13:32:08,Flag,YELLOW,Sector,14.0,,11,YELLOW IN TRACK SECTOR 14,
2020-08-30 13:32:15,Flag,DOUBLE YELLOW,Sector,14.0,,11,DOUBLE YELLOW IN TRACK SECTOR 14,
2020-08-30 13:32:19,SafetyCar,,,,,11,SAFETY CAR DEPLOYED,DEPLOYED
2020-08-30 13:32:42,Other,,,,,11,MEDICAL CAR DEPLOYED,
2020-08-30 13:34:03,Flag,DOUBLE YELLOW,Sector,13.0,,11,DOUBLE YELLOW IN TRACK SECTOR 13,
2020-08-30 13:40:39,Flag,CLEAR,Sector,14.0,,13,CLEAR IN TRACK SECTOR 14,
2020-08-30 13:41:33,Flag,CLEAR,Sector,13.0,,14,CLEAR IN TRACK SECTOR 13,
2020-08-30 13:41:44,SafetyCar,,,,,14,SAFETY CAR IN THIS LAP,IN THIS LAP
2020-08-30 13:43:21,Flag,CLEAR,Track,,,14,TRACK CLEAR,
2020-08-30 13:47:57,Drs,,,,,17,DRS ENABLED,ENABLED
2020-08-30 14:16:50,CarEvent,,,,5,33,CAR 5 (VET) MISSED THE APEX OF TURN 6,
2020-08-30 14:20:29,Other,,,,,35,CAR 4 (NOR) TIME 1:49.077 DELETED - TRACK LIMITS AT TURN 9,
2020-08-30 14:24:35,Other,,,,,37,CAR 8 (GRO) TIME 1:50.636 DELETED - TRACK LIMITS AT TURN 9,
2020-08-30 14:25:42,CarEvent,,,,44,38,CAR 44 (HAM) MISSED THE APEX OF TURN 19,
2020-08-30 14:29:08,CarEvent,,,,77,40,CAR 77 (BOT) MISSED THE APEX OF TURN 19,
2020-08-30 14:37:50,Flag,CHEQUERED,Track,,,44,CHEQUERED FLAG,
2020-08-30 14:38:27,Flag,YELLOW,Sector,4.0,,44,YELLOW IN TRACK SECTOR 4,
2020-08-30 14:38:51,Flag,CLEAR,Sector,4.0,,44,CLEAR IN TRACK SECTOR 4,
2020-08-30 14:40:39,Flag,DOUBLE YELLOW,Sector,18.0,,44,DOUBLE YELLOW IN TRACK SECTOR 18,
2020-08-30 14:41:26,Flag,CLEAR,Sector,18.0,,44,CLEAR IN TRACK SECTOR 18,
