Timestamp,Category,Flag,Scope,Sector,DriverNumber,LapNumber,Message,Status
2020-09-06 12:55:01,Other,,,,,1,RISK OF RAIN FOR F1 RACE IS 20%,
2020-09-06 13:07:05,Drs,,,,,1,DRS DISABLED,DISABLED
2020-09-06 13:13:28,Flag,GREEN,Track,,,1,GREEN LIGHT - PIT EXIT OPEN,
2020-09-06 13:14:53,Other,,,,,1,CAR 63 (RUS) MISSED THE 2ND CHICANE,
2020-09-06 13:15:00,Other,,,,,2,CAR 10 (GAS) MISSED THE 2ND CHICANE,
2020-09-06 13:15:52,Other,,,,,2,"LAP1, TURN 1 INCIDENT INVOLVING CARS 23 (ALB) AND 10 (GAS) NOTED",
2020-09-06 13:16:32,Drs,,,,,3,DRS ENABLED,ENABLED
2020-09-06 13:17:58,Other,,,,,4,"LAP2, TURN 1 INCIDENT INVOLVING CARS 23 (ALB) AND 8 (GRO) NOTED",
2020-09-06 13:18:30,Other,,,,,4,TURN 1 INCIDENT INVOLVING CARS 10 (GAS) AND 23 (ALB) - NO INVESTIGATION NECESSARY,
2020-09-06 13:19:43,Other,,,,,5,TURN 1 INCIDENT INVOLVING CARS 8 (GRO) AND 23 (ALB) UNDER INVESTIGATION,
2020-09-06 13:21:29,Other,,,,,6,CAR 5 (VET) MISSED THE 1ST CHICANE,
2020-09-06 13:23:43,Other,,,,,8,5 SECOND TIME PENALTY FOR CAR 23 (ALB) - FAILING TO LEAVE A CAR WIDTH TO THE EDGE OF THE TRACK,
2020-09-06 13:24:43,Flag,YELLOW,Sector,3.0,,8,YELLOW IN TRACK SECTOR 3,
2020-09-06 13:24:44,Other,,,,,8,DRS DISABLED IN ZONE 2,
2020-09-06 13:25:02,Flag,CLEAR,Sector,3.0,,9,CLEAR IN TRACK SECTOR 3,
2020-09-06 13:25:02,Other,,,,,9,DRS ENABLED IN ZONE 2,
2020-09-06 13:34:17,Other,,,,,15,CAR 4 (NOR) TIME 1:25.913 DELETED - TRACK LIMITS AT TURN 11,
2020-09-06 13:35:20,Other,,,,,16,CAR 4 (NOR) TIME 1:25.807 DELETED - TRACK LIMITS AT TURN 11,
2020-09-06 13:35:27,Other,,,,,16,CAR 77 (BOT) TIME 1:26.388 DELETED - TRACK LIMITS AT TURN 11,
2020-09-06 13:36:42,Other,,,,,17,CAR 77 (BOT) TIME 1:25.792 DELETED - TRACK LIMITS AT TURN 11,
2020-09-06 13:37:09,Other,,,,,17,CAR 10 (GAS) TIME 1:26.266 DELETED - TRACK LIMITS AT TURN 11,
2020-09-06 13:38:17,Other,,,,,18,CAR 10 (GAS) TIME 1:26.281 DELETED - TRACK LIMITS AT TURN 11,
2020-09-06 13:40:35,Flag,YELLOW,Sector,17.0,,20,YELLOW IN TRACK SECTOR 17,
2020-09-06 13:41:36,SafetyCar,,,,,20,SAFETY CAR DEPLOYED,DEPLOYED
2020-09-06 13:41:47,Other,,,,,20,PIT LANE ENTRY CLOSED,
2020-09-06 13:44:19,Other,,,,,21,INCIDENT INVOLVING CARS 44 (HAM) AND 99 (GIO) UNDER INVESTIGATION - ENTERING THE PIT LANE WHEN CLOSED,
2020-09-06 13:45:58,Other,,,,,22,PIT LANE ENTRY CLEAR,
2020-09-06 13:46:08,Flag,CLEAR,Sector,17.0,,22,CLEAR IN TRACK SECTOR 17,
2020-09-06 13:47:13,SafetyCar,,,,,23,SAFETY CAR IN THIS LAP,IN THIS LAP
2020-09-06 13:48:44,Flag,CLEAR,Track,,,23,TRACK CLEAR,
2020-09-06 13:50:22,Flag,YELLOW,Sector,16.0,,25,YELLOW IN TRACK SECTOR 16,
2020-09-06 13:50:23,Other,,,,,25,CORRECTION: INCIDENT INVOLVING CARS 44 (HAM) AND 99 (GIO) UNDER INVESTIGATION - ENTERING THE PIT LANE WHEN CLOSED,
2020-09-06 13:50:27,SafetyCar,,,,,25,SAFETY CAR DEPLOYED,DEPLOYED
2020-09-06 13:50:47,Other,,,,,25,MEDICAL CAR DEPLOYED,
2020-09-06 13:51:32,Other,,,,,25,10 SECOND STOP/GO PENALTY FOR CAR 99 (GIO) - ENTERING THE PIT LANE WHEN CLOSED,
2020-09-06 13:52:36,Flag,DOUBLE YELLOW,Sector,16.0,,26,DOUBLE YELLOW IN TRACK SECTOR 16,
