Timestamp,Category,Flag,Scope,Sector,DriverNumber,LapNumber,Message,Status
2020-09-13 12:55:02,Other,,,,,1,RISK OF RAIN FOR F1 RACE IS 0%,
2020-09-13 13:07:07,Drs,,,,,1,DRS DISABLED,DISABLED
2020-09-13 13:13:25,Flag,GREEN,Track,,,1,GREEN LIGHT - PIT EXIT OPEN,
2020-09-13 13:13:50,Flag,DOUBLE YELLOW,Sector,3.0,,1,DOUBLE YELLOW IN TRACK SECTOR 3,
2020-09-13 13:14:03,SafetyCar,,,,,1,SAFETY CAR DEPLOYED,DEPLOYED
2020-09-13 13:16:52,Other,,,,,2,TURN 2 INCIDENT NOTED,
2020-09-13 13:22:20,Other,,,,,5,"TURN 2 INCIDENT INVOLVING CARS 7 (RAI), 8 (GRO),10 (GAS), 33 (VER) UNDER INVESTIGATION - CAUSING A COLLISION",
2020-09-13 13:23:11,Other,,,,,5,TURN 2 INCIDENT INVOLVING CARS 55 (SAI) AND 18 (STR) - NO INVESTIGATION NECESSARY,
2020-09-13 13:25:42,Flag,CLEAR,Sector,3.0,,6,CLEAR IN TRACK SECTOR 3,
2020-09-13 13:25:47,SafetyCar,,,,,6,SAFETY CAR IN THIS LAP,IN THIS LAP
2020-09-13 13:26:35,Flag,CLEAR,Track,,,6,TRACK CLEAR,
2020-09-13 13:26:53,Flag,DOUBLE YELLOW,Sector,19.0,,7,DOUBLE YELLOW IN TRACK SECTOR 19,
2020-09-13 13:26:57,SafetyCar,,,,,7,SAFETY CAR DEPLOYED,DEPLOYED
2020-09-13 13:27:13,SafetyCar,,,,,7,SAFETY CAR THROUGH THE PIT LANE,THROUGH THE PIT LANE
2020-09-13 13:29:34,Flag,RED,Track,,,8,RED FLAG,
2020-09-13 13:29:35,Flag,CLEAR,Sector,19.0,,8,CLEAR IN TRACK SECTOR 19,
2020-09-13 13:33:32,Other,,,,,9,"PIT STRAIGHT INCIDENT INVOLVING CARS 6 (LAT),20 (MAG) AND 99 (GIO) UNDER INVESTIGATION - CAUSING A COLLISION",
2020-09-13 13:34:18,Other,,,,,9,"TURN 2 INCIDENT INVOLVING CARS 7 (RAI), 8 (GRO), 16 (LEC) AND 33 (VER) - NO FURTHER ACTION ",
2020-09-13 13:44:03,Other,,,,,9,SESSION WILL RE-START AT 15:55,
2020-09-13 13:48:12,Other,,,,,9,STANDING START RE-START,
2020-09-13 13:51:04,Other,,,,,9,CAR 31 (OCO) WITHDRAWN - GRID CLOSED UP ACCORDINGLY,
2020-09-13 13:54:12,Flag,CLEAR,Track,,,9,TRACK CLEAR,
2020-09-13 13:54:29,Other,,,,,9,"PIT STRAIGHT INCIDENT INVOLVING CARS 6 (LAT), 20 (MAG) AND 99 (GIO) WILL BE INVESTIGATED AFTER THE RACE",
2020-09-13 13:56:02,Other,,,,,9,SAFETY CAR WILL ENTER PITS: STANDING START,
2020-09-13 14:01:37,Drs,,,,,12,DRS ENABLED,ENABLED
2020-09-13 14:25:32,Flag,BLUE,Driver,,7,29,WAVED BLUE FLAG FOR CAR 7 (RAI) TIMED AT 16:25:32,
2020-09-13 14:26:25,Flag,BLUE,Driver,,8,30,WAVED BLUE FLAG FOR CAR 8 (GRO) TIMED AT 16:26:24,
2020-09-13 14:38:10,Flag,BLUE,Driver,,8,38,WAVED BLUE FLAG FOR CAR 8 (GRO) TIMED AT 16:38:09,
2020-09-13 14:40:57,Flag,BLUE,Driver,,8,40,WAVED BLUE FLAG FOR CAR 8 (GRO) TIMED AT 16:40:57,
2020-09-13 14:42:54,Flag,BLUE,Driver,,7,41,WAVED BLUE FLAG FOR CAR 7 (RAI) TIMED AT 16:42:53,
2020-09-13 14:45:41,Flag,YELLOW,Sector,10.0,,43,YELLOW IN TRACK SECTOR 10,
2020-09-13 14:45:53,Flag,DOUBLE YELLOW,Sector,10.0,,43,DOUBLE YELLOW IN TRACK SECTOR 10,
2020-09-13 14:45:54,Flag,BLUE,Driver,,7,43,WAVED BLUE FLAG FOR CAR 7 (RAI) TIMED AT 16:45:53,
2020-09-13 14:45:54,SafetyCar,,,,,43,SAFETY CAR DEPLOYED,DEPLOYED
2020-09-13 14:49:44,Flag,RED,Track,,,45,RED FLAG,
2020-09-13 14:49:44,Flag,CLEAR,Sector,10.0,,45,CLEAR IN TRACK SECTOR 10,
2020-09-13 15:01:35,Other,,,,,46,SESSION WILL RE-START AT 17:12,
2020-09-13 15:02:56,Other,,,,,46,"LAPPED CARS - 7 (RAI), 8 (GRO) TO FRONT OF QUEUE",
2020-09-13 15:07:13,Other,,,,,46,PIT ENTRY INCIDENT INVOLVING CAR 7 (RAI) UNDER INVESTIGATION,
2020-09-13 15:08:01,Flag,CLEAR,Track,,,46,TRACK CLEAR,
2020-09-13 15:13:00,Other,,,,,46,SAFETY CAR WILL ENTER PITS: STANDING START,
2020-09-13 15:16:08,Other,,,,,47,5 SECOND TIME PENALTY FOR CAR 7 (RAI) - CROSSING THE LINE AT PIT ENTRY,
2020-09-13 15:18:32,Drs,,,,,49,DRS ENABLED,ENABLED
2020-09-13 15:32:58,Flag,CHEQUERED,Track,,,59,CHEQUERED FLAG,
