Timestamp,Category,Flag,Scope,Sector,DriverNumber,LapNumber,Message,Status
2020-09-27 10:42:00,Other,,,,,1,INCIDENT INVOLVING CAR 44 (HAM) UNDER INVESTIGATION - PRACTICE START OUTSIDE OF THE DESIGNATED AREA,
2020-09-27 10:55:05,Other,,,,,1,RISK OF RAIN FOR F1 RACE IS 0%,
2020-09-27 11:07:05,Drs,,,,,1,DRS DISABLED,DISABLED
2020-09-27 11:13:33,Flag,GREEN,Track,,,1,GREEN LIGHT - PIT EXIT OPEN,
2020-09-27 11:14:07,Flag,DOUBLE YELLOW,Sector,4.0,,1,DOUBLE YELLOW IN TRACK SECTOR 4,
2020-09-27 11:14:12,Flag,DOUBLE YELLOW,Sector,7.0,,1,DOUBLE YELLOW IN TRACK SECTOR 7,
2020-09-27 11:14:32,SafetyCar,,,,,1,SAFETY CAR DEPLOYED,DEPLOYED
2020-09-27 11:23:21,Flag,CLEAR,Sector,7.0,,4,CLEAR IN TRACK SECTOR 7,
2020-09-27 11:25:25,SafetyCar,,,,,5,SAFETY CAR IN THIS LAP,IN THIS LAP
2020-09-27 11:25:39,Flag,CLEAR,Sector,4.0,,5,CLEAR IN TRACK SECTOR 4,
2020-09-27 11:27:13,Flag,CLEAR,Track,,,5,TRACK CLEAR,
2020-09-27 11:29:35,Other,,,,,7,5 SECOND TIME PENALTY FOR CAR 44 (HAM) - PRACTICE START VIOLATION 1,
2020-09-27 11:30:13,Other,,,,,7,5 SECOND TIME PENALTY FOR CAR 44 (HAM) - PRACTICE START VIOLATION 2,
2020-09-27 11:30:50,Drs,,,,,8,DRS ENABLED,ENABLED
2020-09-27 11:31:28,Other,,,,,8,TURN 4 INCIDENT INVOLVING CARS 16 (LEC) AND 18 (STR) NOTED,
2020-09-27 11:32:37,Other,,,,,9,TURN 4 INCIDENT INVOLVING CARS 16 (LEC) AND 18 (STR) - NO INVESTIGATION NECESSARY,
2020-09-27 11:33:47,Other,,,,,9,TURN 2 INCIDENT INVOLVING CAR 11 (PER) NOTED - FAILING TO FOLLOW THE RACE DIRECTORS INSTRUCTIONS,
2020-09-27 11:35:28,Other,,,,,10,TURN 2 INCIDENT INVOLVING CAR 11 (PER) - NO INVESTIGATION NECESSARY,
2020-09-27 12:01:06,CarEvent,,,,3,26,CAR 3 (RIC) OFF TRACK AND CONTINUED AT TURN 2,
2020-09-27 12:02:00,Other,,,,,26,CAR 3 (RIC) TIME 1:41.123 DELETED - TRACK LIMITS AT TURN 2,
2020-09-27 12:02:28,Other,,,,,26,TURN 2 INCIDENT INVOLVING CAR 3 (RIC) UNDER INVESTIGATION - FAILING TO FOLLOW THE RACE DIRECTORS INSTRUCTIONS,
2020-09-27 12:05:05,Other,,,,,28,5 SECOND TIME PENALTY FOR CAR 3 (RIC) - FAILING TO FOLLOW THE RACE DIRECTORS INSTRUCTIONS,
2020-09-27 12:20:23,Flag,BLUE,Driver,,63,37,WAVED BLUE FLAG FOR CAR 63 (RUS) TIMED AT 15:20:23,
2020-09-27 12:22:33,Flag,BLUE,Driver,,6,38,WAVED BLUE FLAG FOR CAR 6 (LAT) TIMED AT 15:22:33,
2020-09-27 12:24:34,CarEvent,,,,8,40,CAR 8 (GRO) OFF TRACK AND CONTINUED AT TURN 2,
2020-09-27 12:25:56,Other,,,,,40,CAR 8 (GRO) TIME 1:43.656 DELETED - TRACK LIMITS AT TURN 2,
2020-09-27 12:27:05,Flag,BLUE,Driver,,63,41,WAVED BLUE FLAG FOR CAR 63 (RUS) TIMED AT 15:27:04,
2020-09-27 12:28:08,CarEvent,,,,8,42,CAR 8 (GRO) OFF TRACK AND CONTINUED AT TURN 2,
2020-09-27 12:28:29,Flag,BLUE,Driver,,6,42,WAVED BLUE FLAG FOR CAR 6 (LAT) TIMED AT 15:28:28,
2020-09-27 12:28:41,Other,,,,,42,TURN 2 INCIDENT INVOLVING CARS 8 (GRO) AND 5 (VET) NOTED,
2020-09-27 12:29:23,Other,,,,,43,CAR 8 (GRO) TIME 1:45.760 DELETED - TRACK LIMITS AT TURN 2,
2020-09-27 12:29:43,Flag,BLUE,Driver,,8,43,WAVED BLUE FLAG FOR CAR 8 (GRO) TIMED AT 15:29:43,
2020-09-27 12:29:53,SafetyCar,,,,,43,VIRTUAL SAFETY CAR DEPLOYED,DEPLOYED
2020-09-27 12:30:19,SafetyCar,,,,,43,VIRTUAL SAFETY CAR ENDING,ENDING
2020-09-27 12:30:33,Flag,CLEAR,Track,,,43,TRACK CLEAR,
2020-09-27 12:30:35,Drs,,,,,43,DRS ENABLED,ENABLED
2020-09-27 12:31:25,Flag,BLUE,Driver,,63,44,WAVED BLUE FLAG FOR CAR 63 (RUS) TIMED AT 15:31:24,
2020-09-27 12:31:51,Flag,BLUE,Driver,,6,44,WAVED BLUE FLAG FOR CAR 6 (LAT) TIMED AT 15:31:50,
2020-09-27 12:32:35,Flag,BLUE,Driver,,8,44,WAVED BLUE FLAG FOR CAR 8 (GRO) TIMED AT 15:32:35,
2020-09-27 12:34:39,Flag,BLUE,Driver,,7,46,WAVED BLUE FLAG FOR CAR 7 (RAI) TIMED AT 15:34:38,
2020-09-27 12:35:28,Flag,BLUE,Driver,,63,46,WAVED BLUE FLAG FOR CAR 63 (RUS) TIMED AT 15:35:27,
2020-09-27 12:36:21,Other,,,,,47,TURN 2 INCIDENT INVOLVING CAR 8 (GRO) UNDER INVESTIGATION - FAILING TO FOLLOW THE RACE DIRECTORS INSTRUCTIONS,
2020-09-27 12:36:58,Flag,BLUE,Driver,,6,47,WAVED BLUE FLAG FOR CAR 6 (LAT) TIMED AT 15:36:57,
2020-09-27 12:37:15,Other,,,,,47,TURN 2 INCIDENT INVOLVING CAR 8 (GRO) - NO FURTHER ACTION ,
2020-09-27 12:38:58,CarEvent,,,,8,48,CAR 8 (GRO) OFF TRACK AND CONTINUED AT TURN 2,
2020-09-27 12:39:35,Flag,BLUE,Driver,,5,49,WAVED BLUE FLAG FOR CAR 5 (VET) TIMED AT 15:39:35,
2020-09-27 12:40:10,Other,,,,,49,CAR 8 (GRO) TIME 1:41.542 DELETED - TRACK LIMITS AT TURN 2,
2020-09-27 12:40:18,Flag,BLUE,Driver,,20,49,WAVED BLUE FLAG FOR CAR 20 (MAG) TIMED AT 15:40:17,
