Timestamp,Category,Flag,Scope,Sector,DriverNumber,LapNumber,Message,Status
2020-10-11 12:16:29,Drs,,,,,3,DRS ENABLED,ENABLED
2020-10-11 12:18:03,Other,,,,,4,CAR 44 (HAM) TIME 1:32.165 DELETED - TRACK LIMITS AT TURN 4,
2020-10-11 12:21:33,Other,,,,,6,CAR 8 (GRO) TIME 1:34.634 DELETED - TRACK LIMITS AT TURN 4,
2020-10-11 12:23:41,Other,,,,,7,TURN 1 INCIDENT INVOLVING CARS 3 (RIC) AND 16 (LEC) NOTED - LEAVING THE TRACK,
2020-10-11 12:24:17,Other,,,,,8,TURN 1 INCIDENT INVOLVING CARS 3 (RIC) AND 16 (LEC) - NO INVESTIGATION NECESSARY,
2020-10-11 12:24:31,Other,,,,,8,CAR 55 (SAI) TIME 1:34.853 DELETED - TRACK LIMITS AT TURN 4,
2020-10-11 12:25:28,CarEvent,,,,55,8,CAR 55 (SAI) MISSED THE APEX OF TURN 14,
2020-10-11 12:28:19,Other,,,,,10,TRACK SURFACE SLIPPERY IN TRACK SECTOR 11,
2020-10-11 12:28:22,Flag,CLEAR,Sector,11.0,,10,CLEAR IN TRACK SECTOR 11,
2020-10-11 12:29:39,CarEvent,,,,5,11,CAR 5 (VET) SPUN AND CONTINUED AT TURN 1,
2020-10-11 12:30:56,Other,,,,,12,CAR 10 (GAS) TIME 1:35.552 DELETED - TRACK LIMITS AT TURN 4,
2020-10-11 12:32:41,Other,,,,,13,CAR 16 (LEC) TIME 1:33.245 DELETED - TRACK LIMITS AT TURN 4,
2020-10-11 12:33:05,Flag,YELLOW,Sector,3.0,,13,YELLOW IN TRACK SECTOR 3,
2020-10-11 12:33:10,Flag,CLEAR,Sector,3.0,,13,CLEAR IN TRACK SECTOR 3,
2020-10-11 12:33:17,CarEvent,,,,63,14,CAR 63 (RUS) SPUN AND CONTINUED AT TURN 1,
2020-10-11 12:33:23,Flag,YELLOW,Sector,4.0,,14,YELLOW IN TRACK SECTOR 4,
2020-10-11 12:33:32,Flag,BLUE,Driver,,63,14,WAVED BLUE FLAG FOR CAR 63 (RUS) TIMED AT 14:33:31,
2020-10-11 12:33:34,Flag,CLEAR,Sector,4.0,,14,CLEAR IN TRACK SECTOR 4,
2020-10-11 12:33:45,CarEvent,,,,63,14,CAR 63 (RUS) OFF TRACK AND CONTINUED AT TURN 2,
2020-10-11 12:34:07,Other,,,,,14,CAR 26 (KVY) TIME 1:34.186 DELETED - TRACK LIMITS AT TURN 4,
2020-10-11 12:34:58,Other,,,,,15,TURN 1 INCIDENT INVOLVING CARS 7 (RAI) AND 63 (RUS)  UNDER INVESTIGATION - CAUSING A COLLISION,
2020-10-11 12:37:21,SafetyCar,,,,,16,VIRTUAL SAFETY CAR DEPLOYED,DEPLOYED
2020-10-11 12:38:26,SafetyCar,,,,,17,VIRTUAL SAFETY CAR ENDING,ENDING
2020-10-11 12:38:38,Flag,CLEAR,Track,,,17,TRACK CLEAR,
2020-10-11 12:38:42,Drs,,,,,17,DRS ENABLED,ENABLED
