Timestamp,Category,Flag,Scope,Sector,DriverNumber,LapNumber,Message,Status
2020-10-25 12:55:02,Other,,,,,1,RISK OF RAIN FOR F1 RACE IS 40%,
2020-10-25 13:07:05,Drs,,,,,1,DRS DISABLED,DISABLED
2020-10-25 13:13:11,Flag,GREEN,Track,,,1,GREEN LIGHT - PIT EXIT OPEN,
2020-10-25 13:13:37,Flag,YELLOW,Sector,5.0,,1,YELLOW IN TRACK SECTOR 5,
2020-10-25 13:13:45,Flag,CLEAR,Sector,5.0,,1,CLEAR IN TRACK SECTOR 5,
2020-10-25 13:16:17,Drs,,,,,3,DRS ENABLED,ENABLED
2020-10-25 13:16:29,Other,,,,,3,TURN 4 INCIDENT INVOLVING CARS 11 (PER) AND 33 (VER) NOTED,
2020-10-25 13:16:51,Other,,,,,3,CAR 23 (ALB) TIME 1:31.533 DELETED - TRACK LIMITS AT TURN 1,
2020-10-25 13:17:05,Other,,,,,3,CAR 18 (STR) TIME 1:29.459 DELETED - TRACK LIMITS AT TURN 1,
2020-10-25 13:17:14,Other,,,,,3,CAR 31 (OCO) TIME 1:29.961 DELETED - TRACK LIMITS AT TURN 1,
2020-10-25 13:21:03,Other,,,,,6,TURN 4 INCIDENT INVOLVING CARS 11 (PER) AND 33 (VER) - NO INVESTIGATION NECESSARY,
2020-10-25 13:23:30,Other,,,,,8,CAR 18 (STR) TIME 1:23.860 DELETED - TRACK LIMITS AT TURN 1,
2020-10-25 13:25:23,Other,,,,,9,CAR 18 (STR) TIME 1:23.860 DELETED - TRACK LIMITS AT TURN 4,
2020-10-25 13:25:48,Other,,,,,9,BLACK AND WHITE FLAG FOR CAR 18 (STR),
2020-10-25 13:26:51,Other,,,,,10,CAR 33 (VER) TIME 1:24.232 DELETED - TRACK LIMITS AT TURN 4,
2020-10-25 13:29:03,Other,,,,,12,CAR 10 (GAS) TIME 1:22.551 DELETED - TRACK LIMITS AT TURN 1,
2020-10-25 13:30:24,Other,,,,,13,CAR 20 (MAG) TIME 1:24.188 DELETED - TRACK LIMITS AT TURN 4,
