Timestamp,Category,Flag,Scope,Sector,DriverNumber,LapNumber,Message,Status
2020-11-01 11:55:02,Other,,,,,1,RISK OF RAIN FOR F1 RACE IS 0%,
2020-11-01 12:07:04,Drs,,,,,1,DRS DISABLED,DISABLED
2020-11-01 12:13:13,Flag,GREEN,Track,,,1,GREEN LIGHT - PIT EXIT OPEN,
2020-11-01 12:13:37,Flag,YELLOW,Sector,4.0,,1,YELLOW IN TRACK SECTOR 4,
2020-11-01 12:13:38,Flag,CLEAR,Sector,4.0,,1,CLEAR IN TRACK SECTOR 4,
2020-11-01 12:13:46,Flag,YELLOW,Sector,5.0,,1,YELLOW IN TRACK SECTOR 5,
2020-11-01 12:13:55,Flag,YELLOW,Sector,8.0,,1,YELLOW IN TRACK SECTOR 8,
2020-11-01 12:13:57,Flag,CLEAR,Sector,5.0,,1,CLEAR IN TRACK SECTOR 5,
2020-11-01 12:14:12,Flag,CLEAR,Sector,8.0,,1,CLEAR IN TRACK SECTOR 8,
2020-11-01 12:14:31,CarEvent,,,,20,1,CAR 20 (MAG) SPUN AND CONTINUED AT TURN 7,
2020-11-01 12:16:08,Drs,,,,,3,DRS ENABLED,ENABLED
2020-11-01 12:17:31,Other,,,,,4,"LAP1, TURN 7 INCIDENT INVOLVING CARS 5 (VET) AND 20 (MAG) NOTED",
2020-11-01 12:17:52,Other,,,,,4,CAR 6 (LAT) TIME 1:22.929 DELETED - TRACK LIMITS AT TURN 9,
2020-11-01 12:18:57,Other,,,,,5,CAR 4 (NOR) TIME 1:21.372 DELETED - TRACK LIMITS AT TURN 9,
2020-11-01 12:20:22,Other,,,,,6,"LAP 1,TURN 7 INCIDENT INVOLVING CARS 5 (VET) AND 20 (MAG) UNDER INVESTIGATION - CAUSING A COLLISION",
2020-11-01 12:24:29,Other,,,,,9,CAR 8 (GRO) TIME 1:21.402 DELETED - TRACK LIMITS AT TURN 9,
2020-11-01 12:25:42,CarEvent,,,,8,10,CAR 8 (GRO) MISSED THE APEX OF TURN 13,
2020-11-01 12:29:54,Other,,,,,13,CAR 5 (VET) TIME 1:20.387 DELETED - TRACK LIMITS AT TURN 9,
2020-11-01 12:30:03,Other,,,,,13,CAR 20 (MAG) TIME 1:20.267 DELETED - TRACK LIMITS AT TURN 9,
2020-11-01 12:32:29,Other,,,,,15,TURN 7 INCIDENT INVOLVING CARS 5 (VET) AND 20 (MAG) - NO FURTHER ACTION ,
2020-11-01 12:33:45,Other,,,,,16,CAR 55 (SAI) TIME 1:20.156 DELETED - TRACK LIMITS AT TURN 9,
2020-11-01 12:40:39,CarEvent,,,,18,21,CAR 18 (STR) MISSED THE APEX OF TURN 13,
