Timestamp,Category,Flag,Scope,Sector,DriverNumber,LapNumber,Message,Status
2020-11-15 09:41:05,Flag,CLEAR,Sector,3.0,,1,CLEAR IN TRACK SECTOR 3,
2020-11-15 09:41:07,Flag,CLEAR,Sector,4.0,,1,CLEAR IN TRACK SECTOR 4,
2020-11-15 09:55:12,Other,,,,,1,RISK OF RAIN FOR THIS SESSION IS 60%,
2020-11-15 10:13:27,Flag,GREEN,Track,,,1,GREEN LIGHT - PIT EXIT OPEN,
2020-11-15 10:13:42,Flag,YELLOW,Sector,2.0,,1,YELLOW IN TRACK SECTOR 2,
2020-11-15 10:13:51,Flag,CLEAR,Sector,2.0,,1,CLEAR IN TRACK SECTOR 2,
2020-11-15 10:14:50,Flag,YELLOW,Sector,11.0,,1,YELLOW IN TRACK SECTOR 11,
2020-11-15 10:14:55,Flag,CLEAR,Sector,11.0,,1,CLEAR IN TRACK SECTOR 11,
2020-11-15 10:15:04,Flag,DOUBLE YELLOW,Sector,13.0,,1,DOUBLE YELLOW IN TRACK SECTOR 13,
2020-11-15 10:15:09,Flag,YELLOW,Sector,13.0,,1,YELLOW IN TRACK SECTOR 13,
2020-11-15 10:15:11,Flag,CLEAR,Sector,13.0,,1,CLEAR IN TRACK SECTOR 13,
2020-11-15 10:15:16,Other,,,,,1,TURN 1 INCIDENT NOTED,
2020-11-15 10:15:38,Flag,YELLOW,Sector,18.0,,2,YELLOW IN TRACK SECTOR 18,
2020-11-15 10:15:49,Flag,CLEAR,Sector,18.0,,2,CLEAR IN TRACK SECTOR 18,
2020-11-15 10:18:08,Other,,,,,3,CAR 77 (BOT) TIME 2:03.530 DELETED - TRACK LIMITS AT TURN 1,
2020-11-15 10:18:14,Other,,,,,3,CAR 63 (RUS) TIME 2:09.862 DELETED - TRACK LIMITS AT TURN 1,
2020-11-15 10:18:34,Other,,,,,3,CAR 6 (LAT) TIME 2:12.459 DELETED - TRACK LIMITS AT TURN 1,
2020-11-15 10:20:10,Other,,,,,4,CAR 8 (GRO) TIME 2:04.367 DELETED - TRACK LIMITS AT TURN 1,
2020-11-15 10:20:25,Other,,,,,4,CAR 31 (OCO) TIME 1:59.312 DELETED - TRACK LIMITS AT TURN 1,
2020-11-15 10:22:40,Other,,,,,5,1ST LAP INCIDENTS - NO INVESTIGATIONS NECESSARY,
2020-11-15 10:26:08,Other,,,,,7,CAR 8 (GRO) TIME 1:58.901 DELETED - TRACK LIMITS AT TURN 1,
2020-11-15 10:26:58,Other,,,,,8,CAR 6 (LAT) TIME 2:06.551 DELETED - TRACK LIMITS AT TURN 1,
2020-11-15 10:27:53,Flag,BLUE,Driver,,6,8,WAVED BLUE FLAG FOR CAR 6 (LAT) TIMED AT 13:27:52,
2020-11-15 10:29:15,Flag,BLUE,Driver,,6,9,WAVED BLUE FLAG FOR CAR 6 (LAT) TIMED AT 13:29:14,
2020-11-15 10:29:59,Flag,BLUE,Driver,,6,9,WAVED BLUE FLAG FOR CAR 6 (LAT) TIMED AT 13:29:58,
2020-11-15 10:30:17,Flag,BLUE,Driver,,6,9,WAVED BLUE FLAG FOR CAR 6 (LAT) TIMED AT 13:30:17,
2020-11-15 10:33:27,Flag,BLUE,Driver,,6,11,WAVED BLUE FLAG FOR CAR 6 (LAT) TIMED AT 13:33:26,
2020-11-15 10:37:18,Flag,YELLOW,Sector,13.0,,13,YELLOW IN TRACK SECTOR 13,
