Timestamp,Category,Flag,Scope,Sector,DriverNumber,LapNumber,Message,Status
2020-11-29 13:40:25,Other,,,,,1,DRS ENABLED IN ZONE 3,
2020-11-29 13:40:25,Flag,CLEAR,Sector,2.0,,1,CLEAR IN TRACK SECTOR 2,
2020-11-29 13:55:02,Other,,,,,1,RISK OF RAIN FOR F1 RACE IS 20%,
2020-11-29 14:07:05,Drs,,,,,1,DRS DISABLED,DISABLED
2020-11-29 14:13:37,Flag,GREEN,Track,,,1,GREEN LIGHT - PIT EXIT OPEN,
2020-11-29 14:14:07,Flag,RED,Track,,,1,RED FLAG,
2020-11-29 14:15:01,SafetyCar,,,,,1,SAFETY CAR THROUGH THE PIT LANE,THROUGH THE PIT LANE
2020-11-29 14:33:39,Other,,,,,2,DELAY OF A MINIMUM OF 45 MINUTES,
2020-11-29 14:34:21,Other,,,,,2,A 10 MINUTE WARNING WILL BE GIVEN PRIOR TO THE RACE RESUMPTION,
2020-11-29 15:22:06,Other,,,,,2,THE GRID FOR THE RESUMPTION WILL BE PUBLISHED ON THE DOCUMENT SYSTEM,
2020-11-29 15:22:58,Other,,,,,2,SESSION WILL RE-START AT 18:35,
2020-11-29 15:26:23,Other,,,,,2,CARS ARE TO GET IN THEIR CORRECT GRID POSITION ON THE LAP TO THE GRID,
2020-11-29 15:30:00,Flag,CLEAR,Track,,,2,TRACK CLEAR,
2020-11-29 15:36:05,Other,,,,,2,SAFETY CAR WILL ENTER PITS: STANDING START,
2020-11-29 15:40:12,Flag,DOUBLE YELLOW,Sector,8.0,,3,DOUBLE YELLOW IN TRACK SECTOR 8,
2020-11-29 15:40:17,Flag,YELLOW,Sector,7.0,,3,YELLOW IN TRACK SECTOR 7,
2020-11-29 15:40:18,SafetyCar,,,,,3,SAFETY CAR DEPLOYED,DEPLOYED
2020-11-29 15:51:57,SafetyCar,,,,,8,SAFETY CAR IN THIS LAP,IN THIS LAP
2020-11-29 15:52:11,Flag,CLEAR,Sector,7.0,,8,CLEAR IN TRACK SECTOR 7,
2020-11-29 15:53:13,Flag,CLEAR,Track,,,8,TRACK CLEAR,
2020-11-29 15:53:13,Flag,CLEAR,Sector,8.0,,8,CLEAR IN TRACK SECTOR 8,
2020-11-29 15:55:55,Other,,,,,10,TURN 8 INCIDENT INVOLVING CARS 26 (KVY) AND 16 (LEC) UNDER INVESTIGATION - CAUSING A COLLISION,
2020-11-29 15:56:25,Other,,,,,10,CORRECTION: TURN 8 INCIDENT INVOLVING CARS 26 (KVY) AND 18 (STR) UNDER INVESTIGATION - CAUSING A COLLISION,
2020-11-29 15:56:33,Drs,,,,,10,DRS ENABLED,ENABLED
2020-11-29 16:00:06,Other,,,,,13,10 SECOND TIME PENALTY FOR CAR 26 (KVY) - CAUSING A COLLISION,
