Timestamp,Category,Flag,Scope,Sector,DriverNumber,LapNumber,Message,Status
2020-12-06 16:55:07,Other,,,,,1,RISK OF RAIN FOR F1 RACE IS 0%,
2020-12-06 17:07:05,Drs,,,,,1,DRS DISABLED,DISABLED
2020-12-06 17:12:44,Flag,GREEN,Track,,,1,GREEN LIGHT - PIT EXIT OPEN,
2020-12-06 17:13:21,Flag,YELLOW,Sector,4.0,,1,YELLOW IN TRACK SECTOR 4,
2020-12-06 17:13:24,SafetyCar,,,,,1,SAFETY CAR DEPLOYED,DEPLOYED
2020-12-06 17:16:09,Other,,,,,3,"TURN 4 INCIDENT INVOLVING CARS 11 (PER),16 (LEC) AND 33 (VER) NOTED",
2020-12-06 17:20:25,Flag,CLEAR,Sector,4.0,,6,CLEAR IN TRACK SECTOR 4,
2020-12-06 17:20:29,SafetyCar,,,,,6,SAFETY CAR IN THIS LAP,IN THIS LAP
2020-12-06 17:21:22,Flag,CLEAR,Track,,,6,TRACK CLEAR,
2020-12-06 17:22:28,Other,,,,,7,"TURN 4 INCIDENT INVOLVING CARS 11 (PER), 16 (LEC) AND 33 (VER) WILL BE INVESTIGATED AFTER THE RACE",
2020-12-06 17:23:24,Drs,,,,,8,DRS ENABLED,ENABLED
2020-12-06 17:24:57,Other,,,,,10,CAR 6 (LAT) TIME 1:00.554 DELETED - TRACK LIMITS AT TURN 8,
2020-12-06 17:26:51,Other,,,,,12,CAR 23 (ALB) TIME 0:59.384 DELETED - TRACK LIMITS AT TURN 8,
2020-12-06 17:30:02,Other,,,,,15,CAR 89 (AIT) TIME 0:59.837 DELETED - TRACK LIMITS AT TURN 8,
2020-12-06 17:38:37,Other,,,,,24,CAR 63 (RUS) TIME 0:57.955 DELETED - TRACK LIMITS AT TURN 8,
2020-12-06 17:39:25,Flag,BLUE,Driver,,7,25,WAVED BLUE FLAG FOR CAR 7 (RAI) TIMED AT 20:39:24,
2020-12-06 17:40:57,Other,,,,,27,CAR 20 (MAG) TIME 0:59.922 DELETED - TRACK LIMITS AT TURN 8,
2020-12-06 17:41:31,Other,,,,,27,CAR 77 (BOT) TIME 0:58.180 DELETED - TRACK LIMITS AT TURN 8,
2020-12-06 17:44:53,Flag,BLUE,Driver,,51,31,WAVED BLUE FLAG FOR CAR 51 (FIT) TIMED AT 20:44:52,
2020-12-06 17:45:48,Flag,BLUE,Driver,,51,32,WAVED BLUE FLAG FOR CAR 51 (FIT) TIMED AT 20:45:47,
2020-12-06 17:46:44,Other,,,,,32,CAR 23 (ALB) TIME 0:58.826 DELETED - TRACK LIMITS AT TURN 8,
2020-12-06 17:46:55,Other,,,,,33,PIT LANE INCIDENT INVOLVING CARS 55 (SAI) AND 10 (GAS) NOTED,
2020-12-06 17:47:33,Other,,,,,33,PIT LANE INCIDENT INVOLVING CARS 55 (SAI) AND 10 (GAS)  - NO INVESTIGATION NECESSARY,
2020-12-06 17:51:43,Other,,,,,38,CAR 7 (RAI) TIME 0:58.662 DELETED - TRACK LIMITS AT TURN 8,
2020-12-06 17:53:31,Other,,,,,39,CAR 89 (AIT) TIME 0:58.925 DELETED - TRACK LIMITS AT TURN 8,
2020-12-06 17:55:21,Flag,BLUE,Driver,,51,41,WAVED BLUE FLAG FOR CAR 51 (FIT) TIMED AT 20:55:21,
2020-12-06 17:55:41,Flag,BLUE,Driver,,51,42,WAVED BLUE FLAG FOR CAR 51 (FIT) TIMED AT 20:55:41,
2020-12-06 17:57:34,Other,,,,,44,CAR 20 (MAG) TIME 0:58.740 DELETED - TRACK LIMITS AT TURN 8,
2020-12-06 17:58:41,Flag,BLUE,Driver,,51,45,WAVED BLUE FLAG FOR CAR 51 (FIT) TIMED AT 20:58:40,
2020-12-06 18:00:37,Flag,BLUE,Driver,,89,47,WAVED BLUE FLAG FOR CAR 89 (AIT) TIMED AT 21:00:36,
2020-12-06 18:01:14,Flag,BLUE,Driver,,51,47,WAVED BLUE FLAG FOR CAR 51 (FIT) TIMED AT 21:01:13,
2020-12-06 18:02:27,Other,,,,,49,CAR 23 (ALB) TIME 1:01.752 DELETED - TRACK LIMITS AT TURN 8,
2020-12-06 18:02:57,Other,,,,,49,BLACK AND WHITE FLAG FOR CAR 23 (ALB) - TRACK LIMITS,
2020-12-06 18:03:07,Flag,BLUE,Driver,,20,49,WAVED BLUE FLAG FOR CAR 20 (MAG) TIMED AT 21:03:07,
2020-12-06 18:03:28,Flag,BLUE,Driver,,51,50,WAVED BLUE FLAG FOR CAR 51 (FIT) TIMED AT 21:03:28,
2020-12-06 18:04:23,Flag,BLUE,Driver,,89,50,WAVED BLUE FLAG FOR CAR 89 (AIT) TIMED AT 21:04:22,
2020-12-06 18:05:40,Flag,BLUE,Driver,,99,52,WAVED BLUE FLAG FOR CAR 99 (GIO) TIMED AT 21:05:40,
2020-12-06 18:06:07,Flag,BLUE,Driver,,6,52,WAVED BLUE FLAG FOR CAR 6 (LAT) TIMED AT 21:06:07,
2020-12-06 18:06:23,Flag,BLUE,Driver,,20,52,WAVED BLUE FLAG FOR CAR 20 (MAG) TIMED AT 21:06:22,
2020-12-06 18:06:27,Other,,,,,53,CAR 4 (NOR) TIME 0:58.517 DELETED - TRACK LIMITS AT TURN 8,
2020-12-06 18:06:59,Flag,BLUE,Driver,,51,53,WAVED BLUE FLAG FOR CAR 51 (FIT) TIMED AT 21:06:58,
2020-12-06 18:07:12,Other,,,,,53,CAR 7 (RAI) TIME 0:59.012 DELETED - TRACK LIMITS AT TURN 8,
2020-12-06 18:07:38,Flag,BLUE,Driver,,51,54,WAVED BLUE FLAG FOR CAR 51 (FIT) TIMED AT 21:07:38,
2020-12-06 18:08:10,Flag,DOUBLE YELLOW,Sector,8.0,,54,DOUBLE YELLOW IN TRACK SECTOR 8,
2020-12-06 18:08:14,Flag,YELLOW,Sector,8.0,,54,YELLOW IN TRACK SECTOR 8,
2020-12-06 18:08:33,Other,,,,,55,CAR 7 (RAI) TIME 0:58.888 DELETED - TRACK LIMITS AT TURN 8,
2020-12-06 18:08:47,CarEvent,,,,6,55,CAR 6 (LAT) STOPPED AT TURN 9,
2020-12-06 18:08:48,Flag,DOUBLE YELLOW,Sector,8.0,,55,DOUBLE YELLOW IN TRACK SECTOR 8,
2020-12-06 18:08:52,Flag,YELLOW,Sector,7.0,,55,YELLOW IN TRACK SECTOR 7,
2020-12-06 18:08:54,SafetyCar,,,,,55,VIRTUAL SAFETY CAR DEPLOYED,DEPLOYED
2020-12-06 18:09:32,Flag,CLEAR,Sector,7.0,,56,CLEAR IN TRACK SECTOR 7,
2020-12-06 18:09:34,Flag,CLEAR,Sector,8.0,,56,CLEAR IN TRACK SECTOR 8,
2020-12-06 18:09:36,SafetyCar,,,,,56,VIRTUAL SAFETY CAR ENDING,ENDING
2020-12-06 18:09:49,Flag,CLEAR,Track,,,56,TRACK CLEAR,
2020-12-06 18:09:52,Drs,,,,,56,DRS ENABLED,ENABLED
2020-12-06 18:10:18,Flag,BLUE,Driver,,7,56,WAVED BLUE FLAG FOR CAR 7 (RAI) TIMED AT 21:10:18,
2020-12-06 18:11:39,Flag,BLUE,Driver,,4,58,WAVED BLUE FLAG FOR CAR 4 (NOR) TIMED AT 21:11:39,
2020-12-06 18:13:37,Other,,,,,60,PIT LANE INCIDENT INVOLVING CARS 5 (VET) AND 99 (GIO) NOTED,
2020-12-06 18:14:36,Flag,BLUE,Driver,,10,61,WAVED BLUE FLAG FOR CAR 10 (GAS) TIMED AT 21:14:35,
2020-12-06 18:14:56,Flag,YELLOW,Sector,11.0,,61,YELLOW IN TRACK SECTOR 11,
2020-12-06 18:14:57,Other,,,,,61,DRS DISABLED IN ZONE 2,
2020-12-06 18:14:58,Other,,,,,61,DRS ENABLED IN ZONE 2,
2020-12-06 18:14:58,Flag,CLEAR,Sector,11.0,,61,CLEAR IN TRACK SECTOR 11,
2020-12-06 18:14:59,Flag,YELLOW,Sector,11.0,,61,YELLOW IN TRACK SECTOR 11,
