Timestamp,Category,Flag,Scope,Sector,DriverNumber,LapNumber,Message,Status
2020-12-13 12:55:15,Other,,,,,1,RISK OF RAIN FOR F1 RACE IS 0%,
2020-12-13 13:07:04,Drs,,,,,1,DRS DISABLED,DISABLED
2020-12-13 13:13:29,Flag,GREEN,Track,,,1,GREEN LIGHT - PIT EXIT OPEN,
2020-12-13 13:16:54,Drs,,,,,2,DRS ENABLED,ENABLED
2020-12-13 13:29:19,Flag,YELLOW,Sector,18.0,,10,YELLOW IN TRACK SECTOR 18,
2020-12-13 13:29:35,SafetyCar,,,,,10,VIRTUAL SAFETY CAR DEPLOYED,DEPLOYED
2020-12-13 13:32:35,SafetyCar,,,,,11,SAFETY CAR DEPLOYED,DEPLOYED
2020-12-13 13:37:12,SafetyCar,,,,,13,SAFETY CAR IN THIS LAP,IN THIS LAP
2020-12-13 13:37:17,Flag,CLEAR,Sector,18.0,,13,CLEAR IN TRACK SECTOR 18,
2020-12-13 13:38:45,Flag,CLEAR,Track,,,13,TRACK CLEAR,
2020-12-13 13:42:14,Drs,,,,,15,DRS ENABLED,ENABLED
2020-12-13 13:43:40,Other,,,,,16,PIT LANE INCIDENT INVOLVING CAR 55 (SAI) UNDER INVESTIGATION - DRIVING UNNECESSARILY SLOWLY,
2020-12-13 13:46:30,Other,,,,,18,CAR 16 (LEC) TIME 1:44.596 DELETED - TRACK LIMITS AT TURN 21,
2020-12-13 13:47:58,Other,,,,,19,CAR 16 (LEC) TIME 1:44.936 DELETED - TRACK LIMITS AT TURN 21,
2020-12-13 14:01:29,Other,,,,,27,PIT LANE INCIDENT INVOLVING CAR 55 (SAI) WILL BE INVESTIGATED AFTER THE RACE,
2020-12-13 14:09:07,Other,,,,,31,CAR 16 (LEC) TIME 1:42.686 DELETED - TRACK LIMITS AT TURN 21,
2020-12-13 14:10:41,Other,,,,,32,CAR 16 (LEC) TIME 1:43.273 DELETED - TRACK LIMITS AT TURN 21,
2020-12-13 14:15:14,Flag,BLUE,Driver,,51,35,WAVED BLUE FLAG FOR CAR 51 (FIT) TIMED AT 18:15:14,
2020-12-13 14:17:34,Flag,BLUE,Driver,,20,36,WAVED BLUE FLAG FOR CAR 20 (MAG) TIMED AT 18:17:33,
2020-12-13 14:20:12,Flag,BLUE,Driver,,6,38,WAVED BLUE FLAG FOR CAR 6 (LAT) TIMED AT 18:20:12,
2020-12-13 14:20:46,Flag,BLUE,Driver,,99,38,WAVED BLUE FLAG FOR CAR 99 (GIO) TIMED AT 18:20:45,
2020-12-13 14:23:35,Other,,,,,40,CAR 44 (HAM) TIME 1:41.452 DELETED - TRACK LIMITS AT TURN 21,
2020-12-13 14:24:59,Other,,,,,41,CAR 44 (HAM) TIME 1:41.429 DELETED - TRACK LIMITS AT TURN 21,
2020-12-13 14:25:37,Other,,,,,41,CAR 6 (LAT) TIME 1:42.773 DELETED - TRACK LIMITS AT TURN 21,
2020-12-13 14:26:49,Other,,,,,42,CAR 6 (LAT) TIME 1:43.593 DELETED - TRACK LIMITS AT TURN 21,
2020-12-13 14:27:34,Flag,BLUE,Driver,,51,42,WAVED BLUE FLAG FOR CAR 51 (FIT) TIMED AT 18:27:34,
