Season,Round,Race,DriverNumber,Driver,DriverName,Team,Position,Status,Points
2020,1,Austrian Grand Prix,77,BOT,Valtteri Bottas,Mercedes,1.0,Finished,25.0
2020,1,Austrian Grand Prix,16,LEC,Charles Leclerc,Ferrari,2.0,Finished,18.0
2020,1,Austrian Grand Prix,4,NOR,Lando Norris,McLaren,3.0,Finished,16.0
2020,1,Austrian Grand Prix,44,HAM,Lewis Hamilton,Mercedes,4.0,Finished,12.0
2020,1,Austrian Grand Prix,55,SAI,Carlos Sainz,McLaren,5.0,Finished,10.0
2020,1,Austrian Grand Prix,11,PER,Sergio Perez,Racing Point,6.0,Finished,8.0
2020,1,Austrian Grand Prix,10,GAS,Pierre Gasly,AlphaTauri,7.0,Finished,6.0
2020,1,Austrian Grand Prix,31,OCO,Esteban Ocon,Renault,8.0,Finished,4.0
2020,1,Austrian Grand Prix,99,GIO,Antonio Giovinazzi,Alfa Romeo Racing,9.0,Finished,2.0
2020,1,Austrian Grand Prix,5,VET,Sebastian Vettel,Ferrari,10.0,Finished,1.0
2020,1,Austrian Grand Prix,6,LAT,Nicholas Latifi,Williams,11.0,Finished,0.0
2020,1,Austrian Grand Prix,26,KVY,Daniil Kvyat,AlphaTauri,12.0,Suspension,0.0
2020,1,Austrian Grand Prix,23,ALB,Alexander Albon,Red Bull Racing,13.0,Electronics,0.0
2020,1,Austrian Grand Prix,7,RAI,Kimi Räikkönen,Alfa Romeo Racing,14.0,Wheel,0.0
2020,1,Austrian Grand Prix,63,RUS,George Russell,Williams,15.0,Fuel pressure,0.0
2020,1,Austrian Grand Prix,8,GRO,Romain Grosjean,Haas F1 Team,16.0,Brakes,0.0
2020,1,Austrian Grand Prix,20,MAG,Kevin Magnussen,Haas F1 Team,17.0,Brakes,0.0
2020,1,Austrian Grand Prix,18,STR,Lance Stroll,Racing Point,18.0,Engine,0.0
2020,1,Austrian Grand Prix,3,RIC,Daniel Ricciardo,Renault,19.0,Overheating,0.0
2020,1,Austrian Grand Prix,33,VER,Max Verstappen,Red Bull Racing,20.0,Electronics,0.0
