Season,Round,Race,DriverNumber,Driver,DriverName,Team,Position,Status,Points
2020,3,Hungarian Grand Prix,44,HAM,Lewis Hamilton,Mercedes,1.0,Finished,26.0
2020,3,Hungarian Grand Prix,33,VER,Max Verstappen,Red Bull Racing,2.0,Finished,18.0
2020,3,Hungarian Grand Prix,77,BOT,Valtteri Bottas,Mercedes,3.0,Finished,15.0
2020,3,Hungarian Grand Prix,18,STR,Lance Stroll,Racing Point,4.0,Finished,12.0
2020,3,Hungarian Grand Prix,23,ALB,Alexander Albon,Red Bull Racing,5.0,Finished,10.0
2020,3,Hungarian Grand Prix,5,VET,Sebastian Vettel,Ferrari,6.0,+1 Lap,8.0
2020,3,Hungarian Grand Prix,11,PER,Sergio Perez,Racing Point,7.0,+1 Lap,6.0
2020,3,Hungarian Grand Prix,3,RIC,Daniel Ricciardo,Renault,8.0,+1 Lap,4.0
2020,3,Hungarian Grand Prix,55,SAI,Carlos Sainz,McLaren,9.0,+1 Lap,2.0
2020,3,Hungarian Grand Prix,20,MAG,Kevin Magnussen,Haas F1 Team,10.0,+1 Lap,1.0
2020,3,Hungarian Grand Prix,16,LEC,Charles Leclerc,Ferrari,11.0,+1 Lap,0.0
2020,3,Hungarian Grand Prix,26,KVY,Daniil Kvyat,AlphaTauri,12.0,+1 Lap,0.0
2020,3,Hungarian Grand Prix,4,NOR,Lando Norris,McLaren,13.0,+1 Lap,0.0
2020,3,Hungarian Grand Prix,31,OCO,Esteban Ocon,Renault,14.0,+1 Lap,0.0
2020,3,Hungarian Grand Prix,7,RAI,Kimi Räikkönen,Alfa Romeo Racing,15.0,+1 Lap,0.0
2020,3,Hungarian Grand Prix,8,GRO,Romain Grosjean,Haas F1 Team,16.0,+1 Lap,0.0
2020,3,Hungarian Grand Prix,99,GIO,Antonio Giovinazzi,Alfa Romeo Racing,17.0,+1 Lap,0.0
2020,3,Hungarian Grand Prix,63,RUS,George Russell,Williams,18.0,+1 Lap,0.0
2020,3,Hungarian Grand Prix,6,LAT,Nicholas Latifi,Williams,19.0,+5 Laps,0.0
2020,3,Hungarian Grand Prix,10,GAS,Pierre Gasly,AlphaTauri,20.0,Engine,0.0
