Season,Round,Race,DriverNumber,Driver,DriverName,Team,Position,Status,Points
2020,8,Italian Grand Prix,10,GAS,Pierre Gasly,AlphaTauri,1.0,Finished,25.0
2020,8,Italian Grand Prix,55,SAI,Carlos Sainz,McLaren,2.0,Finished,18.0
2020,8,Italian Grand Prix,18,STR,Lance Stroll,Racing Point,3.0,Finished,15.0
2020,8,Italian Grand Prix,4,NOR,Lando Norris,McLaren,4.0,Finished,12.0
2020,8,Italian Grand Prix,77,BOT,Valtteri Bottas,Mercedes,5.0,Finished,10.0
2020,8,Italian Grand Prix,3,RIC,Daniel Ricciardo,Renault,6.0,Finished,8.0
2020,8,Italian Grand Prix,44,HAM,Lewis Hamilton,Mercedes,7.0,Finished,7.0
2020,8,Italian Grand Prix,31,OCO,Esteban Ocon,Renault,8.0,Finished,4.0
2020,8,Italian Grand Prix,26,KVY,Daniil Kvyat,AlphaTauri,9.0,Finished,2.0
2020,8,Italian Grand Prix,11,PER,Sergio Perez,Racing Point,10.0,Finished,1.0
2020,8,Italian Grand Prix,6,LAT,Nicholas Latifi,Williams,11.0,Finished,0.0
2020,8,Italian Grand Prix,8,GRO,Romain Grosjean,Haas F1 Team,12.0,Finished,0.0
2020,8,Italian Grand Prix,7,RAI,Kimi Räikkönen,Alfa Romeo Racing,13.0,Finished,0.0
2020,8,Italian Grand Prix,63,RUS,George Russell,Williams,14.0,Finished,0.0
2020,8,Italian Grand Prix,23,ALB,Alexander Albon,Red Bull Racing,15.0,Finished,0.0
2020,8,Italian Grand Prix,99,GIO,Antonio Giovinazzi,Alfa Romeo Racing,16.0,Finished,0.0
2020,8,Italian Grand Prix,33,VER,Max Verstappen,Red Bull Racing,17.0,Power Unit,0.0
2020,8,Italian Grand Prix,16,LEC,Charles Leclerc,Ferrari,18.0,Accident,0.0
2020,8,Italian Grand Prix,20,MAG,Kevin Magnussen,Haas F1 Team,19.0,Power Unit,0.0
2020,8,Italian Grand Prix,5,VET,Sebastian Vettel,Ferrari,20.0,Brakes,0.0
