Season,Round,Race,DriverNumber,Driver,DriverName,Team,Position,Status,Points
2020,11,Eifel Grand Prix,44,HAM,Lewis Hamilton,Mercedes,1.0,Finished,25.0
2020,11,Eifel Grand Prix,33,VER,Max Verstappen,Red Bull Racing,2.0,Finished,19.0
2020,11,Eifel Grand Prix,3,RIC,Daniel Ricciardo,Renault,3.0,Finished,15.0
2020,11,Eifel Grand Prix,11,PER,Sergio Perez,Racing Point,4.0,Finished,12.0
2020,11,Eifel Grand Prix,55,SAI,Carlos Sainz,McLaren,5.0,Finished,10.0
2020,11,Eifel Grand Prix,10,GAS,Pierre Gasly,AlphaTauri,6.0,Finished,8.0
2020,11,Eifel Grand Prix,16,LEC,Charles Leclerc,Ferrari,7.0,Finished,6.0
2020,11,Eifel Grand Prix,27,HUL,Nico Hulkenberg,Racing Point,8.0,Finished,4.0
2020,11,Eifel Grand Prix,8,GRO,Romain Grosjean,Haas F1 Team,9.0,Finished,2.0
2020,11,Eifel Grand Prix,99,GIO,Antonio Giovinazzi,Alfa Romeo Racing,10.0,Finished,1.0
2020,11,Eifel Grand Prix,5,VET,Sebastian Vettel,Ferrari,11.0,Finished,0.0
2020,11,Eifel Grand Prix,7,RAI,Kimi Räikkönen,Alfa Romeo Racing,12.0,Finished,0.0
2020,11,Eifel Grand Prix,20,MAG,Kevin Magnussen,Haas F1 Team,13.0,Finished,0.0
2020,11,Eifel Grand Prix,6,LAT,Nicholas Latifi,Williams,14.0,Finished,0.0
2020,11,Eifel Grand Prix,26,KVY,Daniil Kvyat,AlphaTauri,15.0,Finished,0.0
2020,11,Eifel Grand Prix,4,NOR,Lando Norris,McLaren,16.0,Power Unit,0.0
2020,11,Eifel Grand Prix,23,ALB,Alexander Albon,Red Bull Racing,17.0,Radiator,0.0
2020,11,Eifel Grand Prix,31,OCO,Esteban Ocon,Renault,18.0,Gearbox,0.0
2020,11,Eifel Grand Prix,77,BOT,Valtteri Bottas,Mercedes,19.0,Power Unit,0.0
2020,11,Eifel Grand Prix,63,RUS,George Russell,Williams,20.0,Collision,0.0
