Season,Round,Race,DriverNumber,Driver,DriverName,Team,Position,Status,Points
2020,16,Sakhir Grand Prix,11,PER,Sergio Perez,Racing Point,1.0,Finished,25.0
2020,16,Sakhir Grand Prix,31,OCO,Esteban Ocon,Renault,2.0,Finished,18.0
2020,16,Sakhir Grand Prix,18,STR,Lance Stroll,Racing Point,3.0,Finished,15.0
2020,16,Sakhir Grand Prix,55,SAI,Carlos Sainz,McLaren,4.0,Finished,12.0
2020,16,Sakhir Grand Prix,3,RIC,Daniel Ricciardo,Renault,5.0,Finished,10.0
2020,16,Sakhir Grand Prix,23,ALB,Alexander Albon,Red Bull Racing,6.0,Finished,8.0
2020,16,Sakhir Grand Prix,26,KVY,Daniil Kvyat,AlphaTauri,7.0,Finished,6.0
2020,16,Sakhir Grand Prix,77,BOT,Valtteri Bottas,Mercedes,8.0,Finished,4.0
2020,16,Sakhir Grand Prix,63,RUS,George Russell,Mercedes,9.0,Finished,3.0
2020,16,Sakhir Grand Prix,4,NOR,Lando Norris,McLaren,10.0,Finished,1.0
2020,16,Sakhir Grand Prix,10,GAS,Pierre Gasly,AlphaTauri,11.0,Finished,0.0
2020,16,Sakhir Grand Prix,5,VET,Sebastian Vettel,Ferrari,12.0,Finished,0.0
2020,16,Sakhir Grand Prix,99,GIO,Antonio Giovinazzi,Alfa Romeo Racing,13.0,Finished,0.0
2020,16,Sakhir Grand Prix,7,RAI,Kimi Räikkönen,Alfa Romeo Racing,14.0,Finished,0.0
2020,16,Sakhir Grand Prix,20,MAG,Kevin Magnussen,Haas F1 Team,15.0,Finished,0.0
2020,16,Sakhir Grand Prix,89,AIT,Jack Aitken,Williams,16.0,Finished,0.0
2020,16,Sakhir Grand Prix,51,FIT,Pietro Fittipaldi,Haas F1 Team,17.0,Finished,0.0
2020,16,Sakhir Grand Prix,6,LAT,Nicholas Latifi,Williams,18.0,Engine,0.0
2020,16,Sakhir Grand Prix,33,VER,Max Verstappen,Red Bull Racing,19.0,Accident,0.0
2020,16,Sakhir Grand Prix,16,LEC,Charles Leclerc,Ferrari,20.0,Collision,0.0
