Season,Round,Race,DriverNumber,Driver,DriverName,Team,Position,Status,Points
2020,17,Abu Dhabi Grand Prix,33,VER,Max Verstappen,Red Bull Racing,1.0,Finished,25.0
2020,17,Abu Dhabi Grand Prix,77,BOT,Valtteri Bottas,Mercedes,2.0,Finished,18.0
2020,17,Abu Dhabi Grand Prix,44,HAM,Lewis Hamilton,Mercedes,3.0,Finished,15.0
2020,17,Abu Dhabi Grand Prix,23,ALB,Alexander Albon,Red Bull Racing,4.0,Finished,12.0
2020,17,Abu Dhabi Grand Prix,4,NOR,Lando Norris,McLaren,5.0,Finished,10.0
2020,17,Abu Dhabi Grand Prix,55,SAI,Carlos Sainz,McLaren,6.0,Finished,8.0
2020,17,Abu Dhabi Grand Prix,3,RIC,Daniel Ricciardo,Renault,7.0,Finished,7.0
2020,17,Abu Dhabi Grand Prix,10,GAS,Pierre Gasly,AlphaTauri,8.0,Finished,4.0
2020,17,Abu Dhabi Grand Prix,31,OCO,Esteban Ocon,Renault,9.0,Finished,2.0
2020,17,Abu Dhabi Grand Prix,18,STR,Lance Stroll,Racing Point,10.0,Finished,1.0
2020,17,Abu Dhabi Grand Prix,26,KVY,Daniil Kvyat,AlphaTauri,11.0,+1 Lap,0.0
2020,17,Abu Dhabi Grand Prix,7,RAI,Kimi Räikkönen,Alfa Romeo Racing,12.0,+1 Lap,0.0
2020,17,Abu Dhabi Grand Prix,16,LEC,Charles Leclerc,Ferrari,13.0,+1 Lap,0.0
2020,17,Abu Dhabi Grand Prix,5,VET,Sebastian Vettel,Ferrari,14.0,+1 Lap,0.0
2020,17,Abu Dhabi Grand Prix,63,RUS,George Russell,Williams,15.0,+1 Lap,0.0
2020,17,Abu Dhabi Grand Prix,99,GIO,Antonio Giovinazzi,Alfa Romeo Racing,16.0,+1 Lap,0.0
2020,17,Abu Dhabi Grand Prix,6,LAT,Nicholas Latifi,Williams,17.0,+1 Lap,0.0
2020,17,Abu Dhabi Grand Prix,20,MAG,Kevin Magnussen,Haas F1 Team,18.0,+1 Lap,0.0
2020,17,Abu Dhabi Grand Prix,51,FIT,Pietro Fittipaldi,Haas F1 Team,19.0,+2 Laps,0.0
2020,17,Abu Dhabi Grand Prix,11,PER,Sergio Perez,Racing Point,20.0,Transmission,0.0
