Time,Driver,DriverNumber,LapNumber,Stint,PitOutTime,PitInTime,Compound,TyreLife,FreshTyre,Team,TrackStatus,Position,Season,Round,EventName
0 days 01:00:31.298000,HAM,44,13.0,1.0,,0 days 01:00:29.611000,MEDIUM,16.0,False,Mercedes,1,2.0,2021,1,Bahrain Grand Prix
0 days 01:02:26.304000,HAM,44,14.0,2.0,0 days 01:00:54.547000,,HARD,1.0,True,Mercedes,1,4.0,2021,1,Bahrain Grand Prix
0 days 01:24:42.938000,HAM,44,28.0,2.0,,0 days 01:24:41.240000,HARD,15.0,True,Mercedes,1,2.0,2021,1,Bahrain Grand Prix
0 days 01:26:38.132000,HAM,44,29.0,3.0,0 days 01:25:05.375000,,HARD,1.0,True,Mercedes,1,3.0,2021,1,Bahrain Grand Prix
0 days 01:06:56.905000,VER,33,17.0,1.0,,0 days 01:06:55.220000,MEDIUM,20.0,False,Red Bull Racing,1,1.0,2021,1,Bahrain Grand Prix
0 days 01:08:52.437000,VER,33,18.0,2.0,0 days 01:07:20.122000,,MEDIUM,1.0,True,Red Bull Racing,1,2.0,2021,1,Bahrain Grand Prix
0 days 01:42:15.088000,VER,33,39.0,2.0,,0 days 01:42:13.427000,MEDIUM,22.0,True,Red Bull Racing,1,1.0,2021,1,Bahrain Grand Prix
0 days 01:44:08.525000,VER,33,40.0,3.0,0 days 01:42:37.245000,,HARD,1.0,True,Red Bull Racing,1,2.0,2021,1,Bahrain Grand Prix
0 days 01:05:26.391000,BOT,77,16.0,1.0,,0 days 01:05:24.696000,MEDIUM,19.0,False,Mercedes,1,2.0,2021,1,Bahrain Grand Prix
0 days 01:07:21.110000,BOT,77,17.0,2.0,0 days 01:05:48.940000,,HARD,1.0,True,Mercedes,1,4.0,2021,1,Bahrain Grand Prix
0 days 01:28:01.018000,BOT,77,30.0,2.0,,0 days 01:27:59.311000,HARD,14.0,True,Mercedes,1,2.0,2021,1,Bahrain Grand Prix
0 days 01:30:04.836000,BOT,77,31.0,3.0,0 days 01:28:32.248000,,HARD,1.0,True,Mercedes,1,5.0,2021,1,Bahrain Grand Prix
0 days 02:06:23.439000,BOT,77,54.0,3.0,,0 days 02:06:21.738000,HARD,24.0,True,Mercedes,1,3.0,2021,1,Bahrain Grand Prix
0 days 02:08:19.338000,BOT,77,55.0,4.0,0 days 02:06:46.324000,,MEDIUM,4.0,False,Mercedes,1,3.0,2021,1,Bahrain Grand Prix
0 days 00:59:07.071000,NOR,4,12.0,1.0,,0 days 00:59:05.532000,SOFT,15.0,False,McLaren,1,5.0,2021,1,Bahrain Grand Prix
0 days 01:01:04.488000,NOR,4,13.0,2.0,0 days 00:59:30.380000,,MEDIUM,1.0,True,McLaren,1,13.0,2021,1,Bahrain Grand Prix
0 days 01:33:13.577000,NOR,4,33.0,2.0,,0 days 01:33:11.987000,MEDIUM,21.0,True,McLaren,1,3.0,2021,1,Bahrain Grand Prix
0 days 01:35:10.387000,NOR,4,34.0,3.0,0 days 01:33:37.645000,,HARD,1.0,True,McLaren,1,6.0,2021,1,Bahrain Grand Prix
0 days 00:39:38.077000,PER,11,1.0,1.0,0 days 00:37:22.315000,,MEDIUM,4.0,False,Red Bull Racing,124,19.0,2021,1,Bahrain Grand Prix
0 days 00:41:58.743000,PER,11,2.0,1.0,,0 days 00:41:57.867000,MEDIUM,5.0,False,Red Bull Racing,4,19.0,2021,1,Bahrain Grand Prix
0 days 00:44:13.989000,PER,11,3.0,2.0,0 days 00:42:21.058000,,MEDIUM,4.0,False,Red Bull Racing,41,19.0,2021,1,Bahrain Grand Prix
0 days 01:10:37.326000,PER,11,19.0,2.0,,0 days 01:10:35.674000,MEDIUM,20.0,False,Red Bull Racing,1,4.0,2021,1,Bahrain Grand Prix
0 days 01:12:33.838000,PER,11,20.0,3.0,0 days 01:10:59.792000,,HARD,1.0,True,Red Bull Racing,1,12.0,2021,1,Bahrain Grand Prix
0 days 01:41:22.298000,PER,11,38.0,3.0,,0 days 01:41:20.638000,HARD,19.0,True,Red Bull Racing,1,4.0,2021,1,Bahrain Grand Prix
0 days 01:43:19.048000,PER,11,39.0,4.0,0 days 01:41:44.805000,,MEDIUM,6.0,False,Red Bull Racing,1,8.0,2021,1,Bahrain Grand Prix
0 days 00:59:08.573000,LEC,16,12.0,1.0,,0 days 00:59:06.889000,SOFT,15.0,False,Ferrari,1,6.0,2021,1,Bahrain Grand Prix
0 days 01:01:05.346000,LEC,16,13.0,2.0,0 days 00:59:31.829000,,MEDIUM,1.0,True,Ferrari,1,14.0,2021,1,Bahrain Grand Prix
0 days 01:31:42.292000,LEC,16,32.0,2.0,,0 days 01:31:40.633000,MEDIUM,20.0,True,Ferrari,1,5.0,2021,1,Bahrain Grand Prix
0 days 01:33:37.548000,LEC,16,33.0,3.0,0 days 01:32:04.850000,,HARD,1.0,True,Ferrari,1,7.0,2021,1,Bahrain Grand Prix
0 days 01:00:47.265000,RIC,3,13.0,1.0,,0 days 01:00:45.671000,SOFT,16.0,False,McLaren,1,4.0,2021,1,Bahrain Grand Prix
0 days 01:02:44.692000,RIC,3,14.0,2.0,0 days 01:01:10.325000,,MEDIUM,1.0,True,McLaren,1,11.0,2021,1,Bahrain Grand Prix
0 days 01:31:47,RIC,3,32.0,2.0,,0 days 01:31:45.358000,MEDIUM,19.0,True,McLaren,1,7.0,2021,1,Bahrain Grand Prix
0 days 01:33:43.039000,RIC,3,33.0,3.0,0 days 01:32:10.049000,,HARD,1.0,True,McLaren,1,9.0,2021,1,Bahrain Grand Prix
0 days 01:04:06.170000,SAI,55,15.0,1.0,,0 days 01:04:04.526000,SOFT,18.0,False,Ferrari,1,5.0,2021,1,Bahrain Grand Prix
0 days 01:06:02.718000,SAI,55,16.0,2.0,0 days 01:04:28.934000,,MEDIUM,1.0,True,Ferrari,1,11.0,2021,1,Bahrain Grand Prix
0 days 01:39:55.764000,SAI,55,37.0,2.0,,0 days 01:39:54.069000,MEDIUM,22.0,True,Ferrari,1,6.0,2021,1,Bahrain Grand Prix
0 days 01:41:50.892000,SAI,55,38.0,3.0,0 days 01:40:18.443000,,HARD,1.0,True,Ferrari,1,9.0,2021,1,Bahrain Grand Prix
0 days 01:04:14.831000,TSU,22,15.0,1.0,,0 days 01:04:13.137000,MEDIUM,18.0,False,AlphaTauri,1,7.0,2021,1,Bahrain Grand Prix
0 days 01:06:11.958000,TSU,22,16.0,2.0,0 days 01:04:38.216000,,HARD,1.0,True,AlphaTauri,1,14.0,2021,1,Bahrain Grand Prix
0 days 01:33:38.580000,TSU,22,33.0,2.0,,0 days 01:33:36.906000,HARD,18.0,True,AlphaTauri,1,8.0,2021,1,Bahrain Grand Prix
0 days 01:35:34.353000,TSU,22,34.0,3.0,0 days 01:34:01.225000,,HARD,1.0,True,AlphaTauri,1,13.0,2021,1,Bahrain Grand Prix
0 days 00:59:11.217000,STR,18,12.0,1.0,,0 days 00:59:09.889000,SOFT,15.0,False,Aston Martin,1,8.0,2021,1,Bahrain Grand Prix
0 days 01:01:08.057000,STR,18,13.0,2.0,0 days 00:59:35.926000,,MEDIUM,1.0,True,Aston Martin,1,16.0,2021,1,Bahrain Grand Prix
0 days 01:25:25.967000,STR,18,28.0,2.0,,0 days 01:25:24.368000,MEDIUM,16.0,True,Aston Martin,1,9.0,2021,1,Bahrain Grand Prix
0 days 01:27:23.480000,STR,18,29.0,3.0,0 days 01:25:50.113000,,HARD,1.0,True,Aston Martin,1,15.0,2021,1,Bahrain Grand Prix
0 days 01:00:54.348000,RAI,7,13.0,1.0,,0 days 01:00:52.633000,MEDIUM,13.0,True,Alfa Romeo Racing,1,7.0,2021,1,Bahrain Grand Prix
0 days 01:02:51.381000,RAI,7,14.0,2.0,0 days 01:01:16.777000,,HARD,1.0,True,Alfa Romeo Racing,1,14.0,2021,1,Bahrain Grand Prix
0 days 01:27:08.440000,RAI,7,29.0,2.0,,0 days 01:27:06.760000,HARD,16.0,True,Alfa Romeo Racing,1,9.0,2021,1,Bahrain Grand Prix
0 days 01:29:05.074000,RAI,7,30.0,3.0,0 days 01:27:30.884000,,MEDIUM,1.0,True,Alfa Romeo Racing,1,14.0,2021,1,Bahrain Grand Prix
0 days 00:59:16.754000,GIO,99,12.0,1.0,,0 days 00:59:15.082000,MEDIUM,12.0,True,Alfa Romeo Racing,1,11.0,2021,1,Bahrain Grand Prix
0 days 01:01:22.105000,GIO,99,13.0,2.0,0 days 00:59:47.110000,,HARD,1.0,True,Alfa Romeo Racing,1,18.0,2021,1,Bahrain Grand Prix
0 days 01:28:55.884000,GIO,99,30.0,2.0,,0 days 01:28:55.899000,HARD,18.0,True,Alfa Romeo Racing,1,11.0,2021,1,Bahrain Grand Prix
0 days 01:30:52.257000,GIO,99,31.0,3.0,0 days 01:29:18.438000,,MEDIUM,1.0,True,Alfa Romeo Racing,1,17.0,2021,1,Bahrain Grand Prix
0 days 01:00:57.665000,OCO,31,13.0,1.0,,0 days 01:00:55.991000,SOFT,13.0,True,Alpine,1,9.0,2021,1,Bahrain Grand Prix
0 days 01:02:54.887000,OCO,31,14.0,2.0,0 days 01:01:21.236000,,MEDIUM,1.0,True,Alpine,1,15.0,2021,1,Bahrain Grand Prix
0 days 01:30:31.409000,OCO,31,31.0,2.0,,0 days 01:30:29.744000,MEDIUM,18.0,True,Alpine,1,10.0,2021,1,Bahrain Grand Prix
0 days 01:32:27.723000,OCO,31,32.0,3.0,0 days 01:30:54.204000,,HARD,1.0,True,Alpine,1,15.0,2021,1,Bahrain Grand Prix
0 days 01:01:04.369000,RUS,63,13.0,1.0,,0 days 01:01:02.699000,SOFT,13.0,True,Williams,1,12.0,2021,1,Bahrain Grand Prix
0 days 01:03:01.505000,RUS,63,14.0,2.0,0 days 01:01:27.323000,,MEDIUM,1.0,True,Williams,1,18.0,2021,1,Bahrain Grand Prix
0 days 01:38:50.216000,RUS,63,36.0,2.0,,0 days 01:38:48.507000,MEDIUM,23.0,True,Williams,1,13.0,2021,1,Bahrain Grand Prix
0 days 01:40:45.436000,RUS,63,37.0,3.0,0 days 01:39:12.755000,,MEDIUM,1.0,True,Williams,1,16.0,2021,1,Bahrain Grand Prix
0 days 01:19:10.868000,VET,5,24.0,1.0,,0 days 01:19:09.201000,MEDIUM,24.0,True,Aston Martin,1,14.0,2021,1,Bahrain Grand Prix
0 days 01:21:07.462000,VET,5,25.0,2.0,0 days 01:19:33.805000,,HARD,1.0,True,Aston Martin,1,17.0,2021,1,Bahrain Grand Prix
0 days 01:03:00.145000,MSC,47,14.0,1.0,,0 days 01:02:58.451000,MEDIUM,14.0,True,Haas F1 Team,1,17.0,2021,1,Bahrain Grand Prix
0 days 01:05:02.016000,MSC,47,15.0,2.0,0 days 01:03:24.248000,,MEDIUM,1.0,True,Haas F1 Team,1,19.0,2021,1,Bahrain Grand Prix
0 days 01:34:29.115000,MSC,47,33.0,2.0,,0 days 01:34:27.423000,MEDIUM,19.0,True,Haas F1 Team,1,17.0,2021,1,Bahrain Grand Prix
0 days 01:36:28.823000,MSC,47,34.0,3.0,0 days 01:34:52.805000,,HARD,1.0,True,Haas F1 Team,1,18.0,2021,1,Bahrain Grand Prix
0 days 00:46:16.484000,GAS,10,4.0,1.0,,0 days 00:46:14.801000,MEDIUM,7.0,False,AlphaTauri,1267,18.0,2021,1,Bahrain Grand Prix
0 days 00:48:28.018000,GAS,10,5.0,2.0,0 days 00:46:53.133000,,HARD,1.0,True,AlphaTauri,71,19.0,2021,1,Bahrain Grand Prix
0 days 01:11:19.744000,GAS,10,19.0,2.0,,0 days 01:11:18.062000,HARD,15.0,True,AlphaTauri,1,18.0,2021,1,Bahrain Grand Prix
0 days 01:13:19.034000,GAS,10,20.0,3.0,0 days 01:11:42.399000,,MEDIUM,4.0,False,AlphaTauri,1,19.0,2021,1,Bahrain Grand Prix
0 days 01:43:58.048000,GAS,10,39.0,3.0,,0 days 01:43:56.395000,MEDIUM,23.0,False,AlphaTauri,1,16.0,2021,1,Bahrain Grand Prix
0 days 01:45:54.935000,GAS,10,40.0,4.0,0 days 01:44:21.345000,,HARD,1.0,True,AlphaTauri,1,16.0,2021,1,Bahrain Grand Prix
0 days 02:04:52.008000,GAS,10,52.0,4.0,,0 days 02:04:50.340000,HARD,13.0,True,AlphaTauri,1,16.0,2021,1,Bahrain Grand Prix
0 days 01:02:46.301000,LAT,6,14.0,1.0,,0 days 01:02:44.704000,SOFT,14.0,True,Williams,1,13.0,2021,1,Bahrain Grand Prix
0 days 01:04:45.587000,LAT,6,15.0,2.0,0 days 01:03:10.669000,,MEDIUM,1.0,True,Williams,1,18.0,2021,1,Bahrain Grand Prix
0 days 01:32:34.719000,LAT,6,32.0,2.0,,0 days 01:32:33.032000,MEDIUM,18.0,True,Williams,1,17.0,2021,1,Bahrain Grand Prix
0 days 01:34:33.673000,LAT,6,33.0,3.0,0 days 01:32:57.010000,,MEDIUM,1.0,True,Williams,1,18.0,2021,1,Bahrain Grand Prix
0 days 02:04:20.637000,LAT,6,51.0,3.0,,0 days 02:04:18.972000,MEDIUM,19.0,True,Williams,1,18.0,2021,1,Bahrain Grand Prix
0 days 00:57:34.254000,ALO,14,11.0,1.0,,0 days 00:57:32.560000,SOFT,14.0,False,Alpine,1,9.0,2021,1,Bahrain Grand Prix
0 days 00:59:30.376000,ALO,14,12.0,2.0,0 days 00:57:56.937000,,MEDIUM,1.0,True,Alpine,1,17.0,2021,1,Bahrain Grand Prix
0 days 01:27:15.888000,ALO,14,29.0,2.0,,0 days 01:27:14.206000,MEDIUM,18.0,True,Alpine,1,12.0,2021,1,Bahrain Grand Prix
0 days 01:29:13.410000,ALO,14,30.0,3.0,0 days 01:27:38.977000,,HARD,1.0,True,Alpine,1,17.0,2021,1,Bahrain Grand Prix
0 days 01:32:31.786000,ALO,14,32.0,3.0,,0 days 01:32:30.161000,HARD,3.0,True,Alpine,1,16.0,2021,1,Bahrain Grand Prix
0 days 01:00:14.006000,GAS,10,14.0,1.0,,0 days 01:00:10.679000,WET,14.0,True,AlphaTauri,1,17.0,2021,2,Emilia Romagna Grand Prix
0 days 01:02:15.680000,GAS,10,15.0,2.0,0 days 01:00:41.732000,,INTERMEDIATE,1.0,True,AlphaTauri,1,18.0,2021,2,Emilia Romagna Grand Prix
0 days 01:18:49.018000,GAS,10,26.0,2.0,,0 days 01:18:45.618000,INTERMEDIATE,12.0,True,AlphaTauri,1,16.0,2021,2,Emilia Romagna Grand Prix
0 days 01:20:49.661000,GAS,10,27.0,3.0,0 days 01:19:17.909000,,MEDIUM,1.0,True,AlphaTauri,1,16.0,2021,2,Emilia Romagna Grand Prix
0 days 01:29:21.965000,GAS,10,32.0,3.0,,0 days 01:29:18.556000,MEDIUM,6.0,True,AlphaTauri,45,14.0,2021,2,Emilia Romagna Grand Prix
0 days 01:55:16.711000,GAS,10,33.0,4.0,0 days 01:53:32.081000,0 days 01:55:10.239000,MEDIUM,6.0,False,AlphaTauri,51,14.0,2021,2,Emilia Romagna Grand Prix
0 days 01:57:54.327000,GAS,10,34.0,5.0,0 days 01:56:06.316000,,MEDIUM,7.0,False,AlphaTauri,1,13.0,2021,2,Emilia Romagna Grand Prix
0 days 01:20:02.311000,PER,11,28.0,1.0,,0 days 01:19:58.896000,INTERMEDIATE,28.0,True,Red Bull Racing,1,4.0,2021,2,Emilia Romagna Grand Prix
0 days 01:22:09.833000,PER,11,29.0,2.0,0 days 01:20:43.572000,,MEDIUM,1.0,True,Red Bull Racing,1,5.0,2021,2,Emilia Romagna Grand Prix
0 days 01:29:15.220000,PER,11,33.0,2.0,,0 days 01:29:11.663000,MEDIUM,5.0,True,Red Bull Racing,45,4.0,2021,2,Emilia Romagna Grand Prix
0 days 01:57:50.368000,PER,11,34.0,3.0,0 days 01:55:32.835000,,SOFT,3.0,False,Red Bull Racing,1,4.0,2021,2,Emilia Romagna Grand Prix
0 days 01:21:22.278000,ALO,14,28.0,1.0,,0 days 01:21:18.812000,INTERMEDIATE,28.0,True,Alpine,1,12.0,2021,2,Emilia Romagna Grand Prix
0 days 01:23:18.136000,ALO,14,29.0,2.0,0 days 01:21:49.796000,,MEDIUM,1.0,True,Alpine,1,15.0,2021,2,Emilia Romagna Grand Prix
0 days 01:28:41.335000,ALO,14,32.0,2.0,,0 days 01:28:37.450000,MEDIUM,4.0,True,Alpine,45,12.0,2021,2,Emilia Romagna Grand Prix
0 days 01:55:11.905000,ALO,14,33.0,3.0,0 days 01:53:25.781000,0 days 01:55:05.161000,MEDIUM,4.0,False,Alpine,51,12.0,2021,2,Emilia Romagna Grand Prix
0 days 01:57:53.781000,ALO,14,34.0,4.0,0 days 01:56:02.749000,,MEDIUM,5.0,False,Alpine,1,12.0,2021,2,Emilia Romagna Grand Prix
0 days 01:19:47.524000,LEC,16,28.0,1.0,,0 days 01:19:44.152000,INTERMEDIATE,28.0,True,Ferrari,1,2.0,2021,2,Emilia Romagna Grand Prix
0 days 01:21:41.377000,LEC,16,29.0,2.0,0 days 01:20:15.110000,,MEDIUM,1.0,True,Ferrari,1,3.0,2021,2,Emilia Romagna Grand Prix
0 days 01:28:33.790000,LEC,16,33.0,2.0,,0 days 01:28:28.896000,MEDIUM,5.0,True,Ferrari,45,2.0,2021,2,Emilia Romagna Grand Prix
0 days 01:57:49.892000,LEC,16,34.0,3.0,0 days 01:55:18.369000,,MEDIUM,6.0,False,Ferrari,1,2.0,2021,2,Emilia Romagna Grand Prix
0 days 01:19:19.809000,STR,18,27.0,1.0,,0 days 01:19:16.421000,INTERMEDIATE,27.0,True,Aston Martin,1,9.0,2021,2,Emilia Romagna Grand Prix
0 days 01:21:15.744000,STR,18,28.0,2.0,0 days 01:19:47.558000,,MEDIUM,1.0,True,Aston Martin,1,9.0,2021,2,Emilia Romagna Grand Prix
0 days 01:28:17.741000,STR,18,32.0,2.0,,0 days 01:28:14.191000,MEDIUM,5.0,True,Aston Martin,45,7.0,2021,2,Emilia Romagna Grand Prix
0 days 01:54:40.995000,STR,18,33.0,3.0,0 days 01:53:06.264000,0 days 01:54:37.429000,MEDIUM,5.0,False,Aston Martin,51,7.0,2021,2,Emilia Romagna Grand Prix
0 days 01:57:51.618000,STR,18,34.0,4.0,0 days 01:55:42.835000,,MEDIUM,7.0,False,Aston Martin,1,7.0,2021,2,Emilia Romagna Grand Prix
0 days 01:16:43.152000,TSU,22,25.0,1.0,,0 days 01:16:39.754000,INTERMEDIATE,25.0,True,AlphaTauri,1,13.0,2021,2,Emilia Romagna Grand Prix
0 days 01:18:38.703000,TSU,22,26.0,2.0,0 days 01:17:10.450000,,MEDIUM,1.0,True,AlphaTauri,1,15.0,2021,2,Emilia Romagna Grand Prix
0 days 01:28:28.952000,TSU,22,32.0,2.0,,0 days 01:28:24.596000,MEDIUM,7.0,True,AlphaTauri,45,10.0,2021,2,Emilia Romagna Grand Prix
0 days 01:54:57.414000,TSU,22,33.0,3.0,0 days 01:53:16.283000,0 days 01:54:53.306000,SOFT,1.0,True,AlphaTauri,51,10.0,2021,2,Emilia Romagna Grand Prix
0 days 01:57:52.067000,TSU,22,34.0,4.0,0 days 01:55:56.626000,,SOFT,1.0,False,AlphaTauri,1,9.0,2021,2,Emilia Romagna Grand Prix
